"Year","Region","electricity production, hydro","electricity production, coal","electricity production, oil","electricity production, nuclear","electricity production, natural gas"
2003,"UN-OCEANIA",0.227544541027064,0.772393810492571,6.1648480364959e-05,0,0
2004,"CA-QC",1,0,0,0,0
2004,"CN",0.100003031619794,0.899996968380206,0,0,0
2004,"IAI Area 1",0.213071416951358,0.768586302261266,0,0.0152513421181064,0.00309093866926956
2004,"IAI Area 2, without Quebec",0.322465781346877,0.656972810829706,0.000137811044392873,0.0119619986533014,0.00846159812572243
2004,"IAI Area 3",0.957011788407612,0,0,0,0.0429882115923879
2004,"IAI Area 4&5 without China",0.133982382939268,0.351850336796749,0.00261801521721345,0,0.51154926504677
2004,"IAI Area 8",0,0,0,0,0
2004,"RoW",0,0,0,0,0
2004,"UN-EUROPE",0.553104215429538,0.196252694027948,0.0215290491529744,0.152337141665315,0.0767768997242242
2004,"UN-OCEANIA",0.226568154402895,0.773371531966224,6.0313630880579e-05,0,0
2005,"CA-QC",1,0,0,0,0
2005,"CN",0.0999964839492282,0.900003516050772,0,0,0
2005,"IAI Area 1",0.233938856889677,0.724694888629315,0,0.0383050710919563,0.00306118338905224
2005,"IAI Area 2, without Quebec",0.337561332785319,0.643172263244403,0.000108543120959312,0.0128352240534386,0.00632263679587992
2005,"IAI Area 3",0.959199005981449,0,0,0,0.0408009940185512
2005,"IAI Area 4&5 without China",0.0961686681086994,0.3526018746426,0.0148927177345168,0,0.536336739514184
2005,"IAI Area 8",0,0,0,0,0
2005,"RoW",0,0,0,0,0
2005,"UN-EUROPE",0.6991623808354,0.109675016443328,0.013645981092154,0.124390804415529,0.0531258172135889
2005,"UN-OCEANIA",0.230145136572613,0.769794765467712,6.00979596742691e-05,0,0
2006,"CA-QC",1,0,0,0,0
2006,"CN",0.0999985444171118,0.900001455582888,0,0,0
2006,"IAI Area 1",0.253245324532453,0.728932893289329,0,0.0148148148148148,0.00300696736340301
2006,"IAI Area 2, without Quebec",0.35562360422315,0.622543787832933,0.000209640954193993,0.0130576365755116,0.00856533041421171
2006,"IAI Area 3",0.962926777745505,0,0,0,0.0370732222544955
2006,"IAI Area 4&5 without China",0.106037913475117,0.374812786169712,0.0458941332534554,0,0.473255167101716
2006,"IAI Area 8",0,0,0,0,0
2006,"RoW",0,0,0,0,0
2006,"UN-EUROPE",0.633092585478294,0.198056089127929,0.00756819054936612,0.105685747214752,0.0555973876296581
2006,"UN-OCEANIA",0.224365813181603,0.775574917022285,5.92697961119014e-05,0,0
2007,"CA-QC",1,0,0,0,0
2007,"CN",0.0999983496806632,0.900001650319337,0,0,0
2007,"IAI Area 1",0.506784771956276,0.492989068978515,0,0,0.000226159065209197
2007,"IAI Area 2, without Quebec",0.434227008459332,0.545615831731699,0.000188384671111862,0.0124064761975098,0.0075622989403476
2007,"IAI Area 3",0.937263813706465,0,0,0,0.0627361862935349
2007,"IAI Area 4&5 without China",0.0997820096244807,0.385143750257064,0.0279685764817176,0,0.487105663636738
2007,"IAI Area 8",0,0,0,0,0
2007,"RoW",0,0,0,0,0
2007,"UN-EUROPE",0.639201622835615,0.201876403680359,0.00562196623922336,0.0987973628921249,0.054502644352677
