Aluminium Production (tonnes),"1,754,715","5,783,080","2,660,344","3,923,161","9,276,160","2,297,007",ND,"13,585,000","692,000","39,971,467"
Reporting Production (tonnes),"1,745,315","5,444,950","2,660,344","3,343,491","9,234,590","2,297,007",0,"13,105,000",ND,"37,830,697"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"5,580","59,780","37,214","4,831","96,107","7,382",ND,"18,718",ND,"229,612"
Coal,"19,810","24,148",0,"25,404","24,583","26,464",ND,"168,461",ND,"288,870"
Oil,0,7,0,76,734,2,ND,0,ND,819
Natural Gas,0,298,"4,282","26,156","9,642",0,ND,0,ND,"40,378"
Nuclear,0,462,0,0,"14,728",0,ND,0,ND,"15,190"
Total,"25,390","84,695","41,496","56,468","145,794","33,848",0,"187,179","25,000","574,869"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"27,755","12,275","56,179","10,097","1,086",ND,ND,ND,"107,392"
Purchased from Supplier(s),"25,390","56,940","29,221",289,"135,697","32,762",ND,ND,ND,"280,299"
Total,"25,390","84,695","41,496","56,468","145,794","33,848",ND,ND,"212,000","387,691"

2007,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,829,619","5,642,328","2,557,706","3,716,864","8,764,596","2,315,394",ND,"12,588,000","717,000","38,131,507"
Reporting Production (tonnes),"1,818,599","5,298,778","2,548,550","3,187,344","8,752,701","2,314,394",0,"12,588,000",ND,"36,508,366"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"13,445","60,986","36,707","4,852","88,229","7,828",ND,"18,178",ND,"230,225"
Coal,"13,079","20,274",0,"18,728","27,865","26,587",ND,"163,605",ND,"270,138"
Oil,0,7,0,"1,360",776,2,ND,0,ND,"2,145"
Natural Gas,6,281,"2,457","23,686","7,523",0,ND,0,ND,"33,953"
Nuclear,0,461,0,0,"13,637",0,ND,0,ND,"14,098"
Total,"26,530","82,009","39,164","48,626","138,030","34,417",ND,"181,783","23,000","550,559"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"25,247","10,082","48,568","10,414","1,186",ND,ND,ND,"95,497"
Purchased from Supplier(s),"26,530","56,762","29,082",58,"127,616","33,231",ND,ND,ND,"273,279"
Total,"26,530","82,009","39,164","48,626","138,030","34,417",ND,ND,"205,000","368,776"

2006,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,865,008","5,333,472","2,493,320","3,493,007","8,411,944","2,273,731",ND,"9,349,000","719,000","33,938,482"
Reporting Production (tonnes),"1,865,008","5,011,732","2,485,320","3,094,697","7,877,854","2,271,731",0,"9,349,000",ND,"31,955,342"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,906","56,483","36,467","4,956","82,397","7,571",ND,"13,740",ND,"208,520"
Coal,"19,878","20,787",0,"17,518","25,777","26,171",ND,"123,662",ND,"233,793"
Oil,0,7,0,"2,145",985,2,ND,0,ND,"3,139"
Natural Gas,82,286,"1,404","22,119","7,236",0,ND,0,ND,"31,127"
Nuclear,404,436,0,0,"13,755",0,ND,0,ND,"14,595"
Total,"27,270","77,999","37,871","46,738","130,150","33,744",ND,"137,402","25,000","491,174"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"29,122","7,651","46,672","10,657","1,353",ND,ND,ND,"95,455"
Purchased from Supplier(s),"27,270","48,877","30,220",66,"119,493","32,391",ND,ND,ND,"258,317"
Total,"27,270","77,999","37,871","46,738","130,150","33,744",ND,ND,"164,000","353,772"

