Gas,0,"31,967","21,283","108,019",329,"20,325",ND,"181,923"
Electricity,720,"3,901","4,008","6,162","6,725","15,115",ND,"36,631"
Other,0,0,0,0,454,"1,613",ND,"2,067"
Total,"37,555","39,610","127,686","178,480","44,196","161,313","101,000","588,840"

2000,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"48,241,000"
Reporting Production (tonnes),"2,139,498","4,425,984","11,499,676","15,388,140","3,458,197","4,330,000","6,999,505","41,241,495"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"19,115",0,"7,636","42,527",0,"111,849",ND,"181,127"
Oil,"13,533","1,840","105,256","18,915","36,213","7,038",ND,"182,795"
Gas,0,"44,983","19,862","105,766",357,"19,447",ND,"190,415"
Electricity,"2,734","4,756","4,123","7,748","6,601","14,462",ND,"40,424"
Other,320,0,0,0,497,"1,543",ND,"2,360"
Total,"35,702","51,579","136,877","174,956","43,668","154,339","102,000","597,121"

1999,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"46,227,000"
Reporting Production (tonnes),"2,345,056","4,540,434","10,828,260","14,398,522","3,275,755","3,840,000","6,998,973","39,228,027"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"20,199",0,"8,634","42,781",0,"106,522",ND,"178,136"
Oil,"16,541","2,607","96,080","19,821","35,048","6,703",ND,"176,800"
Gas,0,"44,706","17,222","101,736",304,"18,520",ND,"182,488"
Electricity,"2,970","3,872","4,857","7,921","6,390","13,773",ND,"39,783"
Other,405,0,0,0,460,"1,470",ND,"2,335"
Total,"40,115","51,185","126,793","172,259","42,202","146,988","104,000","579,542"

1998,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"44,605,000"
Reporting Production (tonnes),"2,224,190","4,409,912","10,559,433","13,886,090","3,195,479","3,330,000","6,999,896","37,605,104"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"18,462",0,"7,756","40,460",0,"98,055",ND,"164,733"
Oil,"16,838","2,141","96,011","20,524","34,359","6,170",ND,"176,043"
Gas,0,"43,054","17,643","99,703",311,"17,048",ND,"177,759"
Electricity,"3,215","3,423","6,820","7,701","6,508","12,678",ND,"40,345"
Other,338,0,0,0,463,"1,353",ND,"2,154"
Total,"38,853","48,618","128,230","168,388","41,641","135,305","105,000","561,035"

1997,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"41,463,000"
Reporting Production (tonnes),"2,215,097","4,537,275","9,985,287","13,512,239","4,211,964",0,"7,001,138","34,461,862"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"17,736",0,"4,144","39,569",0,ND,ND,"61,449"
Oil,"15,652","1,935","89,054","19,998","42,123",ND,ND,"168,762"
Gas,0,"46,306","19,566","98,841",305,ND,ND,"165,018"
Electricity,"2,007","3,285","7,578","7,375","7,986",ND,ND,"28,231"
Other,835,0,0,0,933,ND,ND,"1,768"
Total,"36,230","51,526","120,342","165,783","51,347",ND,"86,000","425,228"

1996,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"41,265,000"
Reporting Production (tonnes),"2,225,531","5,317,105","9,309,374","13,090,269","3,975,131",0,"7,347,590","33,917,410"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"17,364",0,"4,081","40,098",0,ND,ND,"61,543"
Oil,"16,901","2,948","86,967","19,838","38,380",ND,ND,"165,034"
Gas,0,"61,924","19,536","92,564",354,ND,ND,"174,378"
Electricity,"1,972","2,487","6,526","7,367","7,736",ND,ND,"26,088"
Other,385,0,0,0,"1,181",ND,ND,"1,566"
Total,"36,622","67,359","117,110","159,867","47,651",ND,"93,000","428,609"

1995,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"40,006,000"
Reporting Production (tonnes),"2,393,262","5,157,184","8,216,356","13,244,083","4,854,367",0,"6,140,748","33,865,252"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"16,717",0,"4,000","40,799",0,ND,ND,"61,516"
Oil,"17,040",994,"79,106","19,451","40,825",ND,ND,"157,416"
Gas,0,"58,665","17,334","95,068","6,017",ND,ND,"177,084"
Electricity,"1,951","4,952","4,681","7,601","9,572",ND,ND,"28,757"
Other,347,0,0,0,"2,297",ND,ND,"2,644"
Total,"36,055","64,611","105,121","162,919","58,711",ND,"78,000","427,417"

1994,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"38,253,000"
Reporting Production (tonnes),"2,279,393","4,991,623","8,177,524","12,853,311","4,699,911",0,"5,251,238","33,001,762"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"16,092",0,"3,616","39,456",0,ND,ND,"59,164"
Oil,"16,402","2,225","77,098","19,001","37,924",ND,ND,"152,650"
Gas,176,"56,160","16,212","82,009","6,187",ND,ND,"160,744"
Electricity,"1,717","3,147","6,468","7,350","9,225",ND,ND,"27,907"
Other,188,0,0,0,"1,763",ND,ND,"1,951"
Total,"34,575","61,532","103,394","147,816","55,099",ND,"64,000","402,416"

1993,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"39,010,000"
Reporting Production (tonnes),"2,287,718","5,365,240","7,894,775","12,643,357","4,819,524",0,"5,999,386","33,010,614"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"17,206",0,"3,304","37,323",0,ND,ND,"57,833"
Oil,"16,716","2,819","73,905","19,108","40,966",ND,ND,"153,514"
Gas,0,"63,408","14,741","80,311","6,624",ND,ND,"165,084"
Electricity,"1,874","2,836","7,623","7,373","9,419",ND,ND,"29,125"
Other,116,0,0,0,"2,099",ND,ND,"2,215"
Total,"35,912","69,063","99,573","144,115","59,108",ND,"74,000","407,771"

1992,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"38,617,000"
Reporting Production (tonnes),"2,221,950","5,281,651","7,720,976","11,851,557","4,540,553",0,"7,000,313","31,616,687"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"15,377",0,"3,319","38,410",0,ND,ND,"57,106"
Oil,"15,981","3,426","72,385","18,475","38,701",ND,ND,"148,968"
Gas,0,"64,018","13,125","82,964","7,024",ND,ND,"167,131"
Electricity,"1,980","1,323","6,697","7,664","8,060",ND,ND,"25,724"
Other,0,0,0,0,"2,757",ND,ND,"2,757"
Total,"33,338","68,767","95,526","147,513","56,542",ND,"89,000","401,686"

1991,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"38,624,000"
Reporting Production (tonnes),"2,177,571","5,429,288","7,782,175","11,826,913","4,407,367",0,"7,000,686","31,623,314"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"15,928",0,"3,318","36,303","1,776",ND,ND,"57,325"
Oil,"15,461","3,027","70,877","19,133","36,943",ND,ND,"145,441"
Gas,15,"67,816","14,961","83,355","6,304",ND,ND,"172,451"
Electricity,"2,085","1,293","6,390","8,276","7,925",ND,ND,"25,969"
Other,0,0,0,0,312,ND,ND,312
Total,"33,489","72,136","95,546","147,067","53,260",ND,"89,000","401,498"

1990,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"38,293,000"
Reporting Production (tonnes),"2,131,719","5,420,732","7,460,285","11,358,233","3,921,838",0,"8,000,193","30,292,807"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"14,956",0,"3,130","36,526",0,ND,ND,"54,612"
Oil,"13,896","3,354","65,827","26,742","34,099",ND,ND,"143,918"
Gas,0,"67,629","14,044","73,029","5,074",ND,ND,"159,776"
Electricity,"2,094","1,053","6,410","8,017","7,262",ND,ND,"24,836"
Other,"2,070",0,0,0,630,ND,ND,"2,700"
Total,"33,016","72,036","89,411","144,314","47,065",ND,"102,000","385,842"

1989,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"37,465,000"
Reporting Production (tonnes),"2,238,131","5,334,808","6,673,080","11,054,120","4,163,106",0,"8,001,755","29,463,245"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"12,804",0,"2,941","34,340","1,341",ND,ND,"51,426"
Oil,"17,323","3,402","56,140","31,461","32,523",ND,ND,"140,849"
Gas,0,"69,258","12,628","63,656","7,182",ND,ND,"152,724"
Electricity,"2,227",174,"4,779","6,942","7,870",ND,ND,"21,992"
Other,0,0,0,0,597,ND,ND,597
Total,"32,354","72,834","76,488","136,399","49,513",ND,"100,000","367,588"

1988,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"34,301,000"
Reporting Production (tonnes),"1,913,977","4,627,693","5,851,636","10,672,488","4,233,302",0,"7,001,904","27,299,096"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"11,911",0,"2,584","33,801",669,ND,ND,"48,965"
Oil,"15,342","2,992","39,476","29,979","31,967",ND,ND,"119,756"
Gas,0,"58,466","11,988","62,067","9,547",ND,ND,"142,068"
Electricity,"2,343",391,"4,358","6,517","9,123",ND,ND,"22,732"
Other,0,0,0,0,469,ND,ND,469
Total,"29,596","61,849","58,406","132,364","51,775",ND,"86,000","333,990"

1987,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"33,119,000"
Reporting Production (tonnes),"1,207,022","4,586,863","5,815,450","10,228,116","4,282,569",0,"6,998,980","26,120,020"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"8,106",0,"2,384","33,414","1,801",ND,ND,"45,705"
Oil,"12,137","1,434","40,786","30,128","30,627",ND,ND,"115,112"
Gas,0,"54,804","11,365","59,014","10,616",ND,ND,"135,799"
Electricity,"1,503","2,142","3,416","6,232","9,040",ND,ND,"22,333"
Other,0,0,0,0,458,ND,ND,458
Total,"21,746","58,380","57,951","128,788","52,542",ND,"86,000","319,407"

1986,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"31,009,000"
Reporting Production (tonnes),"1,274,299","3,879,885","5,287,120","9,367,960","4,201,137",0,"6,998,599","24,010,401"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"6,854",0,"1,382","38,775","2,404",ND,ND,"49,415"
