"Size","Technology","Material","Source","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Car","BEV100","Wrought Aluminum","TEDB&DUCK",39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311,39.2347860756311
"Car","BEV100","Cast Aluminum","TEDB&DUCK",137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904,137.408514565904
"Car","BEV100","Other","TEDB&DUCK",764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077,764.884593932077
"Car","BEV100","Total","GREET",1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143,1873.15598006143
"Car","BEV300","HSS/AHSS","TEDB&DUCK",323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013,323.339056067013
"Car","BEV300","Cast Iron","TEDB&DUCK",16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587,16.2265338081587
"Car","BEV300","Mild steel and other steels","TEDB&DUCK",610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416,610.268581030416
"Car","BEV300","Wrought Aluminum","TEDB&DUCK",39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838,39.3075971733838
"Car","BEV300","Cast Aluminum","TEDB&DUCK",156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824,156.688943915824
"Car","BEV300","Other","TEDB&DUCK",1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738,1335.71618370738
