"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"ICEV-G","Light truck",2022,"sales","HOP",2018,"vehicle",5682786
"PHEV20","Light truck",2022,"sales","HOP",2018,"vehicle",29748
"PHEV40","Light truck",2022,"sales","HOP",2018,"vehicle",7194
"BEV100","Car",2023,"sales","HOP",2018,"vehicle",29119
"BEV300","Car",2023,"sales","HOP",2018,"vehicle",24166
"CNG","Car",2023,"sales","HOP",2018,"vehicle",35634
"FCV","Car",2023,"sales","HOP",2018,"vehicle",1702
"FFV","Car",2023,"sales","HOP",2018,"vehicle",352306
"HEV","Car",2023,"sales","HOP",2018,"vehicle",397811
"ICEV-D","Car",2023,"sales","HOP",2018,"vehicle",10297
"ICEV-G","Car",2023,"sales","HOP",2018,"vehicle",7268174
"PHEV20","Car",2023,"sales","HOP",2018,"vehicle",18838
"PHEV40","Car",2023,"sales","HOP",2018,"vehicle",43808
"BEV100","Light truck",2023,"sales","HOP",2018,"vehicle",5503
"BEV300","Light truck",2023,"sales","HOP",2018,"vehicle",4908
"CNG","Light truck",2023,"sales","HOP",2018,"vehicle",60954
"FCV","Light truck",2023,"sales","HOP",2018,"vehicle",1702
"FFV","Light truck",2023,"sales","HOP",2018,"vehicle",883187
"HEV","Light truck",2023,"sales","HOP",2018,"vehicle",102415
"ICEV-D","Light truck",2023,"sales","HOP",2018,"vehicle",128948
"ICEV-G","Light truck",2023,"sales","HOP",2018,"vehicle",5696209
"PHEV20","Light truck",2023,"sales","HOP",2018,"vehicle",29818
"PHEV40","Light truck",2023,"sales","HOP",2018,"vehicle",7211
"BEV100","Car",2024,"sales","HOP",2018,"vehicle",28822
"BEV300","Car",2024,"sales","HOP",2018,"vehicle",23920
"CNG","Car",2024,"sales","HOP",2018,"vehicle",35271
"FCV","Car",2024,"sales","HOP",2018,"vehicle",1684
"FFV","Car",2024,"sales","HOP",2018,"vehicle",348721
"HEV","Car",2024,"sales","HOP",2018,"vehicle",393763
"ICEV-D","Car",2024,"sales","HOP",2018,"vehicle",10193
"ICEV-G","Car",2024,"sales","HOP",2018,"vehicle",7194204
"PHEV20","Car",2024,"sales","HOP",2018,"vehicle",18646
"PHEV40","Car",2024,"sales","HOP",2018,"vehicle",43362
"BEV100","Light truck",2024,"sales","HOP",2018,"vehicle",5447
"BEV300","Light truck",2024,"sales","HOP",2018,"vehicle",4858
"CNG","Light truck",2024,"sales","HOP",2018,"vehicle",60333
"FCV","Light truck",2024,"sales","HOP",2018,"vehicle",1684
"FFV","Light truck",2024,"sales","HOP",2018,"vehicle",874199
"HEV","Light truck",2024,"sales","HOP",2018,"vehicle",101372
"ICEV-D","Light truck",2024,"sales","HOP",2018,"vehicle",127636
"ICEV-G","Light truck",2024,"sales","HOP",2018,"vehicle",5638237
"PHEV20","Light truck",2024,"sales","HOP",2018,"vehicle",29515
"PHEV40","Light truck",2024,"sales","HOP",2018,"vehicle",7138
"BEV100","Car",2025,"sales","HOP",2018,"vehicle",28573
"BEV300","Car",2025,"sales","HOP",2018,"vehicle",23713
"CNG","Car",2025,"sales","HOP",2018,"vehicle",34966
"FCV","Car",2025,"sales","HOP",2018,"vehicle",1670
"FFV","Car",2025,"sales","HOP",2018,"vehicle",345706
"HEV","Car",2025,"sales","HOP",2018,"vehicle",390359
"ICEV-D","Car",2025,"sales","HOP",2018,"vehicle",10104
"ICEV-G","Car",2025,"sales","HOP",2018,"vehicle",7132015
"PHEV20","Car",2025,"sales","HOP",2018,"vehicle",18485
"PHEV40","Car",2025,"sales","HOP",2018,"vehicle",42988
"BEV100","Light truck",2025,"sales","HOP",2018,"vehicle",5400
"BEV300","Light truck",2025,"sales","HOP",2018,"vehicle",4816
"CNG","Light truck",2025,"sales","HOP",2018,"vehicle",59812
"FCV","Light truck",2025,"sales","HOP",2018,"vehicle",1670
"FFV","Light truck",2025,"sales","HOP",2018,"vehicle",866642
"HEV","Light truck",2025,"sales","HOP",2018,"vehicle",100496
"ICEV-D","Light truck",2025,"sales","HOP",2018,"vehicle",126533
"ICEV-G","Light truck",2025,"sales","HOP",2018,"vehicle",5589498
"PHEV20","Light truck",2025,"sales","HOP",2018,"vehicle",29260
"PHEV40","Light truck",2025,"sales","HOP",2018,"vehicle",7076
"BEV100","Car",2026,"sales","HOP",2018,"vehicle",28709
"BEV300","Car",2026,"sales","HOP",2018,"vehicle",23826
"CNG","Car",2026,"sales","HOP",2018,"vehicle",35132
"FCV","Car",2026,"sales","HOP",2018,"vehicle",1678
"FFV","Car",2026,"sales","HOP",2018,"vehicle",347349
"HEV","Car",2026,"sales","HOP",2018,"vehicle",392213
"ICEV-D","Car",2026,"sales","HOP",2018,"vehicle",10152
"ICEV-G","Car",2026,"sales","HOP",2018,"vehicle",7165894
"PHEV20","Car",2026,"sales","HOP",2018,"vehicle",18572
"PHEV40","Car",2026,"sales","HOP",2018,"vehicle",43192
"BEV100","Light truck",2026,"sales","HOP",2018,"vehicle",5426
"BEV300","Light truck",2026,"sales","HOP",2018,"vehicle",4839
"CNG","Light truck",2026,"sales","HOP",2018,"vehicle",60096
"FCV","Light truck",2026,"sales","HOP",2018,"vehicle",1678
"FFV","Light truck",2026,"sales","HOP",2018,"vehicle",870759
"HEV","Light truck",2026,"sales","HOP",2018,"vehicle",100973
"ICEV-D","Light truck",2026,"sales","HOP",2018,"vehicle",127134
"ICEV-G","Light truck",2026,"sales","HOP",2018,"vehicle",5616050
"PHEV20","Light truck",2026,"sales","HOP",2018,"vehicle",29399
"PHEV40","Light truck",2026,"sales","HOP",2018,"vehicle",7110
"BEV100","Car",2027,"sales","HOP",2018,"vehicle",28297
"BEV300","Car",2027,"sales","HOP",2018,"vehicle",23484
"CNG","Car",2027,"sales","HOP",2018,"vehicle",34628
"FCV","Car",2027,"sales","HOP",2018,"vehicle",1654
"FFV","Car",2027,"sales","HOP",2018,"vehicle",342366
"HEV","Car",2027,"sales","HOP",2018,"vehicle",386587
"ICEV-D","Car",2027,"sales","HOP",2018,"vehicle",10007
"ICEV-G","Car",2027,"sales","HOP",2018,"vehicle",7063094
"PHEV20","Car",2027,"sales","HOP",2018,"vehicle",18306
"PHEV40","Car",2027,"sales","HOP",2018,"vehicle",42572
"BEV100","Light truck",2027,"sales","HOP",2018,"vehicle",5348
"BEV300","Light truck",2027,"sales","HOP",2018,"vehicle",4769
"CNG","Light truck",2027,"sales","HOP",2018,"vehicle",59234
