Size,Technology,Fuel type,Range,Drive Cycle,Data,Unit,Source,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Light truck,ICEV-G,Gasoline,NA,Combined,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.15055287,13.96791039,14.24472782,14.27245766,14.09961572,14.24734879,13.92313657,13.70261778,13.5590503,13.21422173,12.70196219,12.5392759,12.3289214,12.21237316,11.90788887,11.5626447,11.16244947
Light truck,ICEV-D,Diesel,NA,Combined,Sales-weighted FC,L/100km,EPA - App I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.21861723,NA,NA,NA,NA,12.75811813,10.6415737,11.25163524,11.35235965,11.47687492,11.26061468,11.13188119,10.90306948,10.75938321,10.02754568,9.428214695,9.724754318
Car,ICEV-G,Gasoline,NA,Combined,0%,L/100km,EPA - FE,4.900302803,5.004564564,5.004564564,5.004564564,5.004564564,5.004564564,5.004564564,5.004564564,5.004564564,5.470105454,5.880363363,5.880363363,5.880363363,6.357149582,6.53373707,6.918074545,6.918074545,6.918074545,6.918074545,6.918074545,7.58756563,7.350454204,6.53373707,6.53373707,6.53373707,6.53373707,6.357149582,6.357149582,6.031141911,6.031141911
Car,ICEV-G,Gasoline,NA,Combined,25%,L/100km,EPA - FE,9.800605605,9.800605605,9.800605605,9.800605605,9.800605605,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,9.800605605,9.800605605,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.22671889,10.69156975,10.69156975,10.69156975,10.69156975,10.22671889,9.800605605,9.604593493,9.408581381,9.046712866,8.711649427,8.711649427,8.711649427
Car,ICEV-G,Gasoline,NA,Combined,50%,L/100km,EPA - FE,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.76072673,11.76072673,11.20069212,11.76072673,11.76072673,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.76072673,11.76072673,11.76072673,11.76072673,11.20069212,11.20069212,11.20069212,10.69156975,10.22671889,10.22671889,10.22671889
Car,ICEV-G,Gasoline,NA,Combined,75%,L/100km,EPA - FE,12.37971234,12.37971234,12.37971234,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,12.37971234,13.06747414,13.06747414,13.06747414,13.06747414,12.37971234,12.37971234,12.37971234,11.91547313,12.37971234,11.76072673
Car,ICEV-G,Gasoline,NA,Combined,100%,L/100km,EPA - FE,33.60207636,33.60207636,33.60207636,33.60207636,33.60207636,23.52145345,29.40181682,29.40181682,23.52145345,29.40181682,26.13494828,26.13494828,23.52145345,23.52145345,26.13494828,26.13494828,23.52145345,29.40181682,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345,23.52145345
Car,ICEV-G,Gasoline,NA,City,0%,L/100km,EPA - FE,5.345784876,5.345784876,5.345784876,5.470105454,5.470105454,5.470105454,5.470105454,5.470105454,5.470105454,6.031141911,6.357149582,6.357149582,6.53373707,6.918074545,7.350454204,7.58756563,7.58756563,7.58756563,7.58756563,7.58756563,8.40051909,8.110846018,7.127713168,7.127713168,7.127713168,6.53373707,6.53373707,6.53373707,6.53373707,6.53373707
Car,ICEV-G,Gasoline,NA,City,25%,L/100km,EPA - FE,10.69156975,10.69156975,10.69156975,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.20069212,11.76072673,11.20069212,11.20069212,11.76072673,11.76072673,11.76072673,11.76072673,11.76072673,11.76072673,11.76072673,11.76072673,11.76072673,11.91547313,11.76072673,11.20069212,11.20069212,10.69156975,10.22671889,9.800605605,9.800605605,9.800605605
Car,ICEV-G,Gasoline,NA,City,50%,L/100km,EPA - FE,12.37971234,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.06747414,13.83614909,13.83614909,13.83614909,13.06747414,13.06747414,12.37971234,12.37971234,11.76072673,11.76072673,11.76072673
