"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"CNG","Car",2024,"sales","LOP",2018,"vehicle",39765
"FCV","Car",2024,"sales","LOP",2018,"vehicle",1899
"FFV","Car",2024,"sales","LOP",2018,"vehicle",393155
"HEV","Car",2024,"sales","LOP",2018,"vehicle",443930
"ICEV-D","Car",2024,"sales","LOP",2018,"vehicle",11491
"ICEV-G","Car",2024,"sales","LOP",2018,"vehicle",8110876
"PHEV20","Car",2024,"sales","LOP",2018,"vehicle",21022
"PHEV40","Car",2024,"sales","LOP",2018,"vehicle",48888
"BEV100","Light truck",2024,"sales","LOP",2018,"vehicle",6141
"BEV300","Light truck",2024,"sales","LOP",2018,"vehicle",5477
"CNG","Light truck",2024,"sales","LOP",2018,"vehicle",68022
"FCV","Light truck",2024,"sales","LOP",2018,"vehicle",1899
"FFV","Light truck",2024,"sales","LOP",2018,"vehicle",985584
"HEV","Light truck",2024,"sales","LOP",2018,"vehicle",114284
"ICEV-D","Light truck",2024,"sales","LOP",2018,"vehicle",143891
"ICEV-G","Light truck",2024,"sales","LOP",2018,"vehicle",6356647
"PHEV20","Light truck",2024,"sales","LOP",2018,"vehicle",33275
"PHEV40","Light truck",2024,"sales","LOP",2018,"vehicle",8047
"BEV100","Car",2025,"sales","LOP",2018,"vehicle",32715
"BEV300","Car",2025,"sales","LOP",2018,"vehicle",27151
"CNG","Car",2025,"sales","LOP",2018,"vehicle",40036
"FCV","Car",2025,"sales","LOP",2018,"vehicle",1912
"FFV","Car",2025,"sales","LOP",2018,"vehicle",395826
"HEV","Car",2025,"sales","LOP",2018,"vehicle",446946
"ICEV-D","Car",2025,"sales","LOP",2018,"vehicle",11569
"ICEV-G","Car",2025,"sales","LOP",2018,"vehicle",8165981
"PHEV20","Car",2025,"sales","LOP",2018,"vehicle",21164
"PHEV40","Car",2025,"sales","LOP",2018,"vehicle",49220
"BEV100","Light truck",2025,"sales","LOP",2018,"vehicle",6183
"BEV300","Light truck",2025,"sales","LOP",2018,"vehicle",5514
"CNG","Light truck",2025,"sales","LOP",2018,"vehicle",68484
"FCV","Light truck",2025,"sales","LOP",2018,"vehicle",1912
"FFV","Light truck",2025,"sales","LOP",2018,"vehicle",992280
"HEV","Light truck",2025,"sales","LOP",2018,"vehicle",115061
"ICEV-D","Light truck",2025,"sales","LOP",2018,"vehicle",144869
"ICEV-G","Light truck",2025,"sales","LOP",2018,"vehicle",6399834
"PHEV20","Light truck",2025,"sales","LOP",2018,"vehicle",33501
"PHEV40","Light truck",2025,"sales","LOP",2018,"vehicle",8102
"BEV100","Car",2026,"sales","LOP",2018,"vehicle",33204
"BEV300","Car",2026,"sales","LOP",2018,"vehicle",27557
"CNG","Car",2026,"sales","LOP",2018,"vehicle",40635
"FCV","Car",2026,"sales","LOP",2018,"vehicle",1941
