"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2025,"sales","REF",2018,"vehicle",150855
"BEV300","Car",2025,"sales","REF",2018,"vehicle",1054259
"CNG","Car",2025,"sales","REF",2018,"vehicle",28638
"FCV","Car",2025,"sales","REF",2018,"vehicle",27922
"FFV","Car",2025,"sales","REF",2018,"vehicle",382246
"HEV","Car",2025,"sales","REF",2018,"vehicle",567832
"ICEV-D","Car",2025,"sales","REF",2018,"vehicle",149510
"ICEV-G","Car",2025,"sales","REF",2018,"vehicle",6610422
"PHEV20","Car",2025,"sales","REF",2018,"vehicle",69686
"PHEV40","Car",2025,"sales","REF",2018,"vehicle",47424
"BEV100","Light truck",2025,"sales","REF",2018,"vehicle",149955
"BEV300","Light truck",2025,"sales","REF",2018,"vehicle",151323
"CNG","Light truck",2025,"sales","REF",2018,"vehicle",50854
"FCV","Light truck",2025,"sales","REF",2018,"vehicle",28821
"FFV","Light truck",2025,"sales","REF",2018,"vehicle",889297
"HEV","Light truck",2025,"sales","REF",2018,"vehicle",59114
"ICEV-D","Light truck",2025,"sales","REF",2018,"vehicle",204284
"ICEV-G","Light truck",2025,"sales","REF",2018,"vehicle",5126311
"PHEV20","Light truck",2025,"sales","REF",2018,"vehicle",67612
"PHEV40","Light truck",2025,"sales","REF",2018,"vehicle",40404
"BEV100","Car",2026,"sales","REF",2018,"vehicle",176898
"BEV300","Car",2026,"sales","REF",2018,"vehicle",1340010
"CNG","Car",2026,"sales","REF",2018,"vehicle",27938
"FCV","Car",2026,"sales","REF",2018,"vehicle",26857
"FFV","Car",2026,"sales","REF",2018,"vehicle",373365
"HEV","Car",2026,"sales","REF",2018,"vehicle",563710
"ICEV-D","Car",2026,"sales","REF",2018,"vehicle",168558
"ICEV-G","Car",2026,"sales","REF",2018,"vehicle",6350952
"PHEV20","Car",2026,"sales","REF",2018,"vehicle",68801
"PHEV40","Car",2026,"sales","REF",2018,"vehicle",48723
"BEV100","Light truck",2026,"sales","REF",2018,"vehicle",201159
"BEV300","Light truck",2026,"sales","REF",2018,"vehicle",202069
"CNG","Light truck",2026,"sales","REF",2018,"vehicle",50760
"FCV","Light truck",2026,"sales","REF",2018,"vehicle",28212
"FFV","Light truck",2026,"sales","REF",2018,"vehicle",903662
"HEV","Light truck",2026,"sales","REF",2018,"vehicle",60927
"ICEV-D","Light truck",2026,"sales","REF",2018,"vehicle",201352
"ICEV-G","Light truck",2026,"sales","REF",2018,"vehicle",5101340
"PHEV20","Light truck",2026,"sales","REF",2018,"vehicle",66286
"PHEV40","Light truck",2026,"sales","REF",2018,"vehicle",39560
"BEV100","Car",2027,"sales","REF",2018,"vehicle",218285
"BEV300","Car",2027,"sales","REF",2018,"vehicle",1787653
"CNG","Car",2027,"sales","REF",2018,"vehicle",26672
"FCV","Car",2027,"sales","REF",2018,"vehicle",24617
"FFV","Car",2027,"sales","REF",2018,"vehicle",364436
"HEV","Car",2027,"sales","REF",2018,"vehicle",547799
"ICEV-D","Car",2027,"sales","REF",2018,"vehicle",184416
"ICEV-G","Car",2027,"sales","REF",2018,"vehicle",5985201
"PHEV20","Car",2027,"sales","REF",2018,"vehicle",65169
"PHEV40","Car",2027,"sales","REF",2018,"vehicle",48752
"BEV100","Light truck",2027,"sales","REF",2018,"vehicle",282960
"BEV300","Light truck",2027,"sales","REF",2018,"vehicle",282817
"CNG","Light truck",2027,"sales","REF",2018,"vehicle",49221
"FCV","Light truck",2027,"sales","REF",2018,"vehicle",26683
"FFV","Light truck",2027,"sales","REF",2018,"vehicle",914093
"HEV","Light truck",2027,"sales","REF",2018,"vehicle",60820
"ICEV-D","Light truck",2027,"sales","REF",2018,"vehicle",189398
"ICEV-G","Light truck",2027,"sales","REF",2018,"vehicle",4914019
"PHEV20","Light truck",2027,"sales","REF",2018,"vehicle",62785
"PHEV40","Light truck",2027,"sales","REF",2018,"vehicle",37426
"BEV100","Car",2028,"sales","REF",2018,"vehicle",258160
"BEV300","Car",2028,"sales","REF",2018,"vehicle",2236624
"CNG","Car",2028,"sales","REF",2018,"vehicle",25475
"FCV","Car",2028,"sales","REF",2018,"vehicle",23181
"FFV","Car",2028,"sales","REF",2018,"vehicle",350456
"HEV","Car",2028,"sales","REF",2018,"vehicle",532023
"ICEV-D","Car",2028,"sales","REF",2018,"vehicle",201420
"ICEV-G","Car",2028,"sales","REF",2018,"vehicle",5643853
"PHEV20","Car",2028,"sales","REF",2018,"vehicle",63714
"PHEV40","Car",2028,"sales","REF",2018,"vehicle",50677
"BEV100","Light truck",2028,"sales","REF",2018,"vehicle",373501
"BEV300","Light truck",2028,"sales","REF",2018,"vehicle",371694
"CNG","Light truck",2028,"sales","REF",2018,"vehicle",47798
"FCV","Light truck",2028,"sales","REF",2018,"vehicle",25882
"FFV","Light truck",2028,"sales","REF",2018,"vehicle",902545
"HEV","Light truck",2028,"sales","REF",2018,"vehicle",60734
"ICEV-D","Light truck",2028,"sales","REF",2018,"vehicle",180896
"ICEV-G","Light truck",2028,"sales","REF",2018,"vehicle",4753945
"PHEV20","Light truck",2028,"sales","REF",2018,"vehicle",60995
"PHEV40","Light truck",2028,"sales","REF",2018,"vehicle",36318
"BEV100","Car",2029,"sales","REF",2018,"vehicle",307934
"BEV300","Car",2029,"sales","REF",2018,"vehicle",2776769
"CNG","Car",2029,"sales","REF",2018,"vehicle",23695
"FCV","Car",2029,"sales","REF",2018,"vehicle",21625
"FFV","Car",2029,"sales","REF",2018,"vehicle",327159
"HEV","Car",2029,"sales","REF",2018,"vehicle",502334
"ICEV-D","Car",2029,"sales","REF",2018,"vehicle",199735
"ICEV-G","Car",2029,"sales","REF",2018,"vehicle",5189990
"PHEV20","Car",2029,"sales","REF",2018,"vehicle",59890
"PHEV40","Car",2029,"sales","REF",2018,"vehicle",54972
"BEV100","Light truck",2029,"sales","REF",2018,"vehicle",489160
"BEV300","Light truck",2029,"sales","REF",2018,"vehicle",484956
"CNG","Light truck",2029,"sales","REF",2018,"vehicle",45680
"FCV","Light truck",2029,"sales","REF",2018,"vehicle",25135
"FFV","Light truck",2029,"sales","REF",2018,"vehicle",873605
"HEV","Light truck",2029,"sales","REF",2018,"vehicle",59541
"ICEV-D","Light truck",2029,"sales","REF",2018,"vehicle",169082
"ICEV-G","Light truck",2029,"sales","REF",2018,"vehicle",4529405
"PHEV20","Light truck",2029,"sales","REF",2018,"vehicle",59324
"PHEV40","Light truck",2029,"sales","REF",2018,"vehicle",35286
"BEV100","Car",2030,"sales","REF",2018,"vehicle",342704
"BEV300","Car",2030,"sales","REF",2018,"vehicle",3209957
"CNG","Car",2030,"sales","REF",2018,"vehicle",22412
"FCV","Car",2030,"sales","REF",2018,"vehicle",20360
"FFV","Car",2030,"sales","REF",2018,"vehicle",310237
"HEV","Car",2030,"sales","REF",2018,"vehicle",480494
"ICEV-D","Car",2030,"sales","REF",2018,"vehicle",196568
"ICEV-G","Car",2030,"sales","REF",2018,"vehicle",4857486
"PHEV20","Car",2030,"sales","REF",2018,"vehicle",56732
"PHEV40","Car",2030,"sales","REF",2018,"vehicle",58876
"BEV100","Light truck",2030,"sales","REF",2018,"vehicle",595901
"BEV300","Light truck",2030,"sales","REF",2018,"vehicle",588319
"CNG","Light truck",2030,"sales","REF",2018,"vehicle",44074
"FCV","Light truck",2030,"sales","REF",2018,"vehicle",24351
"FFV","Light truck",2030,"sales","REF",2018,"vehicle",854854
"HEV","Light truck",2030,"sales","REF",2018,"vehicle",58529
"ICEV-D","Light truck",2030,"sales","REF",2018,"vehicle",159760
"ICEV-G","Light truck",2030,"sales","REF",2018,"vehicle",4360666
"PHEV20","Light truck",2030,"sales","REF",2018,"vehicle",57589
"PHEV40","Light truck",2030,"sales","REF",2018,"vehicle",34205
"BEV100","Car",2031,"sales","REF",2018,"vehicle",384329
"BEV300","Car",2031,"sales","REF",2018,"vehicle",3763138
"CNG","Car",2031,"sales","REF",2018,"vehicle",20624
"FCV","Car",2031,"sales","REF",2018,"vehicle",18625
"FFV","Car",2031,"sales","REF",2018,"vehicle",280088
"HEV","Car",2031,"sales","REF",2018,"vehicle",447642
"ICEV-D","Car",2031,"sales","REF",2018,"vehicle",179152
"ICEV-G","Car",2031,"sales","REF",2018,"vehicle",4432862
"PHEV20","Car",2031,"sales","REF",2018,"vehicle",52234
"PHEV40","Car",2031,"sales","REF",2018,"vehicle",57105
"BEV100","Light truck",2031,"sales","REF",2018,"vehicle",735158
"BEV300","Light truck",2031,"sales","REF",2018,"vehicle",722059
"CNG","Light truck",2031,"sales","REF",2018,"vehicle",41750
"FCV","Light truck",2031,"sales","REF",2018,"vehicle",23198
"FFV","Light truck",2031,"sales","REF",2018,"vehicle",793311
"HEV","Light truck",2031,"sales","REF",2018,"vehicle",56526
"ICEV-D","Light truck",2031,"sales","REF",2018,"vehicle",152057
"ICEV-G","Light truck",2031,"sales","REF",2018,"vehicle",4140488
"PHEV20","Light truck",2031,"sales","REF",2018,"vehicle",55005
"PHEV40","Light truck",2031,"sales","REF",2018,"vehicle",32609
"BEV100","Car",2032,"sales","REF",2018,"vehicle",420660
"BEV300","Car",2032,"sales","REF",2018,"vehicle",4277885
"CNG","Car",2032,"sales","REF",2018,"vehicle",18665
"FCV","Car",2032,"sales","REF",2018,"vehicle",16978
"FFV","Car",2032,"sales","REF",2018,"vehicle",252304
"HEV","Car",2032,"sales","REF",2018,"vehicle",408778
"ICEV-D","Car",2032,"sales","REF",2018,"vehicle",159770
"ICEV-G","Car",2032,"sales","REF",2018,"vehicle",3977978
"PHEV20","Car",2032,"sales","REF",2018,"vehicle",47731
"PHEV40","Car",2032,"sales","REF",2018,"vehicle",53896
"BEV100","Light truck",2032,"sales","REF",2018,"vehicle",878685
"BEV300","Light truck",2032,"sales","REF",2018,"vehicle",859133
"CNG","Light truck",2032,"sales","REF",2018,"vehicle",39147
"FCV","Light truck",2032,"sales","REF",2018,"vehicle",22070
"FFV","Light truck",2032,"sales","REF",2018,"vehicle",743814
"HEV","Light truck",2032,"sales","REF",2018,"vehicle",53728
"ICEV-D","Light truck",2032,"sales","REF",2018,"vehicle",140221
"ICEV-G","Light truck",2032,"sales","REF",2018,"vehicle",3880976
"PHEV20","Light truck",2032,"sales","REF",2018,"vehicle",52475
"PHEV40","Light truck",2032,"sales","REF",2018,"vehicle",31049
"BEV100","Car",2033,"sales","REF",2018,"vehicle",448961
"BEV300","Car",2033,"sales","REF",2018,"vehicle",4780003
"CNG","Car",2033,"sales","REF",2018,"vehicle",16738
"FCV","Car",2033,"sales","REF",2018,"vehicle",15313
"FFV","Car",2033,"sales","REF",2018,"vehicle",228251
"HEV","Car",2033,"sales","REF",2018,"vehicle",368138
"ICEV-D","Car",2033,"sales","REF",2018,"vehicle",138213
"ICEV-G","Car",2033,"sales","REF",2018,"vehicle",3538222
"PHEV20","Car",2033,"sales","REF",2018,"vehicle",43132
"PHEV40","Car",2033,"sales","REF",2018,"vehicle",49999
"BEV100","Light truck",2033,"sales","REF",2018,"vehicle",1030663
"BEV300","Light truck",2033,"sales","REF",2018,"vehicle",1002823
"CNG","Light truck",2033,"sales","REF",2018,"vehicle",36462
"FCV","Light truck",2033,"sales","REF",2018,"vehicle",20787
"FFV","Light truck",2033,"sales","REF",2018,"vehicle",705941
"HEV","Light truck",2033,"sales","REF",2018,"vehicle",50558
"ICEV-D","Light truck",2033,"sales","REF",2018,"vehicle",128345
"ICEV-G","Light truck",2033,"sales","REF",2018,"vehicle",3602113
"PHEV20","Light truck",2033,"sales","REF",2018,"vehicle",49577
"PHEV40","Light truck",2033,"sales","REF",2018,"vehicle",29273
"BEV100","Car",2034,"sales","REF",2018,"vehicle",476428
"BEV300","Car",2034,"sales","REF",2018,"vehicle",5298854
"CNG","Car",2034,"sales","REF",2018,"vehicle",14982
"FCV","Car",2034,"sales","REF",2018,"vehicle",13736
"FFV","Car",2034,"sales","REF",2018,"vehicle",205806
"HEV","Car",2034,"sales","REF",2018,"vehicle",329869
"ICEV-D","Car",2034,"sales","REF",2018,"vehicle",122920
"ICEV-G","Car",2034,"sales","REF",2018,"vehicle",3138128
"PHEV20","Car",2034,"sales","REF",2018,"vehicle",38771
"PHEV40","Car",2034,"sales","REF",2018,"vehicle",46097
"BEV100","Light truck",2034,"sales","REF",2018,"vehicle",1198806
"BEV300","Light truck",2034,"sales","REF",2018,"vehicle",1160111
"CNG","Light truck",2034,"sales","REF",2018,"vehicle",33832
"FCV","Light truck",2034,"sales","REF",2018,"vehicle",19465
"FFV","Light truck",2034,"sales","REF",2018,"vehicle",667124
"HEV","Light truck",2034,"sales","REF",2018,"vehicle",47342
"ICEV-D","Light truck",2034,"sales","REF",2018,"vehicle",117778
"ICEV-G","Light truck",2034,"sales","REF",2018,"vehicle",3329651
"PHEV20","Light truck",2034,"sales","REF",2018,"vehicle",46583
"PHEV40","Light truck",2034,"sales","REF",2018,"vehicle",27443
"BEV100","Car",2035,"sales","REF",2018,"vehicle",500098
"BEV300","Car",2035,"sales","REF",2018,"vehicle",5805415
"CNG","Car",2035,"sales","REF",2018,"vehicle",13205
"FCV","Car",2035,"sales","REF",2018,"vehicle",12081
"FFV","Car",2035,"sales","REF",2018,"vehicle",182631
"HEV","Car",2035,"sales","REF",2018,"vehicle",290635
"ICEV-D","Car",2035,"sales","REF",2018,"vehicle",104738
"ICEV-G","Car",2035,"sales","REF",2018,"vehicle",2746072
"PHEV20","Car",2035,"sales","REF",2018,"vehicle",34164
"PHEV40","Car",2035,"sales","REF",2018,"vehicle",41594
"BEV100","Light truck",2035,"sales","REF",2018,"vehicle",1377352
"BEV300","Light truck",2035,"sales","REF",2018,"vehicle",1325010
"CNG","Light truck",2035,"sales","REF",2018,"vehicle",31103
"FCV","Light truck",2035,"sales","REF",2018,"vehicle",17942
"FFV","Light truck",2035,"sales","REF",2018,"vehicle",623740
"HEV","Light truck",2035,"sales","REF",2018,"vehicle",43823
"ICEV-D","Light truck",2035,"sales","REF",2018,"vehicle",106818
"ICEV-G","Light truck",2035,"sales","REF",2018,"vehicle",3053095
"PHEV20","Light truck",2035,"sales","REF",2018,"vehicle",43102
"PHEV40","Light truck",2035,"sales","REF",2018,"vehicle",25331
"BEV100","Car",2036,"sales","REF",2018,"vehicle",491400
"BEV300","Car",2036,"sales","REF",2018,"vehicle",5906949
"CNG","Car",2036,"sales","REF",2018,"vehicle",13104
"FCV","Car",2036,"sales","REF",2018,"vehicle",12004
"FFV","Car",2036,"sales","REF",2018,"vehicle",181046
"HEV","Car",2036,"sales","REF",2018,"vehicle",288243
"ICEV-D","Car",2036,"sales","REF",2018,"vehicle",100169
"ICEV-G","Car",2036,"sales","REF",2018,"vehicle",2710689
"PHEV20","Car",2036,"sales","REF",2018,"vehicle",33980
"PHEV40","Car",2036,"sales","REF",2018,"vehicle",42189
"BEV100","Light truck",2036,"sales","REF",2018,"vehicle",1401734
"BEV300","Light truck",2036,"sales","REF",2018,"vehicle",1340415
"CNG","Light truck",2036,"sales","REF",2018,"vehicle",30871
"FCV","Light truck",2036,"sales","REF",2018,"vehicle",17878
"FFV","Light truck",2036,"sales","REF",2018,"vehicle",621508
"HEV","Light truck",2036,"sales","REF",2018,"vehicle",43806
"ICEV-D","Light truck",2036,"sales","REF",2018,"vehicle",104815
"ICEV-G","Light truck",2036,"sales","REF",2018,"vehicle",3030527
"PHEV20","Light truck",2036,"sales","REF",2018,"vehicle",43128
"PHEV40","Light truck",2036,"sales","REF",2018,"vehicle",25282
"BEV100","Car",2037,"sales","REF",2018,"vehicle",477201
"BEV300","Car",2037,"sales","REF",2018,"vehicle",5915178
"CNG","Car",2037,"sales","REF",2018,"vehicle",13473
"FCV","Car",2037,"sales","REF",2018,"vehicle",12299
"FFV","Car",2037,"sales","REF",2018,"vehicle",185422
"HEV","Car",2037,"sales","REF",2018,"vehicle",296236
"ICEV-D","Car",2037,"sales","REF",2018,"vehicle",98737
"ICEV-G","Car",2037,"sales","REF",2018,"vehicle",2769234
"PHEV20","Car",2037,"sales","REF",2018,"vehicle",34897
