"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"ICEV-G","Light truck",2022,"sales","LOP",2018,"vehicle",6871563
"PHEV20","Light truck",2022,"sales","LOP",2018,"vehicle",47248
"PHEV40","Light truck",2022,"sales","LOP",2018,"vehicle",28182
"BEV100","Car",2023,"sales","LOP",2018,"vehicle",151928
"BEV300","Car",2023,"sales","LOP",2018,"vehicle",896004
"CNG","Car",2023,"sales","LOP",2018,"vehicle",24043
"FCV","Car",2023,"sales","LOP",2018,"vehicle",19719
"FFV","Car",2023,"sales","LOP",2018,"vehicle",318355
"HEV","Car",2023,"sales","LOP",2018,"vehicle",450891
"ICEV-D","Car",2023,"sales","LOP",2018,"vehicle",98528
"ICEV-G","Car",2023,"sales","LOP",2018,"vehicle",5987876
"PHEV20","Car",2023,"sales","LOP",2018,"vehicle",53133
"PHEV40","Car",2023,"sales","LOP",2018,"vehicle",34284
"BEV100","Light truck",2023,"sales","LOP",2018,"vehicle",58328
"BEV300","Light truck",2023,"sales","LOP",2018,"vehicle",58108
"CNG","Light truck",2023,"sales","LOP",2018,"vehicle",65461
"FCV","Light truck",2023,"sales","LOP",2018,"vehicle",21346
"FFV","Light truck",2023,"sales","LOP",2018,"vehicle",1073237
"HEV","Light truck",2023,"sales","LOP",2018,"vehicle",66046
"ICEV-D","Light truck",2023,"sales","LOP",2018,"vehicle",284642
"ICEV-G","Light truck",2023,"sales","LOP",2018,"vehicle",6882956
"PHEV20","Light truck",2023,"sales","LOP",2018,"vehicle",55715
"PHEV40","Light truck",2023,"sales","LOP",2018,"vehicle",33251
"BEV100","Car",2024,"sales","LOP",2018,"vehicle",170134
"BEV300","Car",2024,"sales","LOP",2018,"vehicle",975921
"CNG","Car",2024,"sales","LOP",2018,"vehicle",24398
"FCV","Car",2024,"sales","LOP",2018,"vehicle",24117
"FFV","Car",2024,"sales","LOP",2018,"vehicle",322154
"HEV","Car",2024,"sales","LOP",2018,"vehicle",468861
"ICEV-D","Car",2024,"sales","LOP",2018,"vehicle",113766
"ICEV-G","Car",2024,"sales","LOP",2018,"vehicle",5951659
"PHEV20","Car",2024,"sales","LOP",2018,"vehicle",61586
"PHEV40","Car",2024,"sales","LOP",2018,"vehicle",39897
"BEV100","Light truck",2024,"sales","LOP",2018,"vehicle",101014
"BEV300","Light truck",2024,"sales","LOP",2018,"vehicle",101230
"CNG","Light truck",2024,"sales","LOP",2018,"vehicle",65908
"FCV","Light truck",2024,"sales","LOP",2018,"vehicle",26033
"FFV","Light truck",2024,"sales","LOP",2018,"vehicle",1078387
"HEV","Light truck",2024,"sales","LOP",2018,"vehicle",69287
"ICEV-D","Light truck",2024,"sales","LOP",2018,"vehicle",287690
"ICEV-G","Light truck",2024,"sales","LOP",2018,"vehicle",6869452
"PHEV20","Light truck",2024,"sales","LOP",2018,"vehicle",64035
"PHEV40","Light truck",2024,"sales","LOP",2018,"vehicle",38226
"BEV100","Car",2025,"sales","LOP",2018,"vehicle",183818
"BEV300","Car",2025,"sales","LOP",2018,"vehicle",1105770
"CNG","Car",2025,"sales","LOP",2018,"vehicle",24347
"FCV","Car",2025,"sales","LOP",2018,"vehicle",27932
"FFV","Car",2025,"sales","LOP",2018,"vehicle",317862
"HEV","Car",2025,"sales","LOP",2018,"vehicle",462818
"ICEV-D","Car",2025,"sales","LOP",2018,"vehicle",128163
"ICEV-G","Car",2025,"sales","LOP",2018,"vehicle",5823061
"PHEV20","Car",2025,"sales","LOP",2018,"vehicle",68686
"PHEV40","Car",2025,"sales","LOP",2018,"vehicle",44887
"BEV100","Light truck",2025,"sales","LOP",2018,"vehicle",160894
"BEV300","Light truck",2025,"sales","LOP",2018,"vehicle",161502
"CNG","Light truck",2025,"sales","LOP",2018,"vehicle",65595
"FCV","Light truck",2025,"sales","LOP",2018,"vehicle",29994
"FFV","Light truck",2025,"sales","LOP",2018,"vehicle",1075377
"HEV","Light truck",2025,"sales","LOP",2018,"vehicle",70694
"ICEV-D","Light truck",2025,"sales","LOP",2018,"vehicle",285888
"ICEV-G","Light truck",2025,"sales","LOP",2018,"vehicle",6818534
"PHEV20","Light truck",2025,"sales","LOP",2018,"vehicle",70404
"PHEV40","Light truck",2025,"sales","LOP",2018,"vehicle",42034
"BEV100","Car",2026,"sales","LOP",2018,"vehicle",212603
"BEV300","Car",2026,"sales","LOP",2018,"vehicle",1420071
"CNG","Car",2026,"sales","LOP",2018,"vehicle",23507
"FCV","Car",2026,"sales","LOP",2018,"vehicle",25335
"FFV","Car",2026,"sales","LOP",2018,"vehicle",303585
"HEV","Car",2026,"sales","LOP",2018,"vehicle",455436
"ICEV-D","Car",2026,"sales","LOP",2018,"vehicle",145086
"ICEV-G","Car",2026,"sales","LOP",2018,"vehicle",5563097
"PHEV20","Car",2026,"sales","LOP",2018,"vehicle",63737
"PHEV40","Car",2026,"sales","LOP",2018,"vehicle",42992
"BEV100","Light truck",2026,"sales","LOP",2018,"vehicle",217370
