"Technology","Size","Year","Data_type","Value","Unit"
"PHEV20","Car",1981,"sales",0,"vehicle"
"PHEV40","Car",1981,"sales",0,"vehicle"
"BEV100","Light truck",1981,"sales",0,"vehicle"
"BEV300","Light truck",1981,"sales",0,"vehicle"
"CNG","Light truck",1981,"sales",0,"vehicle"
"FCV","Light truck",1981,"sales",0,"vehicle"
"FFV","Light truck",1981,"sales",0,"vehicle"
"HEV","Light truck",1981,"sales",0,"vehicle"
"ICEV-D","Light truck",1981,"sales",67858,"vehicle"
"ICEV-G","Light truck",1981,"sales",2121140,"vehicle"
"PHEV20","Light truck",1981,"sales",0,"vehicle"
"PHEV40","Light truck",1981,"sales",0,"vehicle"
"BEV100","Car",1982,"sales",0,"vehicle"
"BEV300","Car",1982,"sales",0,"vehicle"
"CNG","Car",1982,"sales",0,"vehicle"
"FCV","Car",1982,"sales",0,"vehicle"
"FFV","Car",1982,"sales",0,"vehicle"
"HEV","Car",1982,"sales",0,"vehicle"
"ICEV-D","Car",1982,"sales",354400,"vehicle"
"ICEV-G","Car",1982,"sales",7627599,"vehicle"
"PHEV20","Car",1982,"sales",0,"vehicle"
"PHEV40","Car",1982,"sales",0,"vehicle"
"BEV100","Light truck",1982,"sales",0,"vehicle"
"BEV300","Light truck",1982,"sales",0,"vehicle"
"CNG","Light truck",1982,"sales",0,"vehicle"
"FCV","Light truck",1982,"sales",0,"vehicle"
"FFV","Light truck",1982,"sales",0,"vehicle"
"HEV","Light truck",1982,"sales",0,"vehicle"
"ICEV-D","Light truck",1982,"sales",209950,"vehicle"
"ICEV-G","Light truck",1982,"sales",2260050,"vehicle"
"PHEV20","Light truck",1982,"sales",0,"vehicle"
"PHEV40","Light truck",1982,"sales",0,"vehicle"
"BEV100","Car",1983,"sales",0,"vehicle"
"BEV300","Car",1983,"sales",0,"vehicle"
"CNG","Car",1983,"sales",0,"vehicle"
"FCV","Car",1983,"sales",0,"vehicle"
"FFV","Car",1983,"sales",0,"vehicle"
"HEV","Car",1983,"sales",0,"vehicle"
"ICEV-D","Car",1983,"sales",191903,"vehicle"
"ICEV-G","Car",1983,"sales",8990096,"vehicle"
"PHEV20","Car",1983,"sales",0,"vehicle"
"PHEV40","Car",1983,"sales",0,"vehicle"
"BEV100","Light truck",1983,"sales",0,"vehicle"
"BEV300","Light truck",1983,"sales",0,"vehicle"
"CNG","Light truck",1983,"sales",0,"vehicle"
"FCV","Light truck",1983,"sales",0,"vehicle"
"FFV","Light truck",1983,"sales",0,"vehicle"
"HEV","Light truck",1983,"sales",0,"vehicle"
"ICEV-D","Light truck",1983,"sales",199928,"vehicle"
"ICEV-G","Light truck",1983,"sales",2784072,"vehicle"
"PHEV20","Light truck",1983,"sales",0,"vehicle"
"PHEV40","Light truck",1983,"sales",0,"vehicle"
"BEV100","Car",1984,"sales",0,"vehicle"
"BEV300","Car",1984,"sales",0,"vehicle"
"CNG","Car",1984,"sales",0,"vehicle"
"FCV","Car",1984,"sales",0,"vehicle"
"FFV","Car",1984,"sales",0,"vehicle"
"HEV","Car",1984,"sales",0,"vehicle"
"ICEV-D","Car",1984,"sales",150669,"vehicle"
"ICEV-G","Car",1984,"sales",10240330,"vehicle"
"PHEV20","Car",1984,"sales",0,"vehicle"
"PHEV40","Car",1984,"sales",0,"vehicle"
"BEV100","Light truck",1984,"sales",0,"vehicle"
"BEV300","Light truck",1984,"sales",0,"vehicle"
"CNG","Light truck",1984,"sales",0,"vehicle"
