Size,Technology,Aeo_case,Fc_impro,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Light truck,BEV100,REF,High,0,0,-0.611354545,-0.653632993,-1.287606601,-1.129455349,-1.420575351,-2.312628246,-2.984151333,-1.757121476,-2.818289474,-0.017332375,0.002006836,0.001553641,0.000359125,-9.60E-05,0.000916064,0.001259844,0.00129731,0.001289645,0.000930512,0.000717335,0.000425409,0.000476307,0.000123878,0.000264082,0.000183418,0.000145966,0.000183418,0.000212228,8.07E-05,0.000169014,5.86E-05,8.07E-05,9.51E-05,8.07E-05
Light truck,BEV300,REF,Med,0,0,-0.772850723,-0.972118404,-0.67352406,-0.819269354,-1.524123253,-1.018557344,-0.674489407,-0.937336652,-0.439605963,-0.012310547,-0.012971546,-0.017460693,-0.022652,-0.025665706,-0.021539515,-0.011375605,-0.020672195,-0.021029551,-0.017672389,-0.014727298,-0.01209802,-0.011979897,-0.006022229,-0.012495054,-0.006009503,-0.005165004,-0.006085668,-0.006464998,-0.000595274,-0.057557576,-0.001943517,-0.001106334,0,-0.138738149
Light truck,BEV300,REF,High,0,0,-1.426561812,-0.874278354,-0.837734618,-1.343507176,-2.679654296,-2.052781669,-1.479989299,-2.720657003,-1.71586046,-0.007355302,-0.005736409,-0.009757713,-0.00780123,-0.011167218,-0.010236697,-0.0041306,-0.004542732,-0.006235831,-0.004460152,-0.003551577,-0.002828913,-0.003557664,-0.001754446,-0.004246572,-0.002064614,-0.001822852,-0.002244015,-0.002449596,-0.000336412,-0.003344171,-0.000963199,-0.000571783,0,0.027633597
Light truck,FFV,REF,Med,0,0,-1.243492676,-1.607438857,-1.44909597,-2.663889179,-4.100032146,-3.163378767,-1.996990858,-4.303150565,-3.19938786,0.060449308,0.028005214,0.059127506,0.063678644,0.0627816,0.063349258,0.204972986,0.217009553,0.211619183,0.21194025,0.210996711,0.198767623,0.210550086,0.212688146,0.221504862,0.219880551,0.222847578,0.227897124,0.228707044,0.226964617,0.086816401,0.048985013,0.07747077,0.078656778,-0.235298104
Light truck,FFV,REF,High,0,0,-2.961881432,-2.653924281,-3.064986803,-5.536264728,-9.264774477,-7.349750603,-5.788697153,-7.677804991,-2.582596904,-0.55712638,-0.424186807,-0.141749017,0.035782909,0.080954583,0.068782551,0.073040378,0.068254937,0.062347918,0.060701275,0.057730358,0.044476572,0.05083565,0.047089586,0.051155979,0.049946504,0.048151507,0.047555191,0.047000226,0.063654111,-0.134592282,0.024730995,0.0468828,0.047924948,-0.351981335
Light truck,ICEV-D,REF,Med,0,0,-0.651541683,-0.274898229,-0.50313913,-1.300440318,-2.505703741,-3.223047828,-2.354009865,-2.962331779,-4.383912669,-0.032820999,-0.028407597,0.033223348,0.074933622,0.370219191,0.464438481,0.458155408,0.458477396,0.45745873,0.451574551,0.452669599,0.451278648,0.449926239,0.447347964,0.453180292,0.450657335,0.45114533,0.452834108,0.453277614,0.450624084,0.353708095,0.384660861,0.384354836,0.384195936,0.241221294
Light truck,ICEV-D,REF,High,0,0,-1.407062163,-1.115197896,-1.555302677,-2.812716069,-4.491753064,-4.812962942,-4.163906619,-4.372945693,-1.851040398,-0.347829926,-0.376814663,-0.129042088,0.046776059,0.080000161,0.06663919,0.063825472,0.056401593,0.049515388,0.050545296,0.056298419,0.044862603,0.049546846,0.046503027,0.050141411,0.056740223,0.049144154,0.085182734,0.120062361,0.118568722,-0.019437781,0.02154512,0.041861362,0.042599302,-0.3186864
Light truck,CNG,REF,Med,0,0,-1.669720498,-1.73566728,-1.049154737,-2.057520748,-3.21654813,-3.885199971,-3.763701519,-4.90704468,-0.914110544,-0.353917492,-0.412650705,-0.233546794,-0.222065535,-0.20242746,-0.145767463,-0.142560327,-0.141186243,-0.133215762,-0.092463128,-0.015198941,-0.016257769,-0.009997991,0.010181851,-0.018360607,0.007559691,0.015011689,0.011274767,0.00955297,0.033972488,-0.036396311,0.026963238,0.030309031,0.034794838,-0.427360573
Light truck,CNG,REF,High,0,0,-2.943269177,-2.678082817,-3.063581421,-5.520979186,-9.251341985,-7.350799603,-5.827632937,-7.715439654,-2.51228077,-0.557352053,-0.432435185,-0.137711916,0.034345295,0.078681342,0.066006345,0.061235868,0.056372057,0.058814547,0.057109299,0.054004523,0.041336202,0.046302067,0.043130884,0.092019776,0.131461543,0.131832344,0.131781356,0.131466325,0.1358223,-0.087990697,0.022057693,0.041471064,0.04249379,-0.412041734
Light truck,HEV,REF,Med,0,0,-1.551358081,-1.077976517,-1.265212262,-2.517284861,-4.027488405,-2.699450697,-0.941873322,-2.51923943,-6.028455987,0.09577349,0.08695207,0.089025828,0.070334676,0.06959558,0.112055099,0.192525494,0.18951701,0.189234493,0.20374354,0.206918151,0.197510199,0.207602113,0.209066211,0.209729224,0.211191016,0.214408604,0.217990072,0.218748152,0.222190275,0.026869433,0.046592437,0.070970287,0.07348693,0.006965754
Light truck,HEV,REF,High,0,0,-3.584924313,-2.027263899,-2.387164644,-4.513412191,-6.920681382,-3.734485945,-2.213930036,-4.090882616,-4.896296906,-0.201158476,-0.085804169,-0.07281554,-0.091439164,-0.121161032,-0.164499991,-0.1304899,-0.101427212,-0.080172777,-0.020121866,-0.001303269,0.005698719,0.028563557,0.051480531,0.037002243,0.06669107,0.075640748,0.078538182,0.075499941,0.091214948,-0.043030284,0.028904001,0.077770422,0.081262317,-0.04923628
