"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2025,"sales","REF",2018,"vehicle",91929
"BEV300","Car",2025,"sales","REF",2018,"vehicle",642449
"CNG","Car",2025,"sales","REF",2018,"vehicle",30349
"FCV","Car",2025,"sales","REF",2018,"vehicle",29590
"FFV","Car",2025,"sales","REF",2018,"vehicle",405071
"HEV","Car",2025,"sales","REF",2018,"vehicle",601738
"ICEV-D","Car",2025,"sales","REF",2018,"vehicle",158438
"ICEV-G","Car",2025,"sales","REF",2018,"vehicle",7005133
"PHEV20","Car",2025,"sales","REF",2018,"vehicle",73848
"PHEV40","Car",2025,"sales","REF",2018,"vehicle",50256
"BEV100","Light truck",2025,"sales","REF",2018,"vehicle",64884
"BEV300","Light truck",2025,"sales","REF",2018,"vehicle",65476
"CNG","Light truck",2025,"sales","REF",2018,"vehicle",52199
"FCV","Light truck",2025,"sales","REF",2018,"vehicle",29583
"FFV","Light truck",2025,"sales","REF",2018,"vehicle",912802
"HEV","Light truck",2025,"sales","REF",2018,"vehicle",60677
"ICEV-D","Light truck",2025,"sales","REF",2018,"vehicle",209684
"ICEV-G","Light truck",2025,"sales","REF",2018,"vehicle",5261803
"PHEV20","Light truck",2025,"sales","REF",2018,"vehicle",69400
"PHEV40","Light truck",2025,"sales","REF",2018,"vehicle",41472
"BEV100","Car",2026,"sales","REF",2018,"vehicle",92117
"BEV300","Car",2026,"sales","REF",2018,"vehicle",697787
"CNG","Car",2026,"sales","REF",2018,"vehicle",30601
"FCV","Car",2026,"sales","REF",2018,"vehicle",29417
"FFV","Car",2026,"sales","REF",2018,"vehicle",408946
"HEV","Car",2026,"sales","REF",2018,"vehicle",617430
"ICEV-D","Car",2026,"sales","REF",2018,"vehicle",184621
"ICEV-G","Car",2026,"sales","REF",2018,"vehicle",6956173
"PHEV20","Car",2026,"sales","REF",2018,"vehicle",75358
"PHEV40","Car",2026,"sales","REF",2018,"vehicle",53367
"BEV100","Light truck",2026,"sales","REF",2018,"vehicle",64926
"BEV300","Light truck",2026,"sales","REF",2018,"vehicle",65220
"CNG","Light truck",2026,"sales","REF",2018,"vehicle",52909
"FCV","Light truck",2026,"sales","REF",2018,"vehicle",29407
"FFV","Light truck",2026,"sales","REF",2018,"vehicle",941910
