"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"FCV","Light truck",2022,"sales","HOP",2018,"vehicle",18842
"FFV","Light truck",2022,"sales","HOP",2018,"vehicle",681796
"HEV","Light truck",2022,"sales","HOP",2018,"vehicle",49882
"ICEV-D","Light truck",2022,"sales","HOP",2018,"vehicle",175030
"ICEV-G","Light truck",2022,"sales","HOP",2018,"vehicle",4267791
"PHEV20","Light truck",2022,"sales","HOP",2018,"vehicle",47227
"PHEV40","Light truck",2022,"sales","HOP",2018,"vehicle",28236
"BEV100","Car",2023,"sales","HOP",2018,"vehicle",84918
"BEV300","Car",2023,"sales","HOP",2018,"vehicle",658546
"CNG","Car",2023,"sales","HOP",2018,"vehicle",34581
"FCV","Car",2023,"sales","HOP",2018,"vehicle",21405
"FFV","Car",2023,"sales","HOP",2018,"vehicle",419712
"HEV","Car",2023,"sales","HOP",2018,"vehicle",705540
"ICEV-D","Car",2023,"sales","HOP",2018,"vehicle",150607
"ICEV-G","Car",2023,"sales","HOP",2018,"vehicle",7585784
"PHEV20","Car",2023,"sales","HOP",2018,"vehicle",59204
"PHEV40","Car",2023,"sales","HOP",2018,"vehicle",42236
"BEV100","Light truck",2023,"sales","HOP",2018,"vehicle",47713
"BEV300","Light truck",2023,"sales","HOP",2018,"vehicle",47493
"CNG","Light truck",2023,"sales","HOP",2018,"vehicle",41973
"FCV","Light truck",2023,"sales","HOP",2018,"vehicle",21401
"FFV","Light truck",2023,"sales","HOP",2018,"vehicle",687794
"HEV","Light truck",2023,"sales","HOP",2018,"vehicle",51746
"ICEV-D","Light truck",2023,"sales","HOP",2018,"vehicle",174450
"ICEV-G","Light truck",2023,"sales","HOP",2018,"vehicle",4178378
"PHEV20","Light truck",2023,"sales","HOP",2018,"vehicle",55839
"PHEV40","Light truck",2023,"sales","HOP",2018,"vehicle",33400
"BEV100","Car",2024,"sales","HOP",2018,"vehicle",94041
"BEV300","Car",2024,"sales","HOP",2018,"vehicle",735511
"CNG","Car",2024,"sales","HOP",2018,"vehicle",34893
"FCV","Car",2024,"sales","HOP",2018,"vehicle",24730
"FFV","Car",2024,"sales","HOP",2018,"vehicle",445945
"HEV","Car",2024,"sales","HOP",2018,"vehicle",723682
"ICEV-D","Car",2024,"sales","HOP",2018,"vehicle",168024
"ICEV-G","Car",2024,"sales","HOP",2018,"vehicle",7417703
"PHEV20","Car",2024,"sales","HOP",2018,"vehicle",65388
"PHEV40","Car",2024,"sales","HOP",2018,"vehicle",48195
"BEV100","Light truck",2024,"sales","HOP",2018,"vehicle",54893
"BEV300","Light truck",2024,"sales","HOP",2018,"vehicle",54922
"CNG","Light truck",2024,"sales","HOP",2018,"vehicle",41012
"FCV","Light truck",2024,"sales","HOP",2018,"vehicle",24723
"FFV","Light truck",2024,"sales","HOP",2018,"vehicle",727490
"HEV","Light truck",2024,"sales","HOP",2018,"vehicle",52628
"ICEV-D","Light truck",2024,"sales","HOP",2018,"vehicle",158602
"ICEV-G","Light truck",2024,"sales","HOP",2018,"vehicle",3979441
"PHEV20","Light truck",2024,"sales","HOP",2018,"vehicle",60814
"PHEV40","Light truck",2024,"sales","HOP",2018,"vehicle",36378
"BEV100","Car",2025,"sales","HOP",2018,"vehicle",104493
"BEV300","Car",2025,"sales","HOP",2018,"vehicle",829539
"CNG","Car",2025,"sales","HOP",2018,"vehicle",35076
"FCV","Car",2025,"sales","HOP",2018,"vehicle",27958
"FFV","Car",2025,"sales","HOP",2018,"vehicle",470026
"HEV","Car",2025,"sales","HOP",2018,"vehicle",729436
"ICEV-D","Car",2025,"sales","HOP",2018,"vehicle",180527
"ICEV-G","Car",2025,"sales","HOP",2018,"vehicle",7255351
"PHEV20","Car",2025,"sales","HOP",2018,"vehicle",71705
"PHEV40","Car",2025,"sales","HOP",2018,"vehicle",54044
"BEV100","Light truck",2025,"sales","HOP",2018,"vehicle",61916
"BEV300","Light truck",2025,"sales","HOP",2018,"vehicle",62113
"CNG","Light truck",2025,"sales","HOP",2018,"vehicle",40093
"FCV","Light truck",2025,"sales","HOP",2018,"vehicle",27950
"FFV","Light truck",2025,"sales","HOP",2018,"vehicle",780657
"HEV","Light truck",2025,"sales","HOP",2018,"vehicle",52181
"ICEV-D","Light truck",2025,"sales","HOP",2018,"vehicle",143321
"ICEV-G","Light truck",2025,"sales","HOP",2018,"vehicle",3788591
"PHEV20","Light truck",2025,"sales","HOP",2018,"vehicle",65576
"PHEV40","Light truck",2025,"sales","HOP",2018,"vehicle",39238
"BEV100","Car",2026,"sales","HOP",2018,"vehicle",110487
"BEV300","Car",2026,"sales","HOP",2018,"vehicle",914301
"CNG","Car",2026,"sales","HOP",2018,"vehicle",35447
"FCV","Car",2026,"sales","HOP",2018,"vehicle",29824
"FFV","Car",2026,"sales","HOP",2018,"vehicle",475534
"HEV","Car",2026,"sales","HOP",2018,"vehicle",745973
"ICEV-D","Car",2026,"sales","HOP",2018,"vehicle",213519
"ICEV-G","Car",2026,"sales","HOP",2018,"vehicle",7149632
"PHEV20","Car",2026,"sales","HOP",2018,"vehicle",78784
"PHEV40","Car",2026,"sales","HOP",2018,"vehicle",62902
"BEV100","Light truck",2026,"sales","HOP",2018,"vehicle",66263
"BEV300","Light truck",2026,"sales","HOP",2018,"vehicle",66366
"CNG","Light truck",2026,"sales","HOP",2018,"vehicle",40305
"FCV","Light truck",2026,"sales","HOP",2018,"vehicle",29812
"FFV","Light truck",2026,"sales","HOP",2018,"vehicle",802811
"HEV","Light truck",2026,"sales","HOP",2018,"vehicle",54126
"ICEV-D","Light truck",2026,"sales","HOP",2018,"vehicle",141314
"ICEV-G","Light truck",2026,"sales","HOP",2018,"vehicle",3760908
"PHEV20","Light truck",2026,"sales","HOP",2018,"vehicle",70017
"PHEV40","Light truck",2026,"sales","HOP",2018,"vehicle",41865
"BEV100","Car",2027,"sales","HOP",2018,"vehicle",112532
"BEV300","Car",2027,"sales","HOP",2018,"vehicle",997161
"CNG","Car",2027,"sales","HOP",2018,"vehicle",35420
"FCV","Car",2027,"sales","HOP",2018,"vehicle",29218
"FFV","Car",2027,"sales","HOP",2018,"vehicle",480868
"HEV","Car",2027,"sales","HOP",2018,"vehicle",754752
"ICEV-D","Car",2027,"sales","HOP",2018,"vehicle",242782
"ICEV-G","Car",2027,"sales","HOP",2018,"vehicle",6952355
"PHEV20","Car",2027,"sales","HOP",2018,"vehicle",80350
"PHEV40","Car",2027,"sales","HOP",2018,"vehicle",70178
"BEV100","Light truck",2027,"sales","HOP",2018,"vehicle",65468
"BEV300","Light truck",2027,"sales","HOP",2018,"vehicle",65223
"CNG","Light truck",2027,"sales","HOP",2018,"vehicle",39263
"FCV","Light truck",2027,"sales","HOP",2018,"vehicle",29203
"FFV","Light truck",2027,"sales","HOP",2018,"vehicle",811713
"HEV","Light truck",2027,"sales","HOP",2018,"vehicle",54483
"ICEV-D","Light truck",2027,"sales","HOP",2018,"vehicle",133221
"ICEV-G","Light truck",2027,"sales","HOP",2018,"vehicle",3612673
"PHEV20","Light truck",2027,"sales","HOP",2018,"vehicle",68677
"PHEV40","Light truck",2027,"sales","HOP",2018,"vehicle",41038
"BEV100","Car",2028,"sales","HOP",2018,"vehicle",112967
"BEV300","Car",2028,"sales","HOP",2018,"vehicle",1097966
"CNG","Car",2028,"sales","HOP",2018,"vehicle",36405
"FCV","Car",2028,"sales","HOP",2018,"vehicle",27923
"FFV","Car",2028,"sales","HOP",2018,"vehicle",500129
"HEV","Car",2028,"sales","HOP",2018,"vehicle",784729
"ICEV-D","Car",2028,"sales","HOP",2018,"vehicle",285523
"ICEV-G","Car",2028,"sales","HOP",2018,"vehicle",7017146
"PHEV20","Car",2028,"sales","HOP",2018,"vehicle",81231
"PHEV40","Car",2028,"sales","HOP",2018,"vehicle",79047
"BEV100","Light truck",2028,"sales","HOP",2018,"vehicle",63404
"BEV300","Light truck",2028,"sales","HOP",2018,"vehicle",62627
"CNG","Light truck",2028,"sales","HOP",2018,"vehicle",40071
"FCV","Light truck",2028,"sales","HOP",2018,"vehicle",27903
"FFV","Light truck",2028,"sales","HOP",2018,"vehicle",853409
"HEV","Light truck",2028,"sales","HOP",2018,"vehicle",56879
"ICEV-D","Light truck",2028,"sales","HOP",2018,"vehicle",133683
"ICEV-G","Light truck",2028,"sales","HOP",2018,"vehicle",3673217
"PHEV20","Light truck",2028,"sales","HOP",2018,"vehicle",65757
"PHEV40","Light truck",2028,"sales","HOP",2018,"vehicle",39257
"BEV100","Car",2029,"sales","HOP",2018,"vehicle",117997
"BEV300","Car",2029,"sales","HOP",2018,"vehicle",1201091
"CNG","Car",2029,"sales","HOP",2018,"vehicle",37153
"FCV","Car",2029,"sales","HOP",2018,"vehicle",28049
"FFV","Car",2029,"sales","HOP",2018,"vehicle",505777
"HEV","Car",2029,"sales","HOP",2018,"vehicle",809263
"ICEV-D","Car",2029,"sales","HOP",2018,"vehicle",312036
"ICEV-G","Car",2029,"sales","HOP",2018,"vehicle",7028373
"PHEV20","Car",2029,"sales","HOP",2018,"vehicle",82556
"PHEV40","Car",2029,"sales","HOP",2018,"vehicle",99603
"BEV100","Light truck",2029,"sales","HOP",2018,"vehicle",64412
"BEV300","Light truck",2029,"sales","HOP",2018,"vehicle",63198
"CNG","Light truck",2029,"sales","HOP",2018,"vehicle",40667
"FCV","Light truck",2029,"sales","HOP",2018,"vehicle",28023
"FFV","Light truck",2029,"sales","HOP",2018,"vehicle",866211
"HEV","Light truck",2029,"sales","HOP",2018,"vehicle",59252
"ICEV-D","Light truck",2029,"sales","HOP",2018,"vehicle",135308
"ICEV-G","Light truck",2029,"sales","HOP",2018,"vehicle",3717977
"PHEV20","Light truck",2029,"sales","HOP",2018,"vehicle",66197
"PHEV40","Light truck",2029,"sales","HOP",2018,"vehicle",39475
"BEV100","Car",2030,"sales","HOP",2018,"vehicle",120560
"BEV300","Car",2030,"sales","HOP",2018,"vehicle",1277559
"CNG","Car",2030,"sales","HOP",2018,"vehicle",37222
"FCV","Car",2030,"sales","HOP",2018,"vehicle",27846
"FFV","Car",2030,"sales","HOP",2018,"vehicle",492447
"HEV","Car",2030,"sales","HOP",2018,"vehicle",816660
"ICEV-D","Car",2030,"sales","HOP",2018,"vehicle",329209
"ICEV-G","Car",2030,"sales","HOP",2018,"vehicle",6920111
"PHEV20","Car",2030,"sales","HOP",2018,"vehicle",82390
"PHEV40","Car",2030,"sales","HOP",2018,"vehicle",121804
