"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV40","Car",2025,"sales","REF",2018,"vehicle",46304
"BEV100","Light truck",2025,"sales","REF",2018,"vehicle",5740
"BEV300","Light truck",2025,"sales","REF",2018,"vehicle",5119
"CNG","Light truck",2025,"sales","REF",2018,"vehicle",63577
"FCV","Light truck",2025,"sales","REF",2018,"vehicle",1775
"FFV","Light truck",2025,"sales","REF",2018,"vehicle",921874
"HEV","Light truck",2025,"sales","REF",2018,"vehicle",56056
"ICEV-D","Light truck",2025,"sales","REF",2018,"vehicle",56391
"ICEV-G","Light truck",2025,"sales","REF",2018,"vehicle",6096548
"PHEV20","Light truck",2025,"sales","REF",2018,"vehicle",13142
"PHEV40","Light truck",2025,"sales","REF",2018,"vehicle",7521
"BEV100","Car",2026,"sales","REF",2018,"vehicle",31104
"BEV300","Car",2026,"sales","REF",2018,"vehicle",25822
"CNG","Car",2026,"sales","REF",2018,"vehicle",37526
"FCV","Car",2026,"sales","REF",2018,"vehicle",1791
"FFV","Car",2026,"sales","REF",2018,"vehicle",373309
"HEV","Car",2026,"sales","REF",2018,"vehicle",424316
"ICEV-D","Car",2026,"sales","REF",2018,"vehicle",10857
"ICEV-G","Car",2026,"sales","REF",2018,"vehicle",7736210
"PHEV20","Car",2026,"sales","REF",2018,"vehicle",19931
"PHEV40","Car",2026,"sales","REF",2018,"vehicle",46726
"BEV100","Light truck",2026,"sales","REF",2018,"vehicle",5792
"BEV300","Light truck",2026,"sales","REF",2018,"vehicle",5166
"CNG","Light truck",2026,"sales","REF",2018,"vehicle",64156
"FCV","Light truck",2026,"sales","REF",2018,"vehicle",1791
"FFV","Light truck",2026,"sales","REF",2018,"vehicle",930267
"HEV","Light truck",2026,"sales","REF",2018,"vehicle",56567
"ICEV-D","Light truck",2026,"sales","REF",2018,"vehicle",56904
"ICEV-G","Light truck",2026,"sales","REF",2018,"vehicle",6152054
"PHEV20","Light truck",2026,"sales","REF",2018,"vehicle",13262
"PHEV40","Light truck",2026,"sales","REF",2018,"vehicle",7590
"BEV100","Car",2027,"sales","REF",2018,"vehicle",31244
"BEV300","Car",2027,"sales","REF",2018,"vehicle",25939
"CNG","Car",2027,"sales","REF",2018,"vehicle",37695
"FCV","Car",2027,"sales","REF",2018,"vehicle",1799
"FFV","Car",2027,"sales","REF",2018,"vehicle",374991
"HEV","Car",2027,"sales","REF",2018,"vehicle",426227
"ICEV-D","Car",2027,"sales","REF",2018,"vehicle",10906
"ICEV-G","Car",2027,"sales","REF",2018,"vehicle",7771060
"PHEV20","Car",2027,"sales","REF",2018,"vehicle",20020
"PHEV40","Car",2027,"sales","REF",2018,"vehicle",46937
"BEV100","Light truck",2027,"sales","REF",2018,"vehicle",5818
"BEV300","Light truck",2027,"sales","REF",2018,"vehicle",5189
"CNG","Light truck",2027,"sales","REF",2018,"vehicle",64445
"FCV","Light truck",2027,"sales","REF",2018,"vehicle",1799
"FFV","Light truck",2027,"sales","REF",2018,"vehicle",934457
"HEV","Light truck",2027,"sales","REF",2018,"vehicle",56821
"ICEV-D","Light truck",2027,"sales","REF",2018,"vehicle",57161
"ICEV-G","Light truck",2027,"sales","REF",2018,"vehicle",6179767
"PHEV20","Light truck",2027,"sales","REF",2018,"vehicle",13321
"PHEV40","Light truck",2027,"sales","REF",2018,"vehicle",7624
"BEV100","Car",2028,"sales","REF",2018,"vehicle",31490
"BEV300","Car",2028,"sales","REF",2018,"vehicle",26143
"CNG","Car",2028,"sales","REF",2018,"vehicle",37992
"FCV","Car",2028,"sales","REF",2018,"vehicle",1813
"FFV","Car",2028,"sales","REF",2018,"vehicle",377946
"HEV","Car",2028,"sales","REF",2018,"vehicle",429586
"ICEV-D","Car",2028,"sales","REF",2018,"vehicle",10992
"ICEV-G","Car",2028,"sales","REF",2018,"vehicle",7832300
"PHEV20","Car",2028,"sales","REF",2018,"vehicle",20178
"PHEV40","Car",2028,"sales","REF",2018,"vehicle",47306
"BEV100","Light truck",2028,"sales","REF",2018,"vehicle",5864
"BEV300","Light truck",2028,"sales","REF",2018,"vehicle",5230
"CNG","Light truck",2028,"sales","REF",2018,"vehicle",64953
"FCV","Light truck",2028,"sales","REF",2018,"vehicle",1813
"FFV","Light truck",2028,"sales","REF",2018,"vehicle",941822
"HEV","Light truck",2028,"sales","REF",2018,"vehicle",57269
"ICEV-D","Light truck",2028,"sales","REF",2018,"vehicle",57611
"ICEV-G","Light truck",2028,"sales","REF",2018,"vehicle",6228468
"PHEV20","Light truck",2028,"sales","REF",2018,"vehicle",13426
"PHEV40","Light truck",2028,"sales","REF",2018,"vehicle",7684
"BEV100","Car",2029,"sales","REF",2018,"vehicle",31559
"BEV300","Car",2029,"sales","REF",2018,"vehicle",26200
"CNG","Car",2029,"sales","REF",2018,"vehicle",38075
"FCV","Car",2029,"sales","REF",2018,"vehicle",1817
"FFV","Car",2029,"sales","REF",2018,"vehicle",378771
"HEV","Car",2029,"sales","REF",2018,"vehicle",430525
"ICEV-D","Car",2029,"sales","REF",2018,"vehicle",11016
"ICEV-G","Car",2029,"sales","REF",2018,"vehicle",7849411
"PHEV20","Car",2029,"sales","REF",2018,"vehicle",20222
"PHEV40","Car",2029,"sales","REF",2018,"vehicle",47410
"BEV100","Light truck",2029,"sales","REF",2018,"vehicle",5877
"BEV300","Light truck",2029,"sales","REF",2018,"vehicle",5241
"CNG","Light truck",2029,"sales","REF",2018,"vehicle",65095
"FCV","Light truck",2029,"sales","REF",2018,"vehicle",1817
"FFV","Light truck",2029,"sales","REF",2018,"vehicle",943879
"HEV","Light truck",2029,"sales","REF",2018,"vehicle",57394
"ICEV-D","Light truck",2029,"sales","REF",2018,"vehicle",57737
"ICEV-G","Light truck",2029,"sales","REF",2018,"vehicle",6242074
"PHEV20","Light truck",2029,"sales","REF",2018,"vehicle",13456
"PHEV40","Light truck",2029,"sales","REF",2018,"vehicle",7701
"BEV100","Car",2030,"sales","REF",2018,"vehicle",31751
"BEV300","Car",2030,"sales","REF",2018,"vehicle",26360
"CNG","Car",2030,"sales","REF",2018,"vehicle",38307
"FCV","Car",2030,"sales","REF",2018,"vehicle",1828
"FFV","Car",2030,"sales","REF",2018,"vehicle",381076
"HEV","Car",2030,"sales","REF",2018,"vehicle",433145
"ICEV-D","Car",2030,"sales","REF",2018,"vehicle",11083
"ICEV-G","Car",2030,"sales","REF",2018,"vehicle",7897175
"PHEV20","Car",2030,"sales","REF",2018,"vehicle",20345
"PHEV40","Car",2030,"sales","REF",2018,"vehicle",47698
"BEV100","Light truck",2030,"sales","REF",2018,"vehicle",5913
"BEV300","Light truck",2030,"sales","REF",2018,"vehicle",5273
"CNG","Light truck",2030,"sales","REF",2018,"vehicle",65491
"FCV","Light truck",2030,"sales","REF",2018,"vehicle",1828
"FFV","Light truck",2030,"sales","REF",2018,"vehicle",949623
"HEV","Light truck",2030,"sales","REF",2018,"vehicle",57744
"ICEV-D","Light truck",2030,"sales","REF",2018,"vehicle",58088
"ICEV-G","Light truck",2030,"sales","REF",2018,"vehicle",6280058
"PHEV20","Light truck",2030,"sales","REF",2018,"vehicle",13538
"PHEV40","Light truck",2030,"sales","REF",2018,"vehicle",7748
"BEV100","Car",2031,"sales","REF",2018,"vehicle",31856
"BEV300","Car",2031,"sales","REF",2018,"vehicle",26447
"CNG","Car",2031,"sales","REF",2018,"vehicle",38433
"FCV","Car",2031,"sales","REF",2018,"vehicle",1834
"FFV","Car",2031,"sales","REF",2018,"vehicle",382334
"HEV","Car",2031,"sales","REF",2018,"vehicle",434574
"ICEV-D","Car",2031,"sales","REF",2018,"vehicle",11119
"ICEV-G","Car",2031,"sales","REF",2018,"vehicle",7923230
"PHEV20","Car",2031,"sales","REF",2018,"vehicle",20412
"PHEV40","Car",2031,"sales","REF",2018,"vehicle",47856
"BEV100","Light truck",2031,"sales","REF",2018,"vehicle",5932
"BEV300","Light truck",2031,"sales","REF",2018,"vehicle",5290
"CNG","Light truck",2031,"sales","REF",2018,"vehicle",65707
"FCV","Light truck",2031,"sales","REF",2018,"vehicle",1834
"FFV","Light truck",2031,"sales","REF",2018,"vehicle",952756
"HEV","Light truck",2031,"sales","REF",2018,"vehicle",57934
"ICEV-D","Light truck",2031,"sales","REF",2018,"vehicle",58280
"ICEV-G","Light truck",2031,"sales","REF",2018,"vehicle",6300778
"PHEV20","Light truck",2031,"sales","REF",2018,"vehicle",13582
"PHEV40","Light truck",2031,"sales","REF",2018,"vehicle",7773
"BEV100","Car",2032,"sales","REF",2018,"vehicle",31755
"BEV300","Car",2032,"sales","REF",2018,"vehicle",26363
