"Scenario","Size","Technology","Subcomponent","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Steel Intensive","Car","FFV","Exterior",0,-0.00261725241246324,-0.00523442325317802,-0.00785150600599138,-0.0104684935975001,-0.0130853782981646,-0.0157021515953275,-0.0183188040265989,-0.0209353249554027,-0.0235517022590201,-0.0261679218775441,-0.0287839671283052,-0.0313998175927281,-0.0340154471353671,-0.0366308198646124,-0.0392458797988553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","FFV","Weld blanks and fasteners - G",0,-0.324539299145464,-0.649078598290934,-0.973617897436405,-1.29815719658188,-1.62269649572735,-1.94723579487281,-2.27177509401828,-2.59631439316375,-2.92085369230922,-3.24539299145469,-3.56993229060016,-3.89447158974563,-4.21901088889111,-4.54355018803658,-4.86808948718205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-D","Body",0,-2.04780073838339,-4.09537748681129,-6.14272255391791,-8.18982758834284,-10.236683464293,-12.2832801349289,-14.3296064403842,-16.3756498497455,-18.4213961031302,-20.4668286953063,-22.5119280924679,-24.5566704630919,-26.601025424097,-28.6449514543277,-30.6883841844369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-D","Chassis",0,-0.953483128483015,-1.91444857551238,-2.88354229521889,-3.86152436412061,-4.84930132240595,-5.84797182698208,-6.85889318227339,-7.88378209786526,-8.92487468293842,-9.98519617498698,-11.0690526530864,-12.1830285689265,-13.3383523961743,-14.5581287625917,-15.9143240789872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-D","Exterior",0,-0.00274422093391991,-0.00548821908898134,-0.00823198782964596,-0.0109755199371833,-0.0137188075060592,-0.016461841810866,-0.0192046131316843,-0.0219471105188944,-0.0246893214662052,-0.0274312314378875,-0.0301728231502025,-0.0329140754045767,-0.0356549610110477,-0.0383954425538775,-0.0411354615582198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","ICEV-D","Weld blanks and fasteners - G",0,-0.340283395805628,-0.680566791611263,-1.02085018741689,-1.36113358322252,-1.70141697902815,-2.04170037483378,-2.38198377063941,-2.72226716644504,-3.06255056225067,-3.4028339580563,-3.74311735386193,-4.08340074966755,-4.42368414547319,-4.76396754127882,-5.10425093708445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","CNG","Body",0,-1.95305390923079,-3.90602580326191,-5.85890873896062,-7.81169514623321,-9.76437671885486,-11.7169442746016,-13.6693875720989,-15.6216950646653,-17.5738535588484,-19.5258477217922,-21.4776593340429,-23.4292660788165,-25.3806393919455,-27.3317400867064,-29.282507183687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","CNG","Chassis",0,-0.909367750760509,-1.82596692585179,-2.75041533713636,-3.68343987212785,-4.62590739831018,-5.57886838636955,-6.5436204808866,-7.52180477198237,-8.5155586615291,-9.52777356650938,-10.5625646953391,-11.6262240457967,-12.729480373062,-13.8944080226818,-15.1897580828089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","CNG","Exterior",0,-0.00261725241246324,-0.00523442325317802,-0.00785150600599138,-0.0104684935975001,-0.0130853782981646,-0.0157021515953275,-0.0183188040265989,-0.0209353249554027,-0.0235517022590201,-0.0261679218775441,-0.0287839671283052,-0.0313998175927281,-0.0340154471353671,-0.0366308198646124,-0.0392458797988553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steel Intensive","Car","CNG","Weld blanks and fasteners - G",0,-0.324539299145464,-0.649078598290934,-0.973617897436405,-1.29815719658188,-1.62269649572735,-1.94723579487281,-2.27177509401828,-2.59631439316375,-2.92085369230922,-3.24539299145469,-3.56993229060016,-3.89447158974563,-4.21901088889111,-4.54355018803658,-4.86808948718205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
