"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2050,"PHEV","Car","y",1,"REF",0.487465313377898,1385350
2040,"BEV","Car","y",1,"LOP",0.488648349633547,1413144
2050,"PHEV","Car","y",1,"LOP",0.490290640326537,1530628
2040,"PHEV","Car","y",1,"REF",0.491228645524425,1322929
2050,"PHEV","Car","y",1,"HOP",0.519923289320915,1325285
2050,"BEV","Car","y",1,"LOP",0.555374843512908,1733813
2040,"BEV","Car","y",1,"REF",0.562849764144311,1515812
2050,"PHEV","Car","y",1,"REF",0.645575295630198,1834690
2050,"BEV","Car","y",1,"REF",0.654732402004289,1860714
2040,"BEV","Car","y",1,"HOP",0.731431294161015,1820173
2030,"ICEV-D","Car","y",1,"LOP",0.731880042989548,1968412
2030,"ICEV-D","Light truck","y",1,"HOP",0.737330482967008,1843110
2040,"PHEV","Car","y",1,"HOP",0.744290402285986,1852173
2040,"ICEV-D","Light truck","y",1,"HOP",0.798352503926137,1986707
2050,"ICEV-D","Light truck","y",1,"HOP",0.803605010704919,2048390
2030,"ICEV-D","Car","y",1,"REF",0.824837832474177,2135916
2050,"BEV","Car","y",1,"HOP",0.873646959648345,2226927
2030,"ICEV-D","Light truck","y",1,"REF",0.904155133382797,2341308
2030,"ICEV-D","Car","y",1,"HOP",0.983551362706435,2458590
2040,"ICEV-D","Light truck","y",1,"REF",1.03077925769556,2775994
2050,"PHEV","Car","y",1,"HOP",1.04445230451712,2662310
2050,"ICEV-D","Light truck","y",1,"REF",1.04949855130946,2982618
2030,"ICEV-D","Light truck","y",1,"LOP",1.17206022358911,3152289
2040,"ICEV-D","Car","y",1,"LOP",1.22959509298222,3555921
2050,"ICEV-D","Car","y",1,"REF",1.24705932111724,3544075
2050,"ICEV-D","Car","y",1,"LOP",1.26844126230662,3959920
2040,"ICEV-D","Car","y",1,"REF",1.31564032559907,3543154
2050,"ICEV-D","Light truck","y",1,"LOP",1.40203965439543,4376998
2040,"ICEV-D","Light truck","y",1,"LOP",1.41885459088777,4103249
2040,"ICEV-D","Car","y",1,"HOP",1.66116249287008,4133817
2050,"ICEV-D","Car","y",1,"HOP",1.82431507295232,4650181
2020,"HEV","Car","y",1,"LOP",1.95650362623733,4850441
2030,"BEV","Car","y",1,"LOP",1.97593914037368,5314344
2020,"FFV","Car","y",1,"LOP",1.99139156975432,4936933
2020,"FFV","Car","y",1,"REF",2.03572730494702,5020260
2020,"HEV","Car","y",1,"REF",2.0391371743377,5028669
