"Scenario","Size","Technology","Subcomponent","2030"
"Aluminum Maximum","Car","BEV300","Wheels",-6.22319488007668
"Aluminum Maximum","Car","FFV","Body",-35.4129820479842
"Aluminum Maximum","Car","FFV","Chassis",-45.3930042615068
"Aluminum Maximum","Car","FFV","Exterior",-2.57548960348979
"Aluminum Maximum","Car","FFV","Interior",-5.79485160785191
"Aluminum Maximum","Car","FFV","Tires",-5.63388350763385
"Aluminum Maximum","Car","FFV","Transmission",-22.5355340305354
"Aluminum Maximum","Car","FFV","Wheels",-5.63388350763385
"Aluminum Maximum","Car","ICEV-D","Body",-37.2359519927176
"Aluminum Maximum","Car","ICEV-D","Chassis",-47.7297202815745
"Aluminum Maximum","Car","ICEV-D","Exterior",-2.70806923583402
"Aluminum Maximum","Car","ICEV-D","Interior",-6.09315578062643
"Aluminum Maximum","Car","ICEV-D","Tires",-5.92390145338691
"Aluminum Maximum","Car","ICEV-D","Transmission",-23.6956058135477
"Aluminum Maximum","Car","ICEV-D","Wheels",-5.9239014533869
"Aluminum Maximum","Car","CNG","Body",-35.4129820479842
"Aluminum Maximum","Car","CNG","Chassis",-45.3930042615068
"Aluminum Maximum","Car","CNG","Exterior",-2.57548960348979
"Aluminum Maximum","Car","CNG","Interior",-5.79485160785191
"Aluminum Maximum","Car","CNG","Tires",-5.63388350763385
"Aluminum Maximum","Car","CNG","Transmission",-22.5355340305354
"Aluminum Maximum","Car","CNG","Wheels",-5.63388350763385
"Aluminum Maximum","Car","HEV","Body",-34.1235991273827
"Aluminum Maximum","Car","HEV","Chassis",-43.7402497905544
"Aluminum Maximum","Car","HEV","Exterior",-2.48171630017332
"Aluminum Maximum","Car","HEV","Interior",-5.58386167538978
"Aluminum Maximum","Car","HEV","Tires",-5.4287544066291
"Aluminum Maximum","Car","HEV","Transmission",-21.7150176265164
"Aluminum Maximum","Car","HEV","Wheels",-5.4287544066291
"Aluminum Maximum","Car","PHEV20","Body",-39.2502102384543
"Aluminum Maximum","Car","PHEV20","Chassis",-50.3116331238369
"Aluminum Maximum","Car","PHEV20","Exterior",-2.85456074461487
"Aluminum Maximum","Car","PHEV20","Interior",-6.42276167538353
"Aluminum Maximum","Car","PHEV20","Tires",-6.24435162884503
"Aluminum Maximum","Car","PHEV20","Transmission",-24.9774065153801
"Aluminum Maximum","Car","PHEV20","Wheels",-6.24435162884503
"Aluminum Maximum","Car","PHEV40","Body",-41.5189362962328
"Aluminum Maximum","Car","PHEV40","Chassis",-53.2197274342623
"Aluminum Maximum","Car","PHEV40","Exterior",-3.01955900336238
"Aluminum Maximum","Car","PHEV40","Interior",-6.79400775756545
"Aluminum Maximum","Car","PHEV40","Tires",-6.60528531985524
"Aluminum Maximum","Car","PHEV40","Transmission",-26.421141279421
"Aluminum Maximum","Car","PHEV40","Wheels",-6.60528531985524
"Aluminum Maximum","Car","FCV","Body",-42.3227813267462
"Aluminum Maximum","Car","FCV","Chassis",-54.2501106097384
"Aluminum Maximum","Car","FCV","Exterior",-3.07802046012697
"Aluminum Maximum","Car","FCV","Interior",-6.92554603528566
"Aluminum Maximum","Car","FCV","Tires",-6.7331697565278
"Aluminum Maximum","Car","FCV","Transmission",-26.9326790261112
"Aluminum Maximum","Car","FCV","Wheels",-6.73316975652781
"Aluminum Maximum","Light truck","ICEV-G","Body",-48.8421831354922
"Aluminum Maximum","Light truck","ICEV-G","Chassis",-62.6067983827661
