"Material","Scenario","rec_scen","Case","Year","value","Type"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2016,0.718101781529201,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2016,0.706631131014069,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2016,0.769319184472579,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2016,0.115563741996465,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2016,0.718678359233214,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2016,0.707576972664499,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2016,0.76433016227517,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2016,0.102521609358999,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2017,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2017,0.143855894286686,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2017,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2017,0.168131302221596,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2017,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2017,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2017,0.145860816187627,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2017,0.711668859030132,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2017,0.687883147335502,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2017,0.752071425311685,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2017,0.150343445789344,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2017,0.708000068708404,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2017,0.686872737545364,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2017,0.765622713271859,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2017,0.174187082954636,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2017,0.710118755151936,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2017,0.690347050878195,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2017,0.752290744389919,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2017,0.152312301609815,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2018,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2018,0.121075793032426,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2018,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2018,0.158312651038531,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2018,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2018,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2018,0.124274548262297,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2018,0.701920688070842,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2018,0.663956258212857,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2018,0.735614322775115,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2018,0.131374613075307,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2018,0.69306178582745,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2018,0.661496633520501,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2018,0.761568494112836,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2018,0.167630047312065,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2018,0.698368035144354,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2018,0.669746145115336,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2018,0.736136289787433,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2018,0.134487462652949,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2019,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2019,0.104586247773388,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2019,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2019,0.153814288657337,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2019,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2019,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2019,0.109028108018743,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2019,0.692275411418445,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2019,0.638734845850659,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2019,0.718567775040288,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2019,0.118809659601222,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2019,0.675616568748479,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2019,0.634040487015164,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2019,0.758487184352835,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2019,0.166370670834142,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2019,0.68595091407989,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2019,0.649379277885178,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2019,0.719527363169278,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2019,0.123093668638703,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2020,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2020,0.0873578640839556,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2020,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2020,0.147878092626426,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2020,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2020,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2020,0.0931135396939286,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2020,0.682130738186019,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2020,0.61135667142661,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2020,0.699982711802527,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2020,0.105796556684744,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2020,0.654372829880822,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2020,0.603449397788962,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2020,0.755564788920436,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2020,0.163881971816896,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2020,0.672182488828783,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2020,0.628590890122419,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2020,0.701534166247844,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2020,0.111298261185102,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2021,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2021,0.0624470631494075,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2021,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2021,0.133882828654581,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2021,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2021,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2021,0.0696972216874613,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2021,0.670555105507594,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2021,0.579464823457422,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2021,0.678448450385077,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2021,0.0857487073180318,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2021,0.62723263862547,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2021,0.566985648514025,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2021,0.752044369442348,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2021,0.154060685473383,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2021,0.655941717563583,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2021,0.605560740822413,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2021,0.680788291087916,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2021,0.092618046105939,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2022,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2022,0.0420309395772774,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2022,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2022,0.12164757554824,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2022,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2022,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2022,0.0507631209642919,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2022,0.659068175975904,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2022,0.547695660714785,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2022,0.656558452263448,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2022,0.07028527854793,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2022,0.596106944285691,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2022,0.529417423938992,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2022,0.748355848022673,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2022,0.146491661223875,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2022,0.639144564386826,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2022,0.584296143286271,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2022,0.659835301636153,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2022,0.0784872884699805,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2023,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2023,0.0317243023383302,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2023,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2023,0.115785520513968,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2023,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2023,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2023,0.04177583277654,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2023,0.648597017793716,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2023,0.516484781338637,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2023,0.63632505866953,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2023,0.064508936151989,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2023,0.562341393130852,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2023,0.491090287835382,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2023,0.744858853087398,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2023,0.145448468534111,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2023,0.623087390138943,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2023,0.565066582498615,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2023,0.640623355081812,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2023,0.0738699544680556,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2024,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2024,0.021168459249934,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2024,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2024,0.107628048962618,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2024,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2024,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2024,0.0325342312485409,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2024,0.637913929724013,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2024,0.483663024288256,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2024,0.615469168870512,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2024,0.0586096550408699,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2024,0.52311882204257,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2024,0.449386027000095,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2024,0.740786485118288,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2024,0.142896087759439,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2024,0.606317368853005,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2024,0.546154732945016,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2024,0.620920372766622,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2024,0.069106396502149,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2025,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2025,0.0123625738557081,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2025,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2025,0.0984251065449277,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2025,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2025,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2025,0.0250229778010437,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2025,0.627207699346103,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2025,0.449454629454822,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2025,0.594602576223525,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2025,0.0544160200818728,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2025,0.478042745697365,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2025,0.404148955170078,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2025,0.736158272786608,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2025,0.140151722295908,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2025,0.589193151481157,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2025,0.527845354209531,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2025,0.601323419829962,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2025,0.0660131557100808,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2026,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2026,0.00494442709840294,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2026,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2026,0.0879386011286978,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2026,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2026,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2026,0.0187885191212439,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2026,0.616535563890205,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2026,0.415949257750854,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2026,0.574272807618721,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2026,0.0515465474691021,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2026,0.426694508999954,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2026,0.357648261615125,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2026,0.730777543238866,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2026,0.137195038505836,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2026,0.571969415414795,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2026,0.511466759428346,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2026,0.582324926954764,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2026,0.0641279704327627,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2027,0.78,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2027,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2027,0.78,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2027,0.0749165191030649,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2027,0.73,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2027,0.78,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2027,0.0115812904332502,"Primary material production"
