"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value","Case","Scenario"
2040,"PHEV","Car","y",1,"REF_BAU",0.308375608930683,830487,"REF","No Change"
2020,"ICEV-D","Light truck","y",1,"REF_EV",0.309387079839772,763627,"REF","High EV"
2030,"PHEV","Car","y",1,"REF",0.310501096718318,804042,"REF","Original"
2030,"HEV","Light truck","y",1,"REF_BAU",0.312804255397731,810006,"REF","No Change"
2050,"HEV","Light truck","y",1,"REF_BAU",0.313576015687872,891166,"REF","No Change"
2020,"ICEV-D","Car","y",1,"REF_BAU",0.315186630846941,778067,"REF","No Change"
2050,"ICEV-D","Light truck","y",1,"REF_BAU",0.315450083885664,896492,"REF","No Change"
2030,"CNG","Light truck","y",1,"REF_BAU",0.316526598464053,819645,"REF","No Change"
2040,"HEV","Light truck","y",1,"REF_BAU",0.318468802203971,857669,"REF","No Change"
2050,"PHEV","Car","y",1,"REF_BAU",0.319638059794437,908394,"REF","No Change"
2040,"ICEV-D","Light truck","y",1,"REF_BAU",0.32137028893186,865483,"REF","No Change"
2030,"HEV","Light truck","y",1,"REF",0.33012111497591,854848,"REF","Original"
2030,"HEV","Light truck","y",1,"REF_EV",0.330293311035625,854012,"REF","High EV"
2020,"ICEV-D","Car","y",1,"REF",0.339102164074481,836252,"REF","Original"
2040,"BEV","Light truck","y",1,"REF",0.341252909920084,919029,"REF","Original"
2050,"CNG","Light truck","y",1,"REF_BAU",0.355647544803346,1010731,"REF","No Change"
2040,"CNG","Light truck","y",1,"REF_BAU",0.356449538248104,959955,"REF","No Change"
2020,"ICEV-D","Car","y",1,"REF_EV",0.357405611551629,882146,"REF","High EV"
2040,"PHEV","Light truck","y",1,"REF",0.366142421080171,986059,"REF","Original"
2030,"BEV","Car","y",1,"REF",0.380323507478148,984847,"REF","Original"
2050,"BEV","Light truck","y",1,"REF",0.390383588596236,1109449,"REF","Original"
2040,"HEV","Light truck","y",1,"REF",0.399372127826811,1075550,"REF","Original"
2050,"PHEV","Light truck","y",1,"REF",0.410393822429689,1166317,"REF","Original"
2020,"BEV","Car","y",1,"REF_EV",0.433832781596343,1070783,"REF","High EV"
2050,"HEV","Light truck","y",1,"REF",0.43680424869468,1241374,"REF","Original"
2040,"PHEV","Car","y",1,"REF",0.450313749870127,1212741,"REF","Original"
2050,"PHEV","Car","y",1,"REF",0.487465313377898,1385350,"REF","Original"
2040,"PHEV","Car","y",1,"REF",0.491228645524425,1322929,"REF","Original"
2040,"BEV","Car","y",1,"REF",0.562849764144311,1515812,"REF","Original"
2050,"ICEV-D","Car","y",1,"REF_EV",0.582998101452174,1656849,"REF","High EV"
