"Source","Technology","Size","Data","Year","value"
"EPA","ICEV-D","Light truck","curb weight (lbs)",2011,2521.67364695641
"EPA","HEV","Light truck","curb weight (lbs)",2011,2287.09684824502
"EPA","ICEV-G","Car","curb weight (lbs)",2012,1595.69384580202
"EPA","ICEV-D","Car","curb weight (lbs)",2012,1606.3539273811
"EPA","HEV","Car","curb weight (lbs)",2012,1607.55107013644
"EPA","ICEV-G","Light truck","curb weight (lbs)",2012,2178.44237258735
"EPA","ICEV-D","Light truck","curb weight (lbs)",2012,2525.37895865876
"EPA","HEV","Light truck","curb weight (lbs)",2012,2297.54567053855
"EPA","ICEV-G","Car","curb weight (lbs)",2013,1603.69544563374
"EPA","ICEV-D","Car","curb weight (lbs)",2013,1596.03496676873
"EPA","HEV","Car","curb weight (lbs)",2013,1662.02696764823
"EPA","ICEV-G","Light truck","curb weight (lbs)",2013,2186.11451966249
"EPA","ICEV-D","Light truck","curb weight (lbs)",2013,2464.68773346948
"EPA","HEV","Light truck","curb weight (lbs)",2013,2308.88372075734
"EPA","ICEV-G","Car","curb weight (lbs)",2014,1611.53065508356
"EPA","ICEV-D","Car","curb weight (lbs)",2014,1655.57149773743
"EPA","HEV","Car","curb weight (lbs)",2014,1661.00612672167
"EPA","ICEV-G","Light truck","curb weight (lbs)",2014,2172.2491334975
"EPA","ICEV-D","Light truck","curb weight (lbs)",2014,2344.17905394899
"EPA","HEV","Light truck","curb weight (lbs)",2014,1987.1918053377
"EPA","ICEV-G","Car","curb weight (lbs)",2015,1610.90092689959
"EPA","ICEV-D","Car","curb weight (lbs)",2015,1684.63394877328
"EPA","HEV","Car","curb weight (lbs)",2015,1643.49873991656
"EPA","ICEV-G","Light truck","curb weight (lbs)",2015,2118.7921255579
"EPA","ICEV-D","Light truck","curb weight (lbs)",2015,2501.75650260488
"EPA","HEV","Light truck","curb weight (lbs)",2015,2123.75591659023
