"Scenario","Scrapped material","Year","Recovered material","value"
"CL100","Cast Iron",2019,"Construction steel",0.761714285714286
"CL100","Cast Iron",2020,"Construction steel",0.737142857142857
"CL100","Cast Iron",2021,"Construction steel",0.712571428571429
"CL100","Cast Iron",2022,"Construction steel",0.688
"CL100","Cast Iron",2023,"Construction steel",0.663428571428571
"CL100","Cast Iron",2024,"Construction steel",0.638857142857143
"CL100","Cast Iron",2025,"Construction steel",0.614285714285714
"CL100","Cast Iron",2026,"Construction steel",0.589714285714286
"CL100","Cast Iron",2027,"Construction steel",0.565142857142857
"CL100","Cast Iron",2028,"Construction steel",0.540571428571428
"CL100","Cast Iron",2029,"Construction steel",0.516
"CL100","Cast Iron",2030,"Construction steel",0.491428571428571
"CL100","Cast Iron",2031,"Construction steel",0.466857142857143
"CL100","Cast Iron",2032,"Construction steel",0.442285714285714
"CL100","Cast Iron",2033,"Construction steel",0.417714285714286
"CL100","Cast Iron",2034,"Construction steel",0.393142857142857
"CL100","Cast Iron",2035,"Construction steel",0.368571428571428
"CL100","Cast Iron",2036,"Construction steel",0.344
"CL100","Cast Iron",2037,"Construction steel",0.319428571428571
"CL100","Cast Iron",2038,"Construction steel",0.294857142857143
"CL100","Cast Iron",2039,"Construction steel",0.270285714285714
"CL100","Cast Iron",2040,"Construction steel",0.245714285714286
"CL100","Cast Iron",2041,"Construction steel",0.221142857142857
"CL100","Cast Iron",2042,"Construction steel",0.196571428571428
"CL100","Cast Iron",2043,"Construction steel",0.172
"CL100","Cast Iron",2044,"Construction steel",0.147428571428571
"CL100","Cast Iron",2045,"Construction steel",0.122857142857143
"CL100","Cast Iron",2046,"Construction steel",0.0982857142857141
"CL100","Cast Iron",2047,"Construction steel",0.0737142857142855
"CL100","Cast Iron",2048,"Construction steel",0.0491428571428569
"CL100","Cast Iron",2049,"Construction steel",0.0245714285714284
"CL100","Mild steel and other steels",2016,"Construction steel",0.835428571428571
"CL100","Mild steel and other steels",2017,"Construction steel",0.810857142857143
"CL100","Mild steel and other steels",2018,"Construction steel",0.786285714285714
"CL100","Mild steel and other steels",2019,"Construction steel",0.761714285714286
"CL100","Mild steel and other steels",2020,"Construction steel",0.737142857142857
"CL100","Mild steel and other steels",2021,"Construction steel",0.712571428571429
"CL100","Mild steel and other steels",2022,"Construction steel",0.688
"CL100","Mild steel and other steels",2023,"Construction steel",0.663428571428571
"CL100","Mild steel and other steels",2024,"Construction steel",0.638857142857143
"CL100","Mild steel and other steels",2025,"Construction steel",0.614285714285714
"CL100","Mild steel and other steels",2026,"Construction steel",0.589714285714286
"CL100","Mild steel and other steels",2027,"Construction steel",0.565142857142857
"CL100","Mild steel and other steels",2028,"Construction steel",0.540571428571428
"CL100","Mild steel and other steels",2029,"Construction steel",0.516
"CL100","Mild steel and other steels",2030,"Construction steel",0.491428571428571
"CL100","Mild steel and other steels",2031,"Construction steel",0.466857142857143
"CL100","Mild steel and other steels",2032,"Construction steel",0.442285714285714
"CL100","Mild steel and other steels",2033,"Construction steel",0.417714285714286
"CL100","Mild steel and other steels",2034,"Construction steel",0.393142857142857
"CL100","Mild steel and other steels",2035,"Construction steel",0.368571428571428
"CL100","Mild steel and other steels",2036,"Construction steel",0.344
"CL100","Mild steel and other steels",2037,"Construction steel",0.319428571428571
"CL100","Mild steel and other steels",2038,"Construction steel",0.294857142857143
"CL100","Mild steel and other steels",2039,"Construction steel",0.270285714285714
"CL100","Mild steel and other steels",2040,"Construction steel",0.245714285714286
"CL100","Mild steel and other steels",2041,"Construction steel",0.221142857142857
"CL100","Mild steel and other steels",2042,"Construction steel",0.196571428571428
"CL100","Mild steel and other steels",2043,"Construction steel",0.172
"CL100","Mild steel and other steels",2044,"Construction steel",0.147428571428571
"CL100","Mild steel and other steels",2045,"Construction steel",0.122857142857143
"CL100","Mild steel and other steels",2046,"Construction steel",0.0982857142857141
"CL100","Mild steel and other steels",2047,"Construction steel",0.0737142857142855
"CL100","Mild steel and other steels",2048,"Construction steel",0.0491428571428569
"CL100","Mild steel and other steels",2049,"Construction steel",0.0245714285714284
"CL100","HSS/AHSS",2016,"Construction steel",0.835428571428571
"CL100","HSS/AHSS",2017,"Construction steel",0.810857142857143
"CL100","HSS/AHSS",2018,"Construction steel",0.786285714285714
"CL100","HSS/AHSS",2019,"Construction steel",0.761714285714286
"CL100","HSS/AHSS",2020,"Construction steel",0.737142857142857
"CL100","HSS/AHSS",2021,"Construction steel",0.712571428571429
"CL100","HSS/AHSS",2022,"Construction steel",0.688
"CL100","HSS/AHSS",2023,"Construction steel",0.663428571428571
"CL100","HSS/AHSS",2024,"Construction steel",0.638857142857143
"CL100","HSS/AHSS",2025,"Construction steel",0.614285714285714
"CL100","HSS/AHSS",2026,"Construction steel",0.589714285714286
"CL100","HSS/AHSS",2027,"Construction steel",0.565142857142857
"CL100","HSS/AHSS",2028,"Construction steel",0.540571428571428
"CL100","HSS/AHSS",2029,"Construction steel",0.516
"CL100","HSS/AHSS",2030,"Construction steel",0.491428571428571
"CL100","HSS/AHSS",2031,"Construction steel",0.466857142857143
"CL100","HSS/AHSS",2032,"Construction steel",0.442285714285714
"CL100","HSS/AHSS",2033,"Construction steel",0.417714285714286
"CL100","HSS/AHSS",2034,"Construction steel",0.393142857142857
"CL100","HSS/AHSS",2035,"Construction steel",0.368571428571428
"CL100","HSS/AHSS",2036,"Construction steel",0.344
"CL100","HSS/AHSS",2037,"Construction steel",0.319428571428571
"CL100","HSS/AHSS",2038,"Construction steel",0.294857142857143
"CL100","HSS/AHSS",2039,"Construction steel",0.270285714285714
"CL100","HSS/AHSS",2040,"Construction steel",0.245714285714286
"CL100","HSS/AHSS",2041,"Construction steel",0.221142857142857
"CL100","HSS/AHSS",2042,"Construction steel",0.196571428571428
"CL100","HSS/AHSS",2043,"Construction steel",0.172
"CL100","HSS/AHSS",2044,"Construction steel",0.147428571428571
"CL100","HSS/AHSS",2045,"Construction steel",0.122857142857143
"CL100","HSS/AHSS",2046,"Construction steel",0.0982857142857141
"CL100","HSS/AHSS",2047,"Construction steel",0.0737142857142855
"CL100","HSS/AHSS",2048,"Construction steel",0.0491428571428569
"CL100","HSS/AHSS",2049,"Construction steel",0.0245714285714284
"All","Wrought Aluminum",2015,"Loss",0.14
"All","Cast Aluminum",2015,"Loss",0.14
"All","Cast Iron",2015,"Loss",0.14
"All","Mild steel and other steels",2015,"Loss",0.14
"All","HSS/AHSS",2015,"Loss",0.14
"CL100","Wrought Aluminum",2050,"Loss",0.05
"CL100","Wrought Aluminum",2016,"Loss",0.137428571428571
"CL100","Wrought Aluminum",2017,"Loss",0.134857142857143
"CL100","Wrought Aluminum",2018,"Loss",0.132285714285714
"CL100","Wrought Aluminum",2019,"Loss",0.129714285714286
"CL100","Wrought Aluminum",2020,"Loss",0.127142857142857
"CL100","Wrought Aluminum",2021,"Loss",0.124571428571429
"CL100","Wrought Aluminum",2022,"Loss",0.122
"CL100","Wrought Aluminum",2023,"Loss",0.119428571428572
"CL100","Wrought Aluminum",2024,"Loss",0.116857142857143
"CL100","Wrought Aluminum",2025,"Loss",0.114285714285714
"CL100","Wrought Aluminum",2026,"Loss",0.111714285714286
"CL100","Wrought Aluminum",2027,"Loss",0.109142857142857
"CL100","Wrought Aluminum",2028,"Loss",0.106571428571429
"CL100","Wrought Aluminum",2029,"Loss",0.104
"CL100","Wrought Aluminum",2030,"Loss",0.101428571428572
"CL100","Wrought Aluminum",2031,"Loss",0.0988571428571429
"CL100","Wrought Aluminum",2032,"Loss",0.0962857142857144
"CL100","Wrought Aluminum",2033,"Loss",0.0937142857142858
"CL100","Wrought Aluminum",2034,"Loss",0.0911428571428572
"CL100","Wrought Aluminum",2035,"Loss",0.0885714285714286
"CL100","Wrought Aluminum",2036,"Loss",0.0860000000000001
"CL100","Wrought Aluminum",2037,"Loss",0.0834285714285715
"CL100","Wrought Aluminum",2038,"Loss",0.0808571428571429
"CL100","Wrought Aluminum",2039,"Loss",0.0782857142857144
"CL100","Wrought Aluminum",2040,"Loss",0.0757142857142858
"CL100","Wrought Aluminum",2041,"Loss",0.0731428571428572
"CL100","Wrought Aluminum",2042,"Loss",0.0705714285714286
"CL100","Wrought Aluminum",2043,"Loss",0.0680000000000001
"CL100","Wrought Aluminum",2044,"Loss",0.0654285714285715
"CL100","Wrought Aluminum",2045,"Loss",0.0628571428571429
"CL100","Wrought Aluminum",2046,"Loss",0.0602857142857144
"CL100","Wrought Aluminum",2047,"Loss",0.0577142857142858
"CL100","Wrought Aluminum",2048,"Loss",0.0551428571428572
"CL100","Wrought Aluminum",2049,"Loss",0.0525714285714286
"CL100","Cast Aluminum",2050,"Loss",0.05
"CL100","Cast Aluminum",2016,"Loss",0.137428571428571
"CL100","Cast Aluminum",2017,"Loss",0.134857142857143
"CL100","Cast Aluminum",2018,"Loss",0.132285714285714
"CL100","Cast Aluminum",2019,"Loss",0.129714285714286
"CL100","Cast Aluminum",2020,"Loss",0.127142857142857
"CL100","Cast Aluminum",2021,"Loss",0.124571428571429
"CL100","Cast Aluminum",2022,"Loss",0.122
"CL100","Cast Aluminum",2023,"Loss",0.119428571428572
"CL100","Cast Aluminum",2024,"Loss",0.116857142857143
"CL100","Cast Aluminum",2025,"Loss",0.114285714285714
"CL100","Cast Aluminum",2026,"Loss",0.111714285714286
"CL100","Cast Aluminum",2027,"Loss",0.109142857142857
"CL100","Cast Aluminum",2028,"Loss",0.106571428571429
"CL100","Cast Aluminum",2029,"Loss",0.104
"CL100","Cast Aluminum",2030,"Loss",0.101428571428572
"CL100","Cast Aluminum",2031,"Loss",0.0988571428571429
"CL100","Cast Aluminum",2032,"Loss",0.0962857142857144
"CL100","Cast Aluminum",2033,"Loss",0.0937142857142858
"CL100","Cast Aluminum",2034,"Loss",0.0911428571428572
"CL100","Cast Aluminum",2035,"Loss",0.0885714285714286
"CL100","Cast Aluminum",2036,"Loss",0.0860000000000001
"CL100","Cast Aluminum",2037,"Loss",0.0834285714285715
"CL100","Cast Aluminum",2038,"Loss",0.0808571428571429
"CL100","Cast Aluminum",2039,"Loss",0.0782857142857144
"CL100","Cast Aluminum",2040,"Loss",0.0757142857142858
"CL100","Cast Aluminum",2041,"Loss",0.0731428571428572
"CL100","Cast Aluminum",2042,"Loss",0.0705714285714286
"CL100","Cast Aluminum",2043,"Loss",0.0680000000000001
"CL100","Cast Aluminum",2044,"Loss",0.0654285714285715
"CL100","Cast Aluminum",2045,"Loss",0.0628571428571429
"CL100","Cast Aluminum",2046,"Loss",0.0602857142857144
"CL100","Cast Aluminum",2047,"Loss",0.0577142857142858
"CL100","Cast Aluminum",2048,"Loss",0.0551428571428572
"CL100","Cast Aluminum",2049,"Loss",0.0525714285714286
"CL100","Cast Iron",2050,"Loss",0.05
"CL100","Cast Iron",2016,"Loss",0.137428571428571
"CL100","Cast Iron",2017,"Loss",0.134857142857143
"CL100","Cast Iron",2018,"Loss",0.132285714285714
"CL100","Cast Iron",2019,"Loss",0.129714285714286
"CL100","Cast Iron",2020,"Loss",0.127142857142857
"CL100","Cast Iron",2021,"Loss",0.124571428571429
"CL100","Cast Iron",2022,"Loss",0.122
"CL100","Cast Iron",2023,"Loss",0.119428571428572
"CL100","Cast Iron",2024,"Loss",0.116857142857143
"CL100","Cast Iron",2025,"Loss",0.114285714285714
"CL100","Cast Iron",2026,"Loss",0.111714285714286
"CL100","Cast Iron",2027,"Loss",0.109142857142857
"CL100","Cast Iron",2028,"Loss",0.106571428571429
"CL100","Cast Iron",2029,"Loss",0.104
"CL100","Cast Iron",2030,"Loss",0.101428571428572
"CL100","Cast Iron",2031,"Loss",0.0988571428571429
"CL100","Cast Iron",2032,"Loss",0.0962857142857144
"CL100","Cast Iron",2033,"Loss",0.0937142857142858
"CL100","Cast Iron",2034,"Loss",0.0911428571428572
"CL100","Cast Iron",2035,"Loss",0.0885714285714286
"CL100","Cast Iron",2036,"Loss",0.0860000000000001
"CL100","Cast Iron",2037,"Loss",0.0834285714285715
"CL100","Cast Iron",2038,"Loss",0.0808571428571429
"CL100","Cast Iron",2039,"Loss",0.0782857142857144
"CL100","Cast Iron",2040,"Loss",0.0757142857142858
"CL100","Cast Iron",2041,"Loss",0.0731428571428572
"CL100","Cast Iron",2042,"Loss",0.0705714285714286
"CL100","Cast Iron",2043,"Loss",0.0680000000000001
"CL100","Cast Iron",2044,"Loss",0.0654285714285715
"CL100","Cast Iron",2045,"Loss",0.0628571428571429
"CL100","Cast Iron",2046,"Loss",0.0602857142857144
"CL100","Cast Iron",2047,"Loss",0.0577142857142858
"CL100","Cast Iron",2048,"Loss",0.0551428571428572
"CL100","Cast Iron",2049,"Loss",0.0525714285714286
"CL100","Mild steel and other steels",2050,"Loss",0.05
"CL100","Mild steel and other steels",2016,"Loss",0.137428571428571
"CL100","Mild steel and other steels",2017,"Loss",0.134857142857143
