"Year","Age","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2020,0,"BEV","Car","y",1,"LOP",1.17330037614078,187820
2050,0,"PHEV","Car","y",1,"HOP",1.1869536716475,187118
2020,0,"ICEV-D","Light truck","y",1,"HOP",1.21259434916368,193816
2040,0,"ICEV-D","Car","y",1,"REF",1.31559187505491,222076
2020,0,"ICEV-D","Light truck","y",1,"REF",1.32491315983856,211602
2040,0,"ICEV-D","Car","y",1,"LOP",1.34276193906088,250291
2050,0,"ICEV-D","Light truck","y",1,"LOP",1.38058728703937,281670
2040,0,"ICEV-D","Light truck","y",1,"LOP",1.46821249534536,273675
2020,0,"BEV","Car","y",1,"REF",1.47357001677227,235344
2020,0,"ICEV-D","Light truck","y",1,"LOP",1.52169225121996,243590
2030,0,"ICEV-D","Car","y",1,"LOP",1.52408473644222,267230
2030,0,"ICEV-D","Light truck","y",1,"LOP",1.61206907663267,282657
2030,0,"ICEV-D","Car","y",1,"REF",1.71192357182975,279627
2050,0,"ICEV-D","Car","y",1,"HOP",1.75232949759835,276247
2040,0,"ICEV-D","Car","y",1,"HOP",1.90635367592729,280371
2030,0,"FFV","Car","y",1,"LOP",2.03336960232584,356527
2020,0,"BEV","Car","y",1,"HOP",2.04265239435393,326489
2040,0,"FFV","Car","y",1,"LOP",2.07696743559138,387147
2050,0,"FFV","Car","y",1,"LOP",2.09553515022679,427535
2020,0,"FFV","Car","y",1,"LOP",2.12878867574605,340773
2030,0,"ICEV-D","Car","y",1,"HOP",2.15094208949295,329209
2050,0,"FFV","Car","y",1,"REF",2.25205084426873,410443
2020,0,"FFV","Car","y",1,"REF",2.431117533025,388274
2040,0,"FFV","Car","y",1,"REF",2.66892594573643,450523
2030,0,"FFV","Car","y",1,"REF",2.70186595120558,441325
2020,0,"FFV","Car","y",1,"HOP",2.72111737663794,434932
2020,0,"HEV","Car","y",1,"LOP",2.73832140709088,438346
2050,0,"FFV","Car","y",1,"HOP",2.80296472631837,441875
2040,0,"FFV","Car","y",1,"HOP",2.87728713859421,423168
2030,0,"FFV","Car","y",1,"HOP",3.21748487782695,492447
2030,0,"HEV","Car","y",1,"LOP",3.32178383216601,582435
2020,0,"HEV","Car","y",1,"REF",3.32197546191352,530553
2040,0,"HEV","Car","y",1,"LOP",3.61603288581397,674029
2050,0,"HEV","Car","y",1,"LOP",3.69385889855828,753628
2020,0,"HEV","Car","y",1,"HOP",4.08915874358819,653594
2030,0,"BEV","Car","y",1,"LOP",4.12993713514046,724135
2030,0,"HEV","Car","y",1,"REF",4.18464288351191,683523
2050,0,"HEV","Car","y",1,"REF",4.25613319155971,775693
