"Scenario","Size","Technology","Material","Year","value"
"Steel Intensive","Car","ICEV-D","Wrought Aluminum",2030,43.4955225252121
"Steel Intensive","Car","CNG","Cast Aluminum",2030,117.018989543798
"Steel Intensive","Car","CNG","Cast Iron",2030,116.36829897557
"Steel Intensive","Car","CNG","HSS/AHSS",2030,486.633807993449
"Steel Intensive","Car","CNG","Steel",2030,341.851880476003
"Steel Intensive","Car","CNG","Other",2030,504.097741040594
"Steel Intensive","Car","CNG","Wrought Aluminum",2030,41.5911065138882
"Steel Intensive","Car","HEV","Cast Aluminum",2030,133.259081175003
"Steel Intensive","Car","HEV","Cast Iron",2030,78.186204018513
"Steel Intensive","Car","HEV","HSS/AHSS",2030,461.629659252648
"Steel Intensive","Car","HEV","Steel",2030,388.882977470285
"Steel Intensive","Car","HEV","Other",2030,547.482669636419
"Steel Intensive","Car","HEV","Wrought Aluminum",2030,33.4768296540939
"Steel Intensive","Car","PHEV20","Cast Aluminum",2030,146.069540810356
"Steel Intensive","Car","PHEV20","Cast Iron",2030,86.2388130183206
"Steel Intensive","Car","PHEV20","HSS/AHSS",2030,532.065478567586
"Steel Intensive","Car","PHEV20","Steel",2030,457.188339891022
"Steel Intensive","Car","PHEV20","Other",2030,573.420076925732
"Steel Intensive","Car","PHEV20","Wrought Aluminum",2030,37.9033454516059
"Steel Intensive","Car","PHEV40","Cast Aluminum",2030,161.941232782191
"Steel Intensive","Car","PHEV40","Cast Iron",2030,90.1510796614643
"Steel Intensive","Car","PHEV40","HSS/AHSS",2030,524.032621459158
"Steel Intensive","Car","PHEV40","Steel",2030,480.947330031277
"Steel Intensive","Car","PHEV40","Other",2030,605.189880943551
"Steel Intensive","Car","PHEV40","Wrought Aluminum",2030,36.696090538768
"Steel Intensive","Car","FCV","Cast Aluminum",2030,122.682862421808
"Steel Intensive","Car","FCV","Cast Iron",2030,17.536295871173
"Steel Intensive","Car","FCV","HSS/AHSS",2030,587.109179638634
"Steel Intensive","Car","FCV","Steel",2030,353.372095785881
"Steel Intensive","Car","FCV","Other",2030,828.005555574029
"Steel Intensive","Car","FCV","Wrought Aluminum",2030,66.835101236587
"Steel Intensive","Light truck","ICEV-G","Cast Aluminum",2030,140.79320509772
"Steel Intensive","Light truck","ICEV-G","Cast Iron",2030,144.11686425031
"Steel Intensive","Light truck","ICEV-G","HSS/AHSS",2030,665.915592142574
"Steel Intensive","Light truck","ICEV-G","Steel",2030,444.67357785682
"Steel Intensive","Light truck","ICEV-G","Other",2030,627.616642980266
"Steel Intensive","Light truck","ICEV-G","Wrought Aluminum",2030,52.1677621807994
"Steel Intensive","Light truck","BEV100","Cast Aluminum",2030,135.660338556059
"Steel Intensive","Light truck","BEV100","Cast Iron",2030,17.2659479261389
"Steel Intensive","Light truck","BEV100","HSS/AHSS",2030,596.545160432068
"Steel Intensive","Light truck","BEV100","Steel",2030,316.206986649501
"Steel Intensive","Light truck","BEV100","Other",2030,713.530618651125
"Steel Intensive","Light truck","BEV100","Wrought Aluminum",2030,37.0191337087777
"Steel Intensive","Light truck","BEV300","Cast Aluminum",2030,112.259572567101
"Steel Intensive","Light truck","BEV300","Cast Iron",2030,12.6304280676866
"Steel Intensive","Light truck","BEV300","HSS/AHSS",2030,484.49214438181
"Steel Intensive","Light truck","BEV300","Steel",2030,235.527005027162
"Steel Intensive","Light truck","BEV300","Other",2030,895.283605336964
"Steel Intensive","Light truck","BEV300","Wrought Aluminum",2030,21.2852448420272
"Steel Intensive","Light truck","FFV","Cast Aluminum",2030,141.023001141937
"Steel Intensive","Light truck","FFV","Cast Iron",2030,144.409850009769
"Steel Intensive","Light truck","FFV","HSS/AHSS",2030,667.309171964887
"Steel Intensive","Light truck","FFV","Steel",2030,445.581158780866
"Steel Intensive","Light truck","FFV","Other",2030,628.626743979545
"Steel Intensive","Light truck","FFV","Wrought Aluminum",2030,52.273783348891
"Steel Intensive","Light truck","ICEV-D","Cast Aluminum",2030,161.53447241231
"Steel Intensive","Light truck","ICEV-D","Cast Iron",2030,170.559546342059
"Steel Intensive","Light truck","ICEV-D","HSS/AHSS",2030,791.860140709005
"Steel Intensive","Light truck","ICEV-D","Steel",2030,526.665156481864
"Steel Intensive","Light truck","ICEV-D","Other",2030,718.898928269231
"Steel Intensive","Light truck","ICEV-D","Wrought Aluminum",2030,61.7466243535305
"Steel Intensive","Light truck","CNG","Cast Aluminum",2030,141.023001141937
"Steel Intensive","Light truck","CNG","Cast Iron",2030,144.409850009769
"Steel Intensive","Light truck","CNG","HSS/AHSS",2030,667.309171964887
"Steel Intensive","Light truck","CNG","Steel",2030,445.581158780866
"Steel Intensive","Light truck","CNG","Other",2030,628.626743979545
"Steel Intensive","Light truck","CNG","Wrought Aluminum",2030,52.273783348891
"Steel Intensive","Light truck","HEV","Cast Aluminum",2030,162.197973598051
"Steel Intensive","Light truck","HEV","Cast Iron",2030,96.0704053674081
"Steel Intensive","Light truck","HEV","HSS/AHSS",2030,621.748364636079
"Steel Intensive","Light truck","HEV","Steel",2030,492.426446451381
"Steel Intensive","Light truck","HEV","Other",2030,674.022451301734
"Steel Intensive","Light truck","HEV","Wrought Aluminum",2030,42.1440703071835
"Steel Intensive","Light truck","PHEV20","Cast Aluminum",2030,161.607516355608
"Steel Intensive","Light truck","PHEV20","Cast Iron",2030,93.7518084280731
"Steel Intensive","Light truck","PHEV20","HSS/AHSS",2030,632.83807494668
"Steel Intensive","Light truck","PHEV20","Steel",2030,513.280592850952
"Steel Intensive","Light truck","PHEV20","Other",2030,651.536987452575
"Steel Intensive","Light truck","PHEV20","Wrought Aluminum",2030,41.9856089165161
"Steel Intensive","Light truck","PHEV40","Cast Aluminum",2030,176.971390770549
"Steel Intensive","Light truck","PHEV40","Cast Iron",2030,95.5953320834103
"Steel Intensive","Light truck","PHEV40","HSS/AHSS",2030,611.312998407908
"Steel Intensive","Light truck","PHEV40","Steel",2030,532.963894812588
"Steel Intensive","Light truck","PHEV40","Other",2030,710.473151393859
"Steel Intensive","Light truck","PHEV40","Wrought Aluminum",2030,38.8774315946097
"Steel Intensive","Light truck","FCV","Cast Aluminum",2030,137.513861451977
"Steel Intensive","Light truck","FCV","Cast Iron",2030,20.8083390544889
"Steel Intensive","Light truck","FCV","HSS/AHSS",2030,697.617582318436
"Steel Intensive","Light truck","FCV","Steel",2030,414.23443216453
"Steel Intensive","Light truck","FCV","Other",2030,950.667477536495
"Steel Intensive","Light truck","FCV","Wrought Aluminum",2030,78.5304919969618
"Aluminum Intensive","Car","ICEV-G","Cast Aluminum",2030,153.43481548808
"Aluminum Intensive","Car","ICEV-G","Cast Iron",2030,108.506515962468
"Aluminum Intensive","Car","ICEV-G","HSS/AHSS",2030,279.895920624724
"Aluminum Intensive","Car","ICEV-G","Steel",2030,327.24592624697
"Aluminum Intensive","Car","ICEV-G","Other",2030,493.481840244547
"Aluminum Intensive","Car","ICEV-G","Wrought Aluminum",2030,135.675624678237
"Aluminum Intensive","Car","BEV100","Cast Aluminum",2030,165.116562288352
"Aluminum Intensive","Car","BEV100","Cast Iron",2030,14.4735725110015
"Aluminum Intensive","Car","BEV100","HSS/AHSS",2030,295.271167762232
"Aluminum Intensive","Car","BEV100","Steel",2030,281.653844413554
"Aluminum Intensive","Car","BEV100","Other",2030,581.820197518679
"Aluminum Intensive","Car","BEV100","Wrought Aluminum",2030,136.920929866878
"Aluminum Intensive","Car","BEV300","Cast Aluminum",2030,141.482181545668
"Aluminum Intensive","Car","BEV300","Cast Iron",2030,11.1656552790244
"Aluminum Intensive","Car","BEV300","HSS/AHSS",2030,242.937186958998
"Aluminum Intensive","Car","BEV300","Steel",2030,225.712225613159
"Aluminum Intensive","Car","BEV300","Other",2030,724.554486464513
"Aluminum Intensive","Car","BEV300","Wrought Aluminum",2030,111.533549548992
"Aluminum Intensive","Car","FFV","Cast Aluminum",2030,153.597440207613
"Aluminum Intensive","Car","FFV","Cast Iron",2030,108.644983941312
"Aluminum Intensive","Car","FFV","HSS/AHSS",2030,280.268732235012
"Aluminum Intensive","Car","FFV","Steel",2030,327.667975948223
"Aluminum Intensive","Car","FFV","Other",2030,493.947619762995
"Aluminum Intensive","Car","FFV","Wrought Aluminum",2030,135.855394437174
"Aluminum Intensive","Car","ICEV-D","Cast Aluminum",2030,159.330828030812
"Aluminum Intensive","Car","ICEV-D","Cast Iron",2030,113.52540786103
"Aluminum Intensive","Car","ICEV-D","HSS/AHSS",2030,293.418366078627
"Aluminum Intensive","Car","ICEV-D","Steel",2030,342.55141028176
"Aluminum Intensive","Car","ICEV-D","Other",2030,510.37605239845
"Aluminum Intensive","Car","ICEV-D","Wrought Aluminum",2030,142.196013247242
"Aluminum Intensive","Car","CNG","Cast Aluminum",2030,153.597440207613
"Aluminum Intensive","Car","CNG","Cast Iron",2030,108.644983941312
"Aluminum Intensive","Car","CNG","HSS/AHSS",2030,280.268732235012
"Aluminum Intensive","Car","CNG","Steel",2030,327.667975948223
"Aluminum Intensive","Car","CNG","Other",2030,493.947619762995
"Aluminum Intensive","Car","CNG","Wrought Aluminum",2030,135.855394437174
"Aluminum Intensive","Car","HEV","Cast Aluminum",2030,167.794187564635
"Aluminum Intensive","Car","HEV","Cast Iron",2030,74.0119996862985
"Aluminum Intensive","Car","HEV","HSS/AHSS",2030,265.743006169231
"Aluminum Intensive","Car","HEV","Steel",2030,374.47533933034
"Aluminum Intensive","Car","HEV","Other",2030,533.527011428003
"Aluminum Intensive","Car","HEV","Wrought Aluminum",2030,123.51697539905
"Aluminum Intensive","Car","PHEV20","Cast Aluminum",2030,185.720085108752
"Aluminum Intensive","Car","PHEV20","Cast Iron",2030,81.4779857561889
"Aluminum Intensive","Car","PHEV20","HSS/AHSS",2030,305.866523098919
"Aluminum Intensive","Car","PHEV20","Steel",2030,440.691573362841
"Aluminum Intensive","Car","PHEV20","Other",2030,559.706151191259
"Aluminum Intensive","Car","PHEV20","Wrought Aluminum",2030,142.040802312302
"Aluminum Intensive","Car","PHEV40","Cast Aluminum",2030,199.511669750489
"Aluminum Intensive","Car","PHEV40","Cast Iron",2030,85.0780498904511
"Aluminum Intensive","Car","PHEV40","HSS/AHSS",2030,299.983236187408
"Aluminum Intensive","Car","PHEV40","Steel",2030,462.977197259756
"Aluminum Intensive","Car","PHEV40","Other",2030,589.194275198294
"Aluminum Intensive","Car","PHEV40","Wrought Aluminum",2030,139.173870294988
"Aluminum Intensive","Car","FCV","Cast Aluminum",2030,168.767548917987
"Aluminum Intensive","Car","FCV","Cast Iron",2030,16.7829845010924
"Aluminum Intensive","Car","FCV","HSS/AHSS",2030,337.972352227708
"Aluminum Intensive","Car","FCV","Steel",2030,336.598837213738
"Aluminum Intensive","Car","FCV","Other",2030,804.382191100291
"Aluminum Intensive","Car","FCV","Wrought Aluminum",2030,181.548668069936
"Aluminum Intensive","Light truck","ICEV-G","Cast Aluminum",2030,190.89391156444
"Aluminum Intensive","Light truck","ICEV-G","Cast Iron",2030,133.684928977884
"Aluminum Intensive","Light truck","ICEV-G","HSS/AHSS",2030,383.195324736931
"Aluminum Intensive","Light truck","ICEV-G","Steel",2030,425.361356120681
"Aluminum Intensive","Light truck","ICEV-G","Other",2030,613.768094734664
"Aluminum Intensive","Light truck","ICEV-G","Wrought Aluminum",2030,181.279691821874
"Aluminum Intensive","Light truck","BEV100","Cast Aluminum",2030,179.907439462328
"Aluminum Intensive","Light truck","BEV100","Cast Iron",2030,16.4565235751125
"Aluminum Intensive","Light truck","BEV100","HSS/AHSS",2030,339.862337710126
"Aluminum Intensive","Light truck","BEV100","Steel",2030,297.408397492523
"Aluminum Intensive","Light truck","BEV100","Other",2030,690.57654765889
"Aluminum Intensive","Light truck","BEV100","Wrought Aluminum",2030,154.568664316851
"Aluminum Intensive","Light truck","BEV300","Cast Aluminum",2030,145.10700548967
"Aluminum Intensive","Light truck","BEV300","Cast Iron",2030,11.7838201756909
"Aluminum Intensive","Light truck","BEV300","HSS/AHSS",2030,265.980590205545
"Aluminum Intensive","Light truck","BEV300","Steel",2030,216.314352356541
"Aluminum Intensive","Light truck","BEV300","Other",2030,863.282298272907
"Aluminum Intensive","Light truck","BEV300","Wrought Aluminum",2030,118.712216171568
"Aluminum Intensive","Light truck","FFV","Cast Aluminum",2030,191.224955460653
"Aluminum Intensive","Light truck","FFV","Cast Iron",2030,133.952007959101
"Aluminum Intensive","Light truck","FFV","HSS/AHSS",2030,383.993539427138
"Aluminum Intensive","Light truck","FFV","Steel",2030,426.223757156061
"Aluminum Intensive","Light truck","FFV","Other",2030,614.746549483174
"Aluminum Intensive","Light truck","FFV","Wrought Aluminum",2030,181.655557599177
"Aluminum Intensive","Light truck","ICEV-D","Cast Aluminum",2030,220.762161172086
"Aluminum Intensive","Light truck","ICEV-D","Cast Iron",2030,157.75744856528
"Aluminum Intensive","Light truck","ICEV-D","HSS/AHSS",2030,455.321136529519
"Aluminum Intensive","Light truck","ICEV-D","Steel",2030,503.237793853518
"Aluminum Intensive","Light truck","ICEV-D","Other",2030,702.173209467569
"Aluminum Intensive","Light truck","ICEV-D","Wrought Aluminum",2030,215.240035888259
