"Scenario","Size","Technology","Subcomponent","2030"
"Aluminum Maximum","Light truck","HEV","Electronic Controller",-4.34771089453848
"Aluminum Maximum","Light truck","HEV","Engine",-11.3055008079646
"Aluminum Maximum","Light truck","HEV","EV Battery",-10.3265305313553
"Aluminum Maximum","Light truck","HEV","Generator",-7.82898706961311
"Aluminum Maximum","Light truck","HEV","Traction Motor",-5.78475395243464
"Aluminum Maximum","Light truck","PHEV20","Electronic Controller",-4.91668375195163
"Aluminum Maximum","Light truck","PHEV20","Engine",-13.726466210465
"Aluminum Maximum","Light truck","PHEV20","Generator",-9.05956170915336
"Aluminum Maximum","Light truck","PHEV20","Traction Motor",-6.89071359985736
"Aluminum Maximum","Light truck","PHEV40","Electronic Controller",-5.15241832753764
"Aluminum Maximum","Light truck","PHEV40","Engine",-15.19789112994
"Aluminum Maximum","Light truck","PHEV40","Generator",-14.1832724326525
"Aluminum Maximum","Light truck","PHEV40","Traction Motor",-12.0608063132007
"Aluminum Maximum","Light truck","FCV","Electronic Controller",-11.4343621246568
"Aluminum Maximum","Light truck","FCV","Fuel cell stack",-32.6773869762462
"Aluminum Maximum","Light truck","FCV","Traction Motor",-12.8986356366121
NA,"Car","ICEV-G","Engine",0
NA,"Car","ICEV-G","Fuel storage system",0
NA,"Car","BEV100","Electronic Controller",0
NA,"Car","BEV100","Traction Motor",0
NA,"Car","BEV300","Electronic Controller",0
NA,"Car","BEV300","Traction Motor",0
NA,"Car","FFV","Engine",0
NA,"Car","FFV","Fuel storage system",0
NA,"Car","ICEV-D","Engine",0
NA,"Car","ICEV-D","Fuel storage system",0
NA,"Car","CNG","Engine",0
NA,"Car","CNG","Fuel storage system",0
NA,"Car","HEV","Electronic Controller",0
NA,"Car","HEV","Engine",0
NA,"Car","HEV","EV Battery",0
NA,"Car","HEV","Generator",0
NA,"Car","HEV","Traction Motor",0
NA,"Car","PHEV20","Electronic Controller",0
NA,"Car","PHEV20","Engine",0
NA,"Car","PHEV20","Generator",0
NA,"Car","PHEV20","Traction Motor",0
NA,"Car","PHEV40","Electronic Controller",0
NA,"Car","PHEV40","Engine",0
NA,"Car","PHEV40","Generator",0
NA,"Car","PHEV40","Traction Motor",0
NA,"Car","FCV","Electronic Controller",0
NA,"Car","FCV","Fuel cell stack",0
NA,"Car","FCV","Traction Motor",0
NA,"Light truck","ICEV-G","Engine",0
NA,"Light truck","ICEV-G","Fuel storage system",0
NA,"Light truck","BEV100","Electronic Controller",0
NA,"Light truck","BEV100","Traction Motor",0
NA,"Light truck","BEV300","Electronic Controller",0
NA,"Light truck","BEV300","Traction Motor",0
NA,"Light truck","FFV","Engine",0
NA,"Light truck","FFV","Fuel storage system",0
NA,"Light truck","ICEV-D","Engine",0
NA,"Light truck","ICEV-D","Fuel storage system",0
NA,"Light truck","CNG","Engine",0
NA,"Light truck","CNG","Fuel storage system",0
NA,"Light truck","HEV","Electronic Controller",0
NA,"Light truck","HEV","Engine",0
NA,"Light truck","HEV","EV Battery",0
NA,"Light truck","HEV","Generator",0
NA,"Light truck","HEV","Traction Motor",0
NA,"Light truck","PHEV20","Electronic Controller",0
NA,"Light truck","PHEV20","Engine",0
NA,"Light truck","PHEV20","Generator",0
NA,"Light truck","PHEV20","Traction Motor",0
NA,"Light truck","PHEV40","Electronic Controller",0
NA,"Light truck","PHEV40","Engine",0
NA,"Light truck","PHEV40","Generator",0
NA,"Light truck","PHEV40","Traction Motor",0
NA,"Light truck","FCV","Electronic Controller",0
NA,"Light truck","FCV","Fuel cell stack",0
NA,"Light truck","FCV","Traction Motor",0
