"Scenario","Size","Technology","Subcomponent","Data","2030"
"Steel Intensive","Light truck","FCV","Total","Powertrain resizing",-13.5719408532723
"Aluminum Intensive","Car","ICEV-G","Total","Powertrain resizing",-21.9147770318209
"Aluminum Intensive","Car","BEV100","Total","Powertrain resizing",-19.466202303752
"Aluminum Intensive","Car","BEV300","Total","Powertrain resizing",-20.6768306420388
"Aluminum Intensive","Car","FFV","Total","Powertrain resizing",-21.9592132366315
"Aluminum Intensive","Car","ICEV-D","Total","Powertrain resizing",-23.5353724813162
"Aluminum Intensive","Car","CNG","Total","Powertrain resizing",-21.9592132366315
"Aluminum Intensive","Car","HEV","Total","Powertrain resizing",-22.6932888198291
"Aluminum Intensive","Car","PHEV20","Total","Powertrain resizing",-25.5965331090954
"Aluminum Intensive","Car","PHEV40","Total","Powertrain resizing",-32.8206452187853
"Aluminum Intensive","Car","FCV","Total","Powertrain resizing",-27.4928634528333
"Aluminum Intensive","Light truck","ICEV-G","Total","Powertrain resizing",-31.9624780779973
"Aluminum Intensive","Light truck","BEV100","Total","Powertrain resizing",-23.8350786421679
"Aluminum Intensive","Light truck","BEV300","Total","Powertrain resizing",-24.6417310330266
"Aluminum Intensive","Light truck","FFV","Total","Powertrain resizing",-32.056305292193
"Aluminum Intensive","Light truck","ICEV-D","Total","Powertrain resizing",-40.5977693630057
"Aluminum Intensive","Light truck","CNG","Total","Powertrain resizing",-32.056305292193
"Aluminum Intensive","Light truck","HEV","Total","Powertrain resizing",-33.2646934940783
"Aluminum Intensive","Light truck","PHEV20","Total","Powertrain resizing",-32.2829905953351
"Aluminum Intensive","Light truck","PHEV40","Total","Powertrain resizing",-40.663953885653
"Aluminum Intensive","Light truck","FCV","Total","Powertrain resizing",-34.3807718072294
"Aluminum Maximum","Car","ICEV-G","Total","Powertrain resizing",-19.786060715408
"Aluminum Maximum","Car","BEV100","Total","Powertrain resizing",-30.4020007499798
"Aluminum Maximum","Car","BEV300","Total","Powertrain resizing",-32.2934058164929
"Aluminum Maximum","Car","FFV","Total","Powertrain resizing",-19.8339464743201
"Aluminum Maximum","Car","ICEV-D","Total","Powertrain resizing",-21.5362372043767
"Aluminum Maximum","Car","CNG","Total","Powertrain resizing",-19.8339464743201
"Aluminum Maximum","Car","HEV","Total","Powertrain resizing",-25.8332078841643
"Aluminum Maximum","Car","PHEV20","Total","Powertrain resizing",-25.8123333741228
"Aluminum Maximum","Car","PHEV40","Total","Powertrain resizing",-35.7804151781297
"Aluminum Maximum","Car","FCV","Total","Powertrain resizing",-46.2009187160866
"Aluminum Maximum","Light truck","ICEV-G","Total","Powertrain resizing",-30.9075985254849
"Aluminum Maximum","Light truck","BEV100","Total","Powertrain resizing",-37.1863019279729
"Aluminum Maximum","Light truck","BEV300","Total","Powertrain resizing",-38.3258421988905
"Aluminum Maximum","Light truck","FFV","Total","Powertrain resizing",-31.0109273277069
"Aluminum Maximum","Light truck","ICEV-D","Total","Powertrain resizing",-40.4827549737533
"Aluminum Maximum","Light truck","CNG","Total","Powertrain resizing",-31.0109273277069
"Aluminum Maximum","Light truck","HEV","Total","Powertrain resizing",-39.5934832559069
"Aluminum Maximum","Light truck","PHEV20","Total","Powertrain resizing",-34.593425271426
"Aluminum Maximum","Light truck","PHEV40","Total","Powertrain resizing",-46.5943882033332
"Aluminum Maximum","Light truck","FCV","Total","Powertrain resizing",-57.0103847375146
"Steel Intensive","Car","ICEV-G","Total","Secondary battery resizing",-1.13686837721616e-12
"Steel Intensive","Car","BEV100","Total","Secondary battery resizing",-3.07529811832251
"Steel Intensive","Car","BEV300","Total","Secondary battery resizing",-9.72228424908349
"Steel Intensive","Car","FFV","Total","Secondary battery resizing",6.82121026329696e-13
"Steel Intensive","Car","ICEV-D","Total","Secondary battery resizing",1.36424205265939e-12
"Steel Intensive","Car","CNG","Total","Secondary battery resizing",6.82121026329696e-13
"Steel Intensive","Car","HEV","Total","Secondary battery resizing",9.09494701772928e-13
"Steel Intensive","Car","PHEV20","Total","Secondary battery resizing",-0.652664286243635
"Steel Intensive","Car","PHEV40","Total","Secondary battery resizing",-1.6517450459321
"Steel Intensive","Car","FCV","Total","Secondary battery resizing",0
"Steel Intensive","Light truck","ICEV-G","Total","Secondary battery resizing",-9.09494701772928e-13
"Steel Intensive","Light truck","BEV100","Total","Secondary battery resizing",-6.1753197671278
"Steel Intensive","Light truck","BEV300","Total","Secondary battery resizing",-13.9578738264934
"Steel Intensive","Light truck","FFV","Total","Secondary battery resizing",4.54747350886464e-13
"Steel Intensive","Light truck","ICEV-D","Total","Secondary battery resizing",-9.09494701772928e-13
"Steel Intensive","Light truck","CNG","Total","Secondary battery resizing",4.54747350886464e-13
"Steel Intensive","Light truck","HEV","Total","Secondary battery resizing",9.09494701772928e-13
"Steel Intensive","Light truck","PHEV20","Total","Secondary battery resizing",-1.86994922191752
"Steel Intensive","Light truck","PHEV40","Total","Secondary battery resizing",-3.85008896849149
"Steel Intensive","Light truck","FCV","Total","Secondary battery resizing",1.81898940354586e-12
"Aluminum Intensive","Car","ICEV-G","Total","Secondary battery resizing",-2.27373675443232e-13
"Aluminum Intensive","Car","BEV100","Total","Secondary battery resizing",-6.38345296834768
"Aluminum Intensive","Car","BEV300","Total","Secondary battery resizing",-19.9870335507144
"Aluminum Intensive","Car","FFV","Total","Secondary battery resizing",9.09494701772928e-13
"Aluminum Intensive","Car","ICEV-D","Total","Secondary battery resizing",1.81898940354586e-12
"Aluminum Intensive","Car","CNG","Total","Secondary battery resizing",9.09494701772928e-13
"Aluminum Intensive","Car","HEV","Total","Secondary battery resizing",2.27373675443232e-13
"Aluminum Intensive","Car","PHEV20","Total","Secondary battery resizing",-1.52956669848754
"Aluminum Intensive","Car","PHEV40","Total","Secondary battery resizing",-3.52867305051655
"Aluminum Intensive","Car","FCV","Total","Secondary battery resizing",-2.27373675443232e-13
"Aluminum Intensive","Light truck","ICEV-G","Total","Secondary battery resizing",-2.27373675443232e-13
"Aluminum Intensive","Light truck","BEV100","Total","Secondary battery resizing",-12.6117424811139
"Aluminum Intensive","Light truck","BEV300","Total","Secondary battery resizing",-28.6816584530964
"Aluminum Intensive","Light truck","FFV","Total","Secondary battery resizing",0
"Aluminum Intensive","Light truck","ICEV-D","Total","Secondary battery resizing",0
"Aluminum Intensive","Light truck","CNG","Total","Secondary battery resizing",0
"Aluminum Intensive","Light truck","HEV","Total","Secondary battery resizing",1.36424205265939e-12
"Aluminum Intensive","Light truck","PHEV20","Total","Secondary battery resizing",-4.03293529616781
"Aluminum Intensive","Light truck","PHEV40","Total","Secondary battery resizing",-7.94199408583449
"Aluminum Intensive","Light truck","FCV","Total","Secondary battery resizing",1.81898940354586e-12
"Aluminum Maximum","Car","ICEV-G","Total","Secondary battery resizing",-1.36424205265939e-12
"Aluminum Maximum","Car","BEV100","Total","Secondary battery resizing",-9.95626058764719
"Aluminum Maximum","Car","BEV300","Total","Secondary battery resizing",-31.2713634692477
"Aluminum Maximum","Car","FFV","Total","Secondary battery resizing",0
"Aluminum Maximum","Car","ICEV-D","Total","Secondary battery resizing",6.82121026329696e-13
"Aluminum Maximum","Car","CNG","Total","Secondary battery resizing",0
"Aluminum Maximum","Car","HEV","Total","Secondary battery resizing",4.54747350886464e-13
"Aluminum Maximum","Car","PHEV20","Total","Secondary battery resizing",-2.49258176838362
"Aluminum Maximum","Car","PHEV40","Total","Secondary battery resizing",-5.63024722805267
"Aluminum Maximum","Car","FCV","Total","Secondary battery resizing",9.09494701772928e-13
"Aluminum Maximum","Light truck","ICEV-G","Total","Secondary battery resizing",-4.54747350886464e-13
"Aluminum Maximum","Light truck","BEV100","Total","Secondary battery resizing",-19.6858633126117
"Aluminum Maximum","Light truck","BEV300","Total","Secondary battery resizing",-44.6746953291004
"Aluminum Maximum","Light truck","FFV","Total","Secondary battery resizing",-4.54747350886464e-13
"Aluminum Maximum","Light truck","ICEV-D","Total","Secondary battery resizing",-4.54747350886464e-13
"Aluminum Maximum","Light truck","CNG","Total","Secondary battery resizing",-4.54747350886464e-13
"Aluminum Maximum","Light truck","HEV","Total","Secondary battery resizing",6.82121026329696e-13
"Aluminum Maximum","Light truck","PHEV20","Total","Secondary battery resizing",-6.43707587316158
"Aluminum Maximum","Light truck","PHEV40","Total","Secondary battery resizing",-12.5641819043758
"Aluminum Maximum","Light truck","FCV","Total","Secondary battery resizing",1.81898940354586e-12
