"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Car","BEV300","Secondary Material Production","Cast Aluminum","GWP100",261.783734479672,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Secondary Material Production","Cast Aluminum","GWP100",274.780770652459,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Secondary Material Production","Cast Aluminum","GWP100",296.401619015627,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Secondary Material Production","Cast Aluminum","GWP100",318.445549256247,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Secondary Material Production","Cast Aluminum","GWP100",273.496509870644,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Secondary Material Production","Cast Aluminum","GWP100",242.568770229875,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Secondary Material Production","Cast Aluminum","GWP100",339.153266085185,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Secondary Material Production","Cast Aluminum","GWP100",299.064008581263,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Secondary Material Production","Cast Aluminum","GWP100",260.506155975913,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Secondary Material Production","Cast Aluminum","GWP100",213.293143425307,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Secondary Material Production","Cast Aluminum","GWP100",325.345427526147,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Secondary Material Production","Cast Aluminum","GWP100",260.971375384557,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Secondary Material Production","Cast Aluminum","GWP100",309.497147647612,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Secondary Material Production","Cast Aluminum","GWP100",273.788302334485,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Secondary Material Production","Cast Aluminum","GWP100",346.831257172956,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Secondary Material Production","Cast Aluminum","GWP100",308.017629526611,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Secondary Material Production","Cast Aluminum","GWP100",336.504599538486,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Secondary Material Production","Cast Aluminum","GWP100",311.303676155983,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Secondary Material Production","Cast Aluminum","GWP100",380.090484220549,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Secondary Material Production","Cast Aluminum","GWP100",356.498202621568,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","Cast Iron","GWP100",29.0141443686825,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","Cast Iron","GWP100",34.640373335369,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","Cast Iron","GWP100",28.3074258063515,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","Cast Iron","GWP100",33.5846319637268,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","Cast Iron","GWP100",53.1853984088317,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","Cast Iron","GWP100",141.066745348001,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","Cast Iron","GWP100",63.9388691991163,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","Cast Iron","GWP100",175.627275529955,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","Cast Iron","GWP100",88.9434479026154,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","Cast Iron","GWP100",210.272459661666,"2016","Curent Lightweighting","ICEV-G BAU"
