"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","Gasoline","GWP100",7506.27699284054,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","Gasoline","GWP100",8845.81415778793,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","Gasoline","GWP100",10860.0836295486,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","Gasoline","GWP100",12852.2982936867,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","Gasoline","GWP100",12213.2309958078,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","Gasoline","GWP100",14194.7290993669,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","Gasoline","GWP100",17199.7036374129,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","Gasoline","GWP100",20162.811573107,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","Gasoline","GWP100",6203.78015286369,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","Gasoline","GWP100",7266.04444821027,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","Gasoline","GWP100",7343.50066108482,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","Gasoline","GWP100",8375.35415215218,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","Gasoline","GWP100",4278.43326035526,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","Gasoline","GWP100",5071.19346569026,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","Gasoline","GWP100",4729.35553761296,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","Gasoline","GWP100",5448.66133186217,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","Gasoline","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","Gasoline","GWP100",28123.9256817093,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","Gasoline","GWP100",33142.7977151821,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","Gasoline","GWP100",40689.7034556395,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","Gasoline","GWP100",48153.975985107,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","Gasoline","GWP100",45759.5691162555,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","Gasoline","GWP100",53183.6896830956,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","Gasoline","GWP100",64442.4909055979,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","Gasoline","GWP100",75544.4296496421,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","Gasoline","GWP100",23243.8334118518,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","Gasoline","GWP100",27223.8413605533,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","Gasoline","GWP100",27514.048180332,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","Gasoline","GWP100",31380.1153298483,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","Gasoline","GWP100",16030.0957669363,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","Gasoline","GWP100",19000.34708054,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","Gasoline","GWP100",17719.5757349575,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","Gasoline","GWP100",20414.6138636041,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","HSS/AHSS","GWP100",58.38875363289,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","HSS/AHSS","GWP100",184.976638816883,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","HSS/AHSS","GWP100",68.7095704390536,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","HSS/AHSS","GWP100",221.112925087642,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","HSS/AHSS","GWP100",53.8734052965265,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","HSS/AHSS","GWP100",181.558169739527,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","HSS/AHSS","GWP100",62.2613145928981,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","HSS/AHSS","GWP100",215.980500568175,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","HSS/AHSS","GWP100",50.2166487306266,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","HSS/AHSS","GWP100",158.783943223511,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","HSS/AHSS","GWP100",68.0941155577694,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","HSS/AHSS","GWP100",215.410719391552,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","HSS/AHSS","GWP100",53.1098925440021,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","HSS/AHSS","GWP100",167.36353541667,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","HSS/AHSS","GWP100",73.3177921533871,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","HSS/AHSS","GWP100",230.969489265347,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","HSS/AHSS","GWP100",58.9873494281297,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","HSS/AHSS","GWP100",186.178881811504,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","HSS/AHSS","GWP100",70.3243823353946,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","HSS/AHSS","GWP100",223.196666135641,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","HSS/AHSS","GWP100",58.1938154040298,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","HSS/AHSS","GWP100",186.275199930589,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","HSS/AHSS","GWP100",68.803201393578,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Manufacturing","HSS/AHSS","GWP100",222.778386863446,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Primary Material Production","HSS/AHSS","GWP100",211.089246467096,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Primary Material Production","HSS/AHSS","GWP100",668.734591379894,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Primary Material Production","HSS/AHSS","GWP100",248.401456558712,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Primary Material Production","HSS/AHSS","GWP100",799.375870126371,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Primary Material Production","HSS/AHSS","GWP100",194.765187148204,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Primary Material Production","HSS/AHSS","GWP100",656.376011744041,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Primary Material Production","HSS/AHSS","GWP100",225.089476375849,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Primary Material Production","HSS/AHSS","GWP100",780.82093348266,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Primary Material Production","HSS/AHSS","GWP100",181.545141506151,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Primary Material Production","HSS/AHSS","GWP100",574.041760453761,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Primary Material Production","HSS/AHSS","GWP100",246.176440625993,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Primary Material Production","HSS/AHSS","GWP100",778.761038866981,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Primary Material Production","HSS/AHSS","GWP100",192.004906759078,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Primary Material Production","HSS/AHSS","GWP100",605.059028992074,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Primary Material Production","HSS/AHSS","GWP100",265.061275251674,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Primary Material Production","HSS/AHSS","GWP100",835.009696429769,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Primary Material Production","HSS/AHSS","GWP100",213.253312789696,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Primary Material Production","HSS/AHSS","GWP100",673.080986053782,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Primary Material Production","HSS/AHSS","GWP100",254.239386043008,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Primary Material Production","HSS/AHSS","GWP100",806.909090143709,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Primary Material Production","HSS/AHSS","GWP100",210.384498355902,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Primary Material Production","HSS/AHSS","GWP100",673.429198987159,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Primary Material Production","HSS/AHSS","GWP100",248.739954752402,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Primary Material Production","HSS/AHSS","GWP100",805.396910984419,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Secondary Material Production","HSS/AHSS","GWP100",18.0171011210061,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Secondary Material Production","HSS/AHSS","GWP100",57.0785056920669,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Secondary Material Production","HSS/AHSS","GWP100",21.201810306908,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Secondary Material Production","HSS/AHSS","GWP100",68.229131169901,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Secondary Material Production","HSS/AHSS","GWP100",16.6237936343567,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Secondary Material Production","HSS/AHSS","GWP100",56.0236638053397,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Secondary Material Production","HSS/AHSS","GWP100",19.2120627886657,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Secondary Material Production","HSS/AHSS","GWP100",66.6454116038941,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Secondary Material Production","HSS/AHSS","GWP100",15.4954230368791,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Secondary Material Production","HSS/AHSS","GWP100",48.9961881946835,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Secondary Material Production","HSS/AHSS","GWP100",21.0118985149688,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Secondary Material Production","HSS/AHSS","GWP100",66.4695934122502,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Secondary Material Production","HSS/AHSS","GWP100",16.3881954135778,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Secondary Material Production","HSS/AHSS","GWP100",51.6436052142866,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Secondary Material Production","HSS/AHSS","GWP100",22.6237758644737,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Secondary Material Production","HSS/AHSS","GWP100",71.2705852590214,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Secondary Material Production","HSS/AHSS","GWP100",18.20181068068,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Secondary Material Production","HSS/AHSS","GWP100",57.4494835304071,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Secondary Material Production","HSS/AHSS","GWP100",21.700095120636,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Secondary Material Production","HSS/AHSS","GWP100",68.872114121855,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Secondary Material Production","HSS/AHSS","GWP100",17.9569487532435,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Secondary Material Production","HSS/AHSS","GWP100",57.4792045500104,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Secondary Material Production","HSS/AHSS","GWP100",21.2307021443041,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Secondary Material Production","HSS/AHSS","GWP100",68.7430450892919,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Production","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Fuel Use","Hydrogen","GWP100",0,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","Mild steel and other steels","GWP100",122.825965052426,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","Mild steel and other steels","GWP100",339.513403874234,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","Mild steel and other steels","GWP100",131.394210342176,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","Mild steel and other steels","GWP100",393.370262525071,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","Mild steel and other steels","GWP100",118.905037365307,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","Mild steel and other steels","GWP100",341.566147366498,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","Mild steel and other steels","GWP100",124.856005107296,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","Mild steel and other steels","GWP100",394.848209010677,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","Mild steel and other steels","GWP100",173.177940339869,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","Mild steel and other steels","GWP100",358.459422075855,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","Mild steel and other steels","GWP100",216.569238501642,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","Mild steel and other steels","GWP100",468.417811658478,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","Mild steel and other steels","GWP100",145.381804896751,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","Mild steel and other steels","GWP100",338.61236495603,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","Mild steel and other steels","GWP100",187.764374857151,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","Mild steel and other steels","GWP100",454.403265173296,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","Mild steel and other steels","GWP100",208.594981363948,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","Mild steel and other steels","GWP100",425.854817111006,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","Mild steel and other steels","GWP100",231.346830772565,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","Mild steel and other steels","GWP100",493.178291588481,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","Mild steel and other steels","GWP100",223.351630489721,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","Mild steel and other steels","GWP100",444.490262458558,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","Mild steel and other steels","GWP100",248.835413469355,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
