"Scenario","Scrapped material","Year","Recovered material","value"
"BAU","Cast Aluminum",2030,"Loss",0.101428571428572
"BAU","Cast Aluminum",2031,"Loss",0.0988571428571429
"BAU","Cast Aluminum",2032,"Loss",0.0962857142857144
"BAU","Cast Aluminum",2033,"Loss",0.0937142857142858
"BAU","Cast Aluminum",2034,"Loss",0.0911428571428572
"BAU","Cast Aluminum",2035,"Loss",0.0885714285714286
"BAU","Cast Aluminum",2036,"Loss",0.0860000000000001
"BAU","Cast Aluminum",2037,"Loss",0.0834285714285715
"BAU","Cast Aluminum",2038,"Loss",0.0808571428571429
"BAU","Cast Aluminum",2039,"Loss",0.0782857142857144
"BAU","Cast Aluminum",2040,"Loss",0.0757142857142858
"BAU","Cast Aluminum",2041,"Loss",0.0731428571428572
"BAU","Cast Aluminum",2042,"Loss",0.0705714285714286
"BAU","Cast Aluminum",2043,"Loss",0.0680000000000001
"BAU","Cast Aluminum",2044,"Loss",0.0654285714285715
"BAU","Cast Aluminum",2045,"Loss",0.0628571428571429
"BAU","Cast Aluminum",2046,"Loss",0.0602857142857144
"BAU","Cast Aluminum",2047,"Loss",0.0577142857142858
"BAU","Cast Aluminum",2048,"Loss",0.0551428571428572
"BAU","Cast Aluminum",2049,"Loss",0.0525714285714286
