"Year","Data_type","Source","Unit","Aeo_year","Aeo_case","Value","rel_Value"
2032,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.996126,0.000236390376629369
2032,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",949.473054,0.225319179335242
2033,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1160.585938,0.274177636413683
2033,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.110671,0.000498626398165877
2033,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1403.951966,0.33167059764619
2033,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",686.973142,0.162291017137278
2033,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.792424,0.00136840631049063
2033,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.924058,0.000218300110361285
2033,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",972.632762,0.229775446222641
2034,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1157.924594,0.272043185479579
2034,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.314161,0.00054368974751443
2034,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1420.279029,0.333680822845537
2034,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",671.147968,0.1576797246461
2034,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.798057,0.00136219742118387
2034,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.865609,0.000203366463550383
2034,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",998.070553,0.234487024438731
2035,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1155.317341,0.269815509862192
2035,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.533211,0.000591612012818833
2035,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1421.608976,0.33200588017843
2035,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",668.583709,0.156142600762183
2035,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.807695,0.00135634265317333
2035,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.822122,0.000192000291804609
2035,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1027.205883,0.239896060778584
2036,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1157.76907,0.268728892876909
2036,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.613907,0.000606711953527316
2036,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1437.601666,0.33368062259789
2036,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",661.016943,0.153428136809069
2036,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.86498,0.00136131601973545
2036,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.790959,0.000183588888223648
2036,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1042.658872,0.242010752905022
2037,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1155.331555,0.26637282985391
2037,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.765552,0.000637624679391831
2037,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1454.875752,0.335435632714174
2037,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",660.053469,0.152181691594514
2037,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.848145,0.0013483462182819
2037,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.760686,0.00017538349192778
2037,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1057.637561,0.243848537559729
2038,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1156.032534,0.264818205906048
2038,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",2.934172,0.00067214558587826
2038,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1462.261489,0.334967617859867
2038,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",661.287447,0.151484452342178
2038,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.681391,0.00130146490468128
2038,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.731489,0.000167565876325077
2038,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1076.453304,0.246588590132981
2039,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1157.278337,0.263450102249919
2039,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",3.115233,0.00070917118738249
2039,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1473.46406,0.335428604215359
2039,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",663.459905,0.15103417580949
2039,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.721596,0.00130250001494042
2039,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.72549,0.000165155095857717
2039,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1089.015673,0.247910361086812
2040,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1152.466606,0.261052757521194
2040,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",3.328796,0.000754027379623286
2040,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1490.45086,0.337611784087422
2040,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",665.718776,0.150796319219712
2040,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.819723,0.00131826356551239
2040,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.713302,0.00016157470687301
2040,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1096.190642,0.248305320408588
2041,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1151.129967,0.259329727211892
2041,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",3.566573,0.000803487381691366
2041,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1507.570758,0.339629689637612
2041,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",665.787852,0.149990519741331
2041,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.788698,0.00130409381762887
2041,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.723985,0.000163101333418333
2041,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1104.298414,0.24877938605793
2042,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1142.065689,0.255907828124978
