"Scenario","Fuel","Unit","Year","value"
"No Lightweighting","Hydrogen","L",2030,3150927283.75661
"Steel Intensive","E10","L",2031,376082033662.233
"Steel Intensive","Electricity","kWh",2031,42920581930.026
"Steel Intensive","E85","L",2031,61287842559.7339
"Steel Intensive","Diesel","L",2031,6889977708.0822
"Steel Intensive","CNG & LPG","L",2031,876231650.891451
"Steel Intensive","Hydrogen","L",2031,3339760562.81866
"Aluminum Intensive","E10","L",2031,365826961289.182
"Aluminum Intensive","Electricity","kWh",2031,41300118189.1137
"Aluminum Intensive","E85","L",2031,59583252343.8155
"Aluminum Intensive","Diesel","L",2031,6588042256.96485
"Aluminum Intensive","CNG & LPG","L",2031,836927036.91928
"Aluminum Intensive","Hydrogen","L",2031,3278233053.94759
"Aluminum Maximum","E10","L",2031,354073639396.885
"Aluminum Maximum","Electricity","kWh",2031,39513377420.8667
"Aluminum Maximum","E85","L",2031,57632642796.3869
"Aluminum Maximum","Diesel","L",2031,6243266453.77624
"Aluminum Maximum","CNG & LPG","L",2031,792133996.786953
"Aluminum Maximum","Hydrogen","L",2031,3210448106.41576
"No Lightweighting","E10","L",2031,384916857679.877
"No Lightweighting","Electricity","kWh",2031,44434317301.3935
"No Lightweighting","E85","L",2031,62768488854.8149
"No Lightweighting","Diesel","L",2031,7152014126.20614
"No Lightweighting","CNG & LPG","L",2031,910473455.631259
"No Lightweighting","Hydrogen","L",2031,3393463956.16127
"Steel Intensive","E10","L",2032,373037509633.979
"Steel Intensive","Electricity","kWh",2032,46839365145.0824
"Steel Intensive","E85","L",2032,61022151110.2073
"Steel Intensive","Diesel","L",2032,7204234048.92046
"Steel Intensive","CNG & LPG","L",2032,886474552.76934
"Steel Intensive","Hydrogen","L",2032,3559791407.0513
"Aluminum Intensive","E10","L",2032,361896437580.562
"Aluminum Intensive","Electricity","kWh",2032,44995481776.4356
"Aluminum Intensive","E85","L",2032,59157432925.219
"Aluminum Intensive","Diesel","L",2032,6871024105.26491
"Aluminum Intensive","CNG & LPG","L",2032,845205641.480204
"Aluminum Intensive","Hydrogen","L",2032,3491550478.85051
"Aluminum Maximum","E10","L",2032,349142286943.449
"Aluminum Maximum","Electricity","kWh",2032,42964938046.416
"Aluminum Maximum","E85","L",2032,57025989555.3709
"Aluminum Maximum","Diesel","L",2032,6490927081.49763
"Aluminum Maximum","CNG & LPG","L",2032,798216411.076788
"Aluminum Maximum","Hydrogen","L",2032,3416441553.93491
"No Lightweighting","E10","L",2032,382649159992.243
"No Lightweighting","Electricity","kWh",2032,48563140486.8017
"No Lightweighting","E85","L",2032,62644212828.665
"No Lightweighting","Diesel","L",2032,7493638844.32925
"No Lightweighting","CNG & LPG","L",2032,922466324.991866
"No Lightweighting","Hydrogen","L",2032,3619432072.54482
"Steel Intensive","E10","L",2033,370227580817.512
"Steel Intensive","Electricity","kWh",2033,50812437173.0382
"Steel Intensive","E85","L",2033,60894838644.4019
"Steel Intensive","Diesel","L",2033,7476440425.0897
"Steel Intensive","CNG & LPG","L",2033,895453875.979808
