"Year","Region","value","Unit"
2013,"UN-EUROPE",8.61410633730594,"kg CO2eq / kg prim alu"
2013,"UN-OCEANIA",19.4238850082474,"kg CO2eq / kg prim alu"
2014,"CA-QC",7.28056361439524,"kg CO2eq / kg prim alu"
2014,"CN",24.5705030917937,"kg CO2eq / kg prim alu"
2014,"IAI Area 1",15.3181273349492,"kg CO2eq / kg prim alu"
2014,"IAI Area 2, without Quebec",14.9161938842018,"kg CO2eq / kg prim alu"
2014,"IAI Area 3",12.0928205912348,"kg CO2eq / kg prim alu"
2014,"IAI Area 4&5 without China",30.4576720943692,"kg CO2eq / kg prim alu"
2014,"IAI Area 8",19.210927145702,"kg CO2eq / kg prim alu"
2014,"UN-EUROPE",8.53116507875807,"kg CO2eq / kg prim alu"
2014,"UN-OCEANIA",21.0368711444079,"kg CO2eq / kg prim alu"
2015,"CA-QC",7.28309676882232,"kg CO2eq / kg prim alu"
2015,"CN",24.5251324631167,"kg CO2eq / kg prim alu"
2015,"IAI Area 1",14.1810045707076,"kg CO2eq / kg prim alu"
2015,"IAI Area 2, without Quebec",19.7510694182945,"kg CO2eq / kg prim alu"
2015,"IAI Area 3",12.1497079474574,"kg CO2eq / kg prim alu"
2015,"IAI Area 4&5 without China",28.0058605782811,"kg CO2eq / kg prim alu"
2015,"IAI Area 8",18.8723640544115,"kg CO2eq / kg prim alu"
2015,"UN-EUROPE",8.45411821241736,"kg CO2eq / kg prim alu"
2015,"UN-OCEANIA",20.6610361898513,"kg CO2eq / kg prim alu"
2016,"CA-QC",7.28253117402581,"kg CO2eq / kg prim alu"
2016,"CN",24.4345833855902,"kg CO2eq / kg prim alu"
2016,"IAI Area 1",14.1547401832614,"kg CO2eq / kg prim alu"
2016,"IAI Area 2, without Quebec",19.7000593093135,"kg CO2eq / kg prim alu"
2016,"IAI Area 3",12.1348517279911,"kg CO2eq / kg prim alu"
2016,"IAI Area 4&5 without China",27.9748447710716,"kg CO2eq / kg prim alu"
2016,"IAI Area 8",18.8352664605872,"kg CO2eq / kg prim alu"
2016,"UN-EUROPE",8.45028124605572,"kg CO2eq / kg prim alu"
2016,"UN-OCEANIA",20.6118667017735,"kg CO2eq / kg prim alu"
2017,"CA-QC",7.28196774934838,"kg CO2eq / kg prim alu"
2017,"CN",24.3444870534513,"kg CO2eq / kg prim alu"
2017,"IAI Area 1",14.1285639589888,"kg CO2eq / kg prim alu"
2017,"IAI Area 2, without Quebec",19.6492449199734,"kg CO2eq / kg prim alu"
2017,"IAI Area 3",12.1200345832349,"kg CO2eq / kg prim alu"
2017,"IAI Area 4&5 without China",27.9438735547363,"kg CO2eq / kg prim alu"
2017,"IAI Area 8",18.7982790368982,"kg CO2eq / kg prim alu"
2017,"UN-EUROPE",8.44645182321014,"kg CO2eq / kg prim alu"
2017,"UN-OCEANIA",20.5628666068064,"kg CO2eq / kg prim alu"
2018,"CA-QC",7.28140648646354,"kg CO2eq / kg prim alu"
2018,"CN",24.2548412029732,"kg CO2eq / kg prim alu"
2018,"IAI Area 1",14.1024756019473,"kg CO2eq / kg prim alu"
2018,"IAI Area 2, without Quebec",19.5986254993216,"kg CO2eq / kg prim alu"
2018,"IAI Area 3",12.1052564104149,"kg CO2eq / kg prim alu"
2018,"IAI Area 4&5 without China",27.9129468651681,"kg CO2eq / kg prim alu"
2018,"IAI Area 8",18.761401456168,"kg CO2eq / kg prim alu"
2018,"UN-EUROPE",8.44262992904997,"kg CO2eq / kg prim alu"
2018,"UN-OCEANIA",20.5140353213762,"kg CO2eq / kg prim alu"
2019,"CA-QC",7.28084737707675,"kg CO2eq / kg prim alu"
2019,"CN",24.1656435817473,"kg CO2eq / kg prim alu"
2019,"IAI Area 1",14.076474817188,"kg CO2eq / kg prim alu"
2019,"IAI Area 2, without Quebec",19.5482002992868,"kg CO2eq / kg prim alu"
2019,"IAI Area 3",12.0905171070273,"kg CO2eq / kg prim alu"
2019,"IAI Area 4&5 without China",27.8820646383515,"kg CO2eq / kg prim alu"
2019,"IAI Area 8",18.7246333921917,"kg CO2eq / kg prim alu"
2019,"UN-EUROPE",8.43881554877374,"kg CO2eq / kg prim alu"
2019,"UN-OCEANIA",20.4653722639196,"kg CO2eq / kg prim alu"
2020,"CA-QC",7.2802904129253,"kg CO2eq / kg prim alu"
2020,"CN",24.0768919486278,"kg CO2eq / kg prim alu"
2020,"IAI Area 1",14.0505613107521,"kg CO2eq / kg prim alu"
2020,"IAI Area 2, without Quebec",19.4979685746677,"kg CO2eq / kg prim alu"
