"Scenario","Size","Technology","Subcomponent","bat_impro","fc_impro","frv_impro","Case","Year","value"
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2018,0.0974933231281767
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2018,0.111516909629387
"BAU","Car","FFV","Engine","n","n","n","No improvements",2018,1.11904538582348
"BAU","Car","HEV","Engine","n","n","n","No improvements",2018,0.843755066875076
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2018,1.11870737496139
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2018,0.867087835597658
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2018,0.293694685624949
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2018,0.132630348295955
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2018,0.138754559036876
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2018,0.140568960990613
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2018,0.138749011470715
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2018,0.140134537499669
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2018,0.29974429977414
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2018,0.299653761150367
"BAU","Car","HEV","Generator","n","n","n","No improvements",2018,0.196471405760988
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2018,0.302028457745784
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2018,9.59841828366589
"BAU","Car","FFV","Interior","n","n","n","No improvements",2018,9.61219775783294
"BAU","Car","HEV","Interior","n","n","n","No improvements",2018,9.61628016222883
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2018,9.61218527580905
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2018,9.61530270937422
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2018,0.290128886897381
"BAU","Car","FFV","Tires","n","n","n","No improvements",2018,0.303525597893142
"BAU","Car","HEV","Tires","n","n","n","No improvements",2018,0.307494602166969
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2018,0.303513462592171
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2018,0.306544300780523
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2018,0.605377056324784
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2018,0.12753775513589
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2018,0.244759818876503
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2018,1.16051554758951
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2018,1.21410239157257
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2018,1.22997840866789
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2018,1.21405385036869
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2018,1.22617720312212
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2018,0.290128886897385
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2018,0.303525597893142
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2018,0.307494602166972
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2018,0.303513462592175
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2018,0.306544300780523
"BAU","Car","BEV300","Body","n","n","n","No improvements",2019,2.43146779478832
"BAU","Car","FFV","Body","n","n","n","No improvements",2019,2.54360491593388
"BAU","Car","HEV","Body","n","n","n","No improvements",2019,2.57683957732598
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2019,2.54350294141551
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2019,2.56894848537343
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2019,3.11669962786505
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2019,3.2604390286063
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2019,3.303039821845
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2019,3.26030831581443
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2019,3.29292487670585
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2019,0.453577357264749
