"Year","Age","Technology","Size","Value"
"2040",26,"BEV","Car",7705
"2050",26,"BEV","Car",61537
"2020",27,"BEV","Car",0
"2030",27,"BEV","Car",3
"2040",27,"BEV","Car",972
"2050",27,"BEV","Car",45415
"2020",28,"BEV","Car",0
"2030",28,"BEV","Car",4
"2040",28,"BEV","Car",671
"2050",28,"BEV","Car",31653
"2020",29,"BEV","Car",0
"2030",29,"BEV","Car",11
"2040",29,"BEV","Car",303
"2050",29,"BEV","Car",20942
"2020",30,"BEV","Car",0
"2030",30,"BEV","Car",20
"2040",30,"BEV","Car",18
"2050",30,"BEV","Car",12917
"2020",0,"CNG","Car",28005
"2030",0,"CNG","Car",31883
"2040",0,"CNG","Car",33722
"2050",0,"CNG","Car",36348
"2020",1,"CNG","Car",18823
"2030",1,"CNG","Car",24976
"2040",1,"CNG","Car",27034
"2050",1,"CNG","Car",29543
"2020",2,"CNG","Car",13516
"2030",2,"CNG","Car",19546
"2040",2,"CNG","Car",21592
"2050",2,"CNG","Car",23954
"2020",3,"CNG","Car",13796
"2030",3,"CNG","Car",15131
"2040",3,"CNG","Car",17233
"2050",3,"CNG","Car",19585
"2020",4,"CNG","Car",10347
"2030",4,"CNG","Car",11525
"2040",4,"CNG","Car",13600
"2050",4,"CNG","Car",15687
"2020",5,"CNG","Car",6287
"2030",5,"CNG","Car",8531
"2040",5,"CNG","Car",10471
"2050",5,"CNG","Car",12217
"2020",6,"CNG","Car",3916
"2030",6,"CNG","Car",6252
"2040",6,"CNG","Car",7989
"2050",6,"CNG","Car",9410
"2020",7,"CNG","Car",1313
"2030",7,"CNG","Car",4494
"2040",7,"CNG","Car",6030
"2050",7,"CNG","Car",7182
"2020",8,"CNG","Car",997
"2030",8,"CNG","Car",3160
"2040",8,"CNG","Car",4555
"2050",8,"CNG","Car",5456
"2020",9,"CNG","Car",815
"2030",9,"CNG","Car",2164
"2040",9,"CNG","Car",3408
"2050",9,"CNG","Car",4125
"2020",10,"CNG","Car",625
"2030",10,"CNG","Car",1474
"2040",10,"CNG","Car",2503
"2050",10,"CNG","Car",3088
"2020",11,"CNG","Car",550
"2030",11,"CNG","Car",918
"2040",11,"CNG","Car",1818
"2050",11,"CNG","Car",2295
"2020",12,"CNG","Car",251
"2030",12,"CNG","Car",607
"2040",12,"CNG","Car",1310
"2050",12,"CNG","Car",1688
"2020",13,"CNG","Car",534
"2030",13,"CNG","Car",566
"2040",13,"CNG","Car",927
"2050",13,"CNG","Car",1231
"2020",14,"CNG","Car",73
"2030",14,"CNG","Car",391
"2040",14,"CNG","Car",650
"2050",14,"CNG","Car",895
"2020",15,"CNG","Car",72
"2030",15,"CNG","Car",222
"2040",15,"CNG","Car",450
"2050",15,"CNG","Car",644
"2020",16,"CNG","Car",97
"2030",16,"CNG","Car",130
"2040",16,"CNG","Car",310
"2050",16,"CNG","Car",462
"2020",17,"CNG","Car",207
"2030",17,"CNG","Car",40
"2040",17,"CNG","Car",208
"2050",17,"CNG","Car",326
"2020",18,"CNG","Car",341
"2030",18,"CNG","Car",28
"2040",18,"CNG","Car",136
"2050",18,"CNG","Car",229
"2020",19,"CNG","Car",380
"2030",19,"CNG","Car",21
"2040",19,"CNG","Car",86
"2050",19,"CNG","Car",158
"2020",20,"CNG","Car",209
"2030",20,"CNG","Car",15
"2040",20,"CNG","Car",54
"2050",20,"CNG","Car",108
"2020",21,"CNG","Car",68
"2030",21,"CNG","Car",12
"2040",21,"CNG","Car",31
"2050",21,"CNG","Car",73
"2020",22,"CNG","Car",15
"2030",22,"CNG","Car",5
"2040",22,"CNG","Car",19
"2050",22,"CNG","Car",48
"2020",23,"CNG","Car",0
"2030",23,"CNG","Car",10
"2040",23,"CNG","Car",16
"2050",23,"CNG","Car",31
"2020",24,"CNG","Car",0
"2030",24,"CNG","Car",1
"2040",24,"CNG","Car",10
"2050",24,"CNG","Car",19
"2020",25,"CNG","Car",0
"2030",25,"CNG","Car",1
"2040",25,"CNG","Car",5
"2050",25,"CNG","Car",12
"2020",26,"CNG","Car",0
"2030",26,"CNG","Car",1
"2040",26,"CNG","Car",2
"2050",26,"CNG","Car",7
"2020",27,"CNG","Car",0
"2030",27,"CNG","Car",2
"2040",27,"CNG","Car",0
"2050",27,"CNG","Car",4
"2020",28,"CNG","Car",0
"2030",28,"CNG","Car",4
"2040",28,"CNG","Car",0
"2050",28,"CNG","Car",2
"2020",29,"CNG","Car",0
"2030",29,"CNG","Car",4
"2040",29,"CNG","Car",0
"2050",29,"CNG","Car",1
"2020",30,"CNG","Car",0
"2030",30,"CNG","Car",2
"2040",30,"CNG","Car",0
"2050",30,"CNG","Car",1
"2020",0,"FCV","Car",10876
"2030",0,"FCV","Car",28964
"2040",0,"FCV","Car",29861
"2050",0,"FCV","Car",32868
"2020",1,"FCV","Car",5792
"2030",1,"FCV","Car",28819
"2040",1,"FCV","Car",29750
"2050",1,"FCV","Car",32350
"2020",2,"FCV","Car",3116
"2030",2,"FCV","Car",28533
"2040",2,"FCV","Car",29834
"2050",2,"FCV","Car",31902
"2020",3,"FCV","Car",1724
"2030",3,"FCV","Car",28567
"2040",3,"FCV","Car",29923
"2050",3,"FCV","Car",31577
"2020",4,"FCV","Car",1690
"2030",4,"FCV","Car",29274
"2040",4,"FCV","Car",29656
"2050",4,"FCV","Car",31009
"2020",5,"FCV","Car",1258
"2030",5,"FCV","Car",28550
"2040",5,"FCV","Car",28587
"2050",5,"FCV","Car",29785
"2020",6,"FCV","Car",0
"2030",6,"FCV","Car",23696
"2040",6,"FCV","Car",27473
"2050",6,"FCV","Car",28357
"2020",7,"FCV","Car",0
"2030",7,"FCV","Car",18999
"2040",7,"FCV","Car",26087
"2050",7,"FCV","Car",26865
"2020",8,"FCV","Car",0
"2030",8,"FCV","Car",15863
"2040",8,"FCV","Car",24729
"2050",8,"FCV","Car",25456
"2020",9,"FCV","Car",0
"2030",9,"FCV","Car",12379
"2040",9,"FCV","Car",23232
"2050",9,"FCV","Car",23958
"2020",10,"FCV","Car",0
"2030",10,"FCV","Car",8018
"2040",10,"FCV","Car",21784
"2050",10,"FCV","Car",22434
"2020",11,"FCV","Car",0
"2030",11,"FCV","Car",3958
"2040",11,"FCV","Car",20225
"2050",11,"FCV","Car",20851
"2020",12,"FCV","Car",0
"2030",12,"FCV","Car",1961
"2040",12,"FCV","Car",18565
"2050",12,"FCV","Car",19379
"2020",13,"FCV","Car",0
"2030",13,"FCV","Car",992
"2040",13,"FCV","Car",17107
"2050",13,"FCV","Car",17878
"2020",14,"FCV","Car",0
"2030",14,"FCV","Car",895
"2040",14,"FCV","Car",16147
"2050",14,"FCV","Car",16320
"2020",15,"FCV","Car",0
"2030",15,"FCV","Car",623
"2040",15,"FCV","Car",14717
"2050",15,"FCV","Car",14702
"2020",16,"FCV","Car",0
"2030",16,"FCV","Car",0
"2040",16,"FCV","Car",11487
"2050",16,"FCV","Car",13288
"2020",17,"FCV","Car",0
"2030",17,"FCV","Car",0
"2040",17,"FCV","Car",8619
"2050",17,"FCV","Car",11808
"2020",18,"FCV","Car",0
"2030",18,"FCV","Car",0
"2040",18,"FCV","Car",6695
"2050",18,"FCV","Car",10412
"2020",19,"FCV","Car",0
"2030",19,"FCV","Car",0
"2040",19,"FCV","Car",4835
"2050",19,"FCV","Car",9053
"2020",20,"FCV","Car",0
"2030",20,"FCV","Car",0
"2040",20,"FCV","Car",2917
"2050",20,"FCV","Car",7907
"2020",21,"FCV","Car",0
"2030",21,"FCV","Car",0
"2040",21,"FCV","Car",1333
"2050",21,"FCV","Car",6795
"2020",22,"FCV","Car",0
"2030",22,"FCV","Car",0
"2040",22,"FCV","Car",612
"2050",22,"FCV","Car",5784
"2020",23,"FCV","Car",0
"2030",23,"FCV","Car",0
"2040",23,"FCV","Car",285
"2050",23,"FCV","Car",4904
"2020",24,"FCV","Car",0
"2030",24,"FCV","Car",0
"2040",24,"FCV","Car",230
"2050",24,"FCV","Car",4135
"2020",25,"FCV","Car",0
"2030",25,"FCV","Car",0
"2040",25,"FCV","Car",144
"2050",25,"FCV","Car",3404
"2020",26,"FCV","Car",0
"2030",26,"FCV","Car",0
"2040",26,"FCV","Car",0
"2050",26,"FCV","Car",2400
"2020",27,"FCV","Car",0
"2030",27,"FCV","Car",0
"2040",27,"FCV","Car",0
"2050",27,"FCV","Car",1645
"2020",28,"FCV","Car",0
"2030",28,"FCV","Car",0
"2040",28,"FCV","Car",0
"2050",28,"FCV","Car",1180
"2020",29,"FCV","Car",0
"2030",29,"FCV","Car",0
"2040",29,"FCV","Car",0
"2050",29,"FCV","Car",796
"2020",30,"FCV","Car",0
"2030",30,"FCV","Car",0
"2040",30,"FCV","Car",0
"2050",30,"FCV","Car",449
"2020",0,"FFV","Car",388274
"2030",0,"FFV","Car",441325
"2040",0,"FFV","Car",450523
"2050",0,"FFV","Car",410443
"2020",1,"FFV","Car",383456
"2030",1,"FFV","Car",435993
"2040",1,"FFV","Car",453155
"2050",1,"FFV","Car",410327
"2020",2,"FFV","Car",370058
"2030",2,"FFV","Car",431360
"2040",2,"FFV","Car",452897
"2050",2,"FFV","Car",414384
"2020",3,"FFV","Car",364637
"2030",3,"FFV","Car",422897
"2040",3,"FFV","Car",451114
"2050",3,"FFV","Car",433408
"2020",4,"FFV","Car",429064
"2030",4,"FFV","Car",408443
"2040",4,"FFV","Car",448614
"2050",4,"FFV","Car",436580
"2020",5,"FFV","Car",268636
"2030",5,"FFV","Car",393775
"2040",5,"FFV","Car",435486
"2050",5,"FFV","Car",423057
"2020",6,"FFV","Car",310660
"2030",6,"FFV","Car",366471
"2040",6,"FFV","Car",416292
"2050",6,"FFV","Car",405562
"2020",7,"FFV","Car",334837
"2030",7,"FFV","Car",346591
"2040",7,"FFV","Car",394236
"2050",7,"FFV","Car",395245
"2020",8,"FFV","Car",312549
"2030",8,"FFV","Car",325826
"2040",8,"FFV","Car",373492
"2050",8,"FFV","Car",380039
"2020",9,"FFV","Car",368789
"2030",9,"FFV","Car",312305
"2040",9,"FFV","Car",356015
"2050",9,"FFV","Car",364329
"2020",10,"FFV","Car",167475
"2030",10,"FFV","Car",302231
"2040",10,"FFV","Car",339121
"2050",10,"FFV","Car",345833
"2020",11,"FFV","Car",253307
"2030",11,"FFV","Car",280288
"2040",11,"FFV","Car",313567
"2050",11,"FFV","Car",325522
"2020",12,"FFV","Car",358522
"2030",12,"FFV","Car",252566
"2040",12,"FFV","Car",288653
"2050",12,"FFV","Car",302714
"2020",13,"FFV","Car",217546
"2030",13,"FFV","Car",233339
"2040",13,"FFV","Car",261358
"2050",13,"FFV","Car",277881
"2020",14,"FFV","Car",109268
"2030",14,"FFV","Car",259456
"2040",14,"FFV","Car",232497
"2050",14,"FFV","Car",254525
"2020",15,"FFV","Car",87198
"2030",15,"FFV","Car",152769
"2040",15,"FFV","Car",209484
"2050",15,"FFV","Car",230913
"2020",16,"FFV","Car",66383
"2030",16,"FFV","Car",167193
"2040",16,"FFV","Car",183347
"2050",16,"FFV","Car",207588
"2020",17,"FFV","Car",50355
"2030",17,"FFV","Car",169538
"2040",17,"FFV","Car",162278
"2050",17,"FFV","Car",183980
"2020",18,"FFV","Car",47696
"2030",18,"FFV","Car",148152
"2040",18,"FFV","Car",141912
"2050",18,"FFV","Car",162138
"2020",19,"FFV","Car",41883
"2030",19,"FFV","Car",162832
"2040",19,"FFV","Car",125894
"2050",19,"FFV","Car",143042
"2020",20,"FFV","Car",36503
"2030",20,"FFV","Car",69398
"2040",20,"FFV","Car",113484
"2050",20,"FFV","Car",126918
"2020",21,"FFV","Car",32609
"2030",21,"FFV","Car",97785
"2040",21,"FFV","Car",97411
"2050",21,"FFV","Car",108619
"2020",22,"FFV","Car",14242
"2030",22,"FFV","Car",129317
"2040",22,"FFV","Car",81391
"2050",22,"FFV","Car",92715
"2020",23,"FFV","Car",4292
"2030",23,"FFV","Car",72518
"2040",23,"FFV","Car",69189
"2050",23,"FFV","Car",77243
"2020",24,"FFV","Car",1103
"2030",24,"FFV","Car",32903
"2040",24,"FFV","Car",68733
"2050",24,"FFV","Car",61389
"2020",25,"FFV","Car",918
"2030",25,"FFV","Car",23719
"2040",25,"FFV","Car",36558
"2050",25,"FFV","Car",49965
"2020",26,"FFV","Car",0
"2030",26,"FFV","Car",16494
"2040",26,"FFV","Car",36142
"2050",26,"FFV","Car",39504
"2020",27,"FFV","Car",0
"2030",27,"FFV","Car",11559
"2040",27,"FFV","Car",33478
"2050",27,"FFV","Car",31939
"2020",28,"FFV","Car",0
"2030",28,"FFV","Car",10231
"2040",28,"FFV","Car",27028
"2050",28,"FFV","Car",25804
"2020",29,"FFV","Car",0
"2030",29,"FFV","Car",8396
"2040",29,"FFV","Car",27759
"2050",29,"FFV","Car",21392
"2020",30,"FFV","Car",0
"2030",30,"FFV","Car",6933
"2040",30,"FFV","Car",11056
"2050",30,"FFV","Car",18020
"2020",0,"HEV","Car",530553
"2030",0,"HEV","Car",683523
"2040",0,"HEV","Car",740201
"2050",0,"HEV","Car",775693
"2020",1,"HEV","Car",498776
"2030",1,"HEV","Car",669442
"2040",1,"HEV","Car",734151
"2050",1,"HEV","Car",773723
"2020",2,"HEV","Car",486360
"2030",2,"HEV","Car",654843
"2040",2,"HEV","Car",726941
"2050",2,"HEV","Car",770410
"2020",3,"HEV","Car",414459
"2030",3,"HEV","Car",635674
"2040",3,"HEV","Car",720711
"2050",3,"HEV","Car",773411
"2020",4,"HEV","Car",276796
"2030",4,"HEV","Car",615909
"2040",4,"HEV","Car",714647
"2050",4,"HEV","Car",769970
"2020",5,"HEV","Car",352128
"2030",5,"HEV","Car",583728
"2040",5,"HEV","Car",692760
"2050",5,"HEV","Car",746785
"2020",6,"HEV","Car",444808
"2030",6,"HEV","Car",569614
"2040",6,"HEV","Car",667445
"2050",6,"HEV","Car",716838
"2020",7,"HEV","Car",359336
"2030",7,"HEV","Car",526581
"2040",7,"HEV","Car",636700
"2050",7,"HEV","Car",682428
"2020",8,"HEV","Car",344913
"2030",8,"HEV","Car",485647
"2040",8,"HEV","Car",606644
"2050",8,"HEV","Car",647565
"2020",9,"HEV","Car",202333
"2030",9,"HEV","Car",447147
"2040",9,"HEV","Car",570719
"2050",9,"HEV","Car",612376
"2020",10,"HEV","Car",206022
"2030",10,"HEV","Car",409437
"2040",10,"HEV","Car",527077
"2050",10,"HEV","Car",571791
"2020",11,"HEV","Car",217094
"2030",11,"HEV","Car",360646
"2040",11,"HEV","Car",483217
"2050",11,"HEV","Car",531211
"2020",12,"HEV","Car",205175
"2030",12,"HEV","Car",327378
"2040",12,"HEV","Car",439593
"2050",12,"HEV","Car",489171
"2020",13,"HEV","Car",215517
"2030",13,"HEV","Car",257602
"2040",13,"HEV","Car",393854
"2050",13,"HEV","Car",447642
"2020",14,"HEV","Car",98005
"2030",14,"HEV","Car",158457
"2040",14,"HEV","Car",351481
"2050",14,"HEV","Car",408833
"2020",15,"HEV","Car",83797
"2030",15,"HEV","Car",188395
"2040",15,"HEV","Car",311324
"2050",15,"HEV","Car",370385
"2020",16,"HEV","Car",43225
"2030",16,"HEV","Car",223806
"2040",16,"HEV","Car",285702
"2050",16,"HEV","Car",335596
"2020",17,"HEV","Car",23022
"2030",17,"HEV","Car",169203
"2040",17,"HEV","Car",247177
"2050",17,"HEV","Car",299602
"2020",18,"HEV","Car",15633
"2030",18,"HEV","Car",151081
"2040",18,"HEV","Car",212058
"2050",18,"HEV","Car",265544
"2020",19,"HEV","Car",7786
"2030",19,"HEV","Car",82027
"2040",19,"HEV","Car",180707
"2050",19,"HEV","Car",231215
"2020",20,"HEV","Car",2926
"2030",20,"HEV","Car",77800
"2040",20,"HEV","Car",154129
"2050",20,"HEV","Car",198902
"2020",21,"HEV","Car",5
"2030",21,"HEV","Car",75878
"2040",21,"HEV","Car",125657
"2050",21,"HEV","Car",168778
"2020",22,"HEV","Car",0
"2030",22,"HEV","Car",66496
"2040",22,"HEV","Car",105767
"2050",22,"HEV","Car",142371
"2020",23,"HEV","Car",0
"2030",23,"HEV","Car",64269
"2040",23,"HEV","Car",76577
"2050",23,"HEV","Car",117370
"2020",24,"HEV","Car",0
"2030",24,"HEV","Car",26110
"2040",24,"HEV","Car",42083
"2050",24,"HEV","Car",93578
"2020",25,"HEV","Car",0
"2030",25,"HEV","Car",20167
"2040",25,"HEV","Car",45198
"2050",25,"HEV","Car",74874
"2020",26,"HEV","Car",0
"2030",26,"HEV","Car",9397
"2040",26,"HEV","Car",48503
"2050",26,"HEV","Car",62069
"2020",27,"HEV","Car",0
"2030",27,"HEV","Car",4572
"2040",27,"HEV","Car",33497
"2050",27,"HEV","Car",49054
"2020",28,"HEV","Car",0
"2030",28,"HEV","Car",2868
"2040",28,"HEV","Car",27632
"2050",28,"HEV","Car",38880
"2020",29,"HEV","Car",0
"2030",29,"HEV","Car",1335
"2040",29,"HEV","Car",14019
"2050",29,"HEV","Car",30961
"2020",30,"HEV","Car",0
"2030",30,"HEV","Car",468
"2040",30,"HEV","Car",12425
"2050",30,"HEV","Car",24677
"2020",0,"ICEV-D","Car",75787
"2030",0,"ICEV-D","Car",279627
"2040",0,"ICEV-D","Car",222076
"2050",0,"ICEV-D","Car",183353
"2020",1,"ICEV-D","Car",40889
"2030",1,"ICEV-D","Car",266180
"2040",1,"ICEV-D","Car",227793
"2050",1,"ICEV-D","Car",187025
"2020",2,"ICEV-D","Car",17758
"2030",2,"ICEV-D","Car",247919
"2040",2,"ICEV-D","Car",234168
"2050",2,"ICEV-D","Car",187927
"2020",3,"ICEV-D","Car",10303
"2030",3,"ICEV-D","Car",213999
"2040",3,"ICEV-D","Car",240219
"2050",3,"ICEV-D","Car",192034
"2020",4,"ICEV-D","Car",9775
"2030",4,"ICEV-D","Car",183989
"2040",4,"ICEV-D","Car",248380
"2050",4,"ICEV-D","Car",195648
"2020",5,"ICEV-D","Car",143802
"2030",5,"ICEV-D","Car",153254
"2040",5,"ICEV-D","Car",249458
"2050",5,"ICEV-D","Car",194731
"2020",6,"ICEV-D","Car",168150
"2030",6,"ICEV-D","Car",131641
"2040",6,"ICEV-D","Car",248208
"2050",6,"ICEV-D","Car",191824
"2020",7,"ICEV-D","Car",87264
"2030",7,"ICEV-D","Car",110855
"2040",7,"ICEV-D","Car",238527
"2050",7,"ICEV-D","Car",186429
"2020",8,"ICEV-D","Car",78648
"2030",8,"ICEV-D","Car",90363
"2040",8,"ICEV-D","Car",236577
"2050",8,"ICEV-D","Car",181816
"2020",9,"ICEV-D","Car",33348
"2030",9,"ICEV-D","Car",72208
"2040",9,"ICEV-D","Car",228001
"2050",9,"ICEV-D","Car",176165
"2020",10,"ICEV-D","Car",48847
"2030",10,"ICEV-D","Car",55771
"2040",10,"ICEV-D","Car",215435
"2050",10,"ICEV-D","Car",170347
"2020",11,"ICEV-D","Car",63979
"2030",11,"ICEV-D","Car",27893
"2040",11,"ICEV-D","Car",192170
"2050",11,"ICEV-D","Car",163548
"2020",12,"ICEV-D","Car",2355
"2030",12,"ICEV-D","Car",11157
"2040",12,"ICEV-D","Car",166502
"2050",12,"ICEV-D","Car",156249
"2020",13,"ICEV-D","Car",2435
"2030",13,"ICEV-D","Car",5916
"2040",13,"ICEV-D","Car",132587
"2050",13,"ICEV-D","Car",147898
"2020",14,"ICEV-D","Car",12767
"2030",14,"ICEV-D","Car",5170
"2040",14,"ICEV-D","Car",104994
"2050",14,"ICEV-D","Car",140850
"2020",15,"ICEV-D","Car",8134
"2030",15,"ICEV-D","Car",71083
"2040",15,"ICEV-D","Car",81733
"2050",15,"ICEV-D","Car",132207
"2020",16,"ICEV-D","Car",5452
"2030",16,"ICEV-D","Car",78167
"2040",16,"ICEV-D","Car",66025
"2050",16,"ICEV-D","Car",123709
"2020",17,"ICEV-D","Car",6805
"2030",17,"ICEV-D","Car",37964
"2040",17,"ICEV-D","Car",52034
"2050",17,"ICEV-D","Car",111259
"2020",18,"ICEV-D","Car",6524
"2030",18,"ICEV-D","Car",31828
"2040",18,"ICEV-D","Car",39456
"2050",18,"ICEV-D","Car",102650
"2020",19,"ICEV-D","Car",2642
"2030",19,"ICEV-D","Car",12491
"2040",19,"ICEV-D","Car",29181
"2050",19,"ICEV-D","Car",91562
"2020",20,"ICEV-D","Car",3698
"2030",20,"ICEV-D","Car",17042
"2040",20,"ICEV-D","Car",20993
"2050",20,"ICEV-D","Car",80587
"2020",21,"ICEV-D","Car",1960
"2030",21,"ICEV-D","Car",20660
"2040",21,"ICEV-D","Car",9718
"2050",21,"ICEV-D","Car",66534
"2020",22,"ICEV-D","Car",1123
"2030",22,"ICEV-D","Car",705
"2040",22,"ICEV-D","Car",3604
"2050",22,"ICEV-D","Car",53453
"2020",23,"ICEV-D","Car",644
"2030",23,"ICEV-D","Car",671
"2040",23,"ICEV-D","Car",1758
"2050",23,"ICEV-D","Car",39165
"2020",24,"ICEV-D","Car",574
"2030",24,"ICEV-D","Car",3142
"2040",24,"ICEV-D","Car",1373
"2050",24,"ICEV-D","Car",27709
"2020",25,"ICEV-D","Car",1844
"2030",25,"ICEV-D","Car",1808
"2040",25,"ICEV-D","Car",17053
"2050",25,"ICEV-D","Car",19485
"2020",26,"ICEV-D","Car",155
"2030",26,"ICEV-D","Car",1095
"2040",26,"ICEV-D","Car",16940
"2050",26,"ICEV-D","Car",14218
"2020",27,"ICEV-D","Car",90
"2030",27,"ICEV-D","Car",1248
"2040",27,"ICEV-D","Car",7515
"2050",27,"ICEV-D","Car",10236
"2020",28,"ICEV-D","Car",145
"2030",28,"ICEV-D","Car",1105
"2040",28,"ICEV-D","Car",5821
"2050",28,"ICEV-D","Car",7170
"2020",29,"ICEV-D","Car",202
"2030",29,"ICEV-D","Car",418
"2040",29,"ICEV-D","Car",2134
"2050",29,"ICEV-D","Car",4956
"2020",30,"ICEV-D","Car",153
"2030",30,"ICEV-D","Car",547
"2040",30,"ICEV-D","Car",2721
"2050",30,"ICEV-D","Car",3331
"2020",0,"ICEV-G","Car",7398719
"2030",0,"ICEV-G","Car",6909975
"2040",0,"ICEV-G","Car",6846019
"2050",0,"ICEV-G","Car",7189708
"2020",1,"ICEV-G","Car",7344525
"2030",1,"ICEV-G","Car",6916502
"2040",1,"ICEV-G","Car",6818263
"2050",1,"ICEV-G","Car",7167242
"2020",2,"ICEV-G","Car",7561623
"2030",2,"ICEV-G","Car",6946755
"2040",2,"ICEV-G","Car",6770484
"2050",2,"ICEV-G","Car",7134509
"2020",3,"ICEV-G","Car",7556488
"2030",3,"ICEV-G","Car",6945307
"2040",3,"ICEV-G","Car",6737255
"2050",3,"ICEV-G","Car",7164515
"2020",4,"ICEV-G","Car",8115033
"2030",4,"ICEV-G","Car",6953742
"2040",4,"ICEV-G","Car",6717645
"2050",4,"ICEV-G","Car",7129439
"2020",5,"ICEV-G","Car",6416995
"2030",5,"ICEV-G","Car",6819435
"2040",5,"ICEV-G","Car",6542598
"2050",5,"ICEV-G","Car",6901058
"2020",6,"ICEV-G","Car",7078453
"2030",6,"ICEV-G","Car",6710888
"2040",6,"ICEV-G","Car",6347200
"2050",6,"ICEV-G","Car",6623254
"2020",7,"ICEV-G","Car",6131615
"2030",7,"ICEV-G","Car",6493927
"2040",7,"ICEV-G","Car",6122312
"2050",7,"ICEV-G","Car",6307522
"2020",8,"ICEV-G","Car",5700626
"2030",8,"ICEV-G","Car",6226509
"2040",8,"ICEV-G","Car",5911864
"2050",8,"ICEV-G","Car",5982598
"2020",9,"ICEV-G","Car",4931253
"2030",9,"ICEV-G","Car",5961380
"2040",9,"ICEV-G","Car",5666678
"2050",9,"ICEV-G","Car",5659688
"2020",10,"ICEV-G","Car",4025720
"2030",10,"ICEV-G","Car",5775834
"2040",10,"ICEV-G","Car",5348789
"2050",10,"ICEV-G","Car",5305746
"2020",11,"ICEV-G","Car",3213533
"2030",11,"ICEV-G","Car",5380507
"2040",11,"ICEV-G","Car",5017328
"2050",11,"ICEV-G","Car",4950734
"2020",12,"ICEV-G","Car",4035568
"2030",12,"ICEV-G","Car",5165695
"2040",12,"ICEV-G","Car",4692580
"2050",12,"ICEV-G","Car",4574772
"2020",13,"ICEV-G","Car",4484509
