"Material","Scenario","rec_scen","Case","Year","value","Type"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2019,379763183.551915,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2019,5530730447.25137,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2019,11051204742.8008,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2019,761168649.723596,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2019,237864684.968581,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2019,6131569575.22868,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2019,8537912483.6046,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2019,690205894.39517,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2019,256305828.458512,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2019,4140334262.23059,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2019,8059172462.07112,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2019,2101978898.3,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2019,410764540.519349,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2019,5196999460.02953,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2019,9830716925.53592,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2019,702155989.054793,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2019,268551268.516358,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2020,6639714381.50514,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2020,9356621396.8566,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2020,740406240.93853,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2020,187126167.746387,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2020,4178504383.15721,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2020,8768468499.70506,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2020,2481530573.57298,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2020,373527896.48515,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2020,5482470771.00877,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2020,10958438705.0423,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2020,755196419.645522,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2020,202281161.944552,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2020,6204319551.23346,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2020,7835935497.23458,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2020,664450728.676497,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2020,226623034.122645,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2020,3745616079.2822,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2020,7248393199.55958,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2020,2403791184.64266,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2020,413952378.728915,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2020,5048247736.69552,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2020,9436129780.75957,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2020,679225757.191511,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2020,241785906.420638,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2021,6692857956.9189,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2021,8804837429.00413,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2021,718707520.192303,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2021,130398602.63475,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2021,3823825980.96031,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2021,8123505739.91751,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2021,2743783800.25922,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2021,339295238.164283,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2021,5341308492.27369,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2021,10676740348.4762,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2021,735975433.908723,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2021,148019939.245488,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2021,6147849415.68369,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2021,6989169268.99887,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2021,625135901.736627,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2021,179055844.231702,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2021,3285518437.92105,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2021,6309467356.37607,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2021,2645445074.29753,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2021,390431375.664362,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2021,4799434337.61501,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2021,8856732595.87918,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2021,642363407.606932,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2021,196698192.922419,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2022,6921674706.37412,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2022,8495052464.55178,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2022,716623637.808941,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2022,87729403.394909,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2022,3581885048.56522,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2022,7707174430.0569,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2022,3068573611.61282,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2022,316970750.476629,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2022,5345204136.94718,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2022,10679595184.5681,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2022,736774520.008121,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2022,108071216.643389,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2022,6249117155.38156,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2022,6373566263.53349,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2022,603211931.404154,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2022,146703490.725398,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2022,2924913083.67509,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2022,5589469085.76602,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2022,2944083342.74168,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2022,381705690.289623,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2022,4679942698.17502,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2022,8548008600.27644,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2022,623269022.624859,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2022,167094075.282685,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2023,7200791769.15758,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2023,8246506724.90143,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2023,719354280.438903,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2023,66673667.4399134,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2023,3365596060.92119,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2023,7347786662.58058,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2023,3413855958.96849,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2023,312183400.650593,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2023,5386711379.48192,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2023,10761658978.3077,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2023,742546830.44519,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2023,89809487.1924112,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2023,6397824749.62896,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2023,5834514003.58674,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2023,586850198.339054,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2023,135575790.131835,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2023,2592621887.14264,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2023,4943050228.87627,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2023,3260052351.54211,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2023,392161276.512309,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2023,4597797171.0591,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2023,8330210768.33957,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2023,609862617.724568,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2023,158805277.807135,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2024,7442904114.04211,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2024,7950360934.3699,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2024,718321194.056752,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2024,44546568.0926983,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2024,3131318577.04876,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2024,6946926445.77686,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2024,3740275252.1223,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2024,298395475.824774,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2024,5399018415.53025,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2024,10785533005.8334,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2024,744450479.187937,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2024,70234257.4393512,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2024,6504016728.69538,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2024,5267528237.94596,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2024,566800702.933568,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2024,123337223.476754,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2024,2243906418.44625,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2024,4276509144.28706,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2024,3552237637.68538,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2024,396175035.331972,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2024,4484272109.71674,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2024,8069273833.52137,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2024,592621114.158544,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2024,149185527.254636,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2025,7704577385.9984,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2025,7664507463.43955,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2025,718305312.028877,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2025,26099297.738449,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2025,2905123334.54313,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2025,6554582259.95736,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2025,4073831199.48823,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2025,280861465.360161,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2025,5424463045.03,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2025,10829595283.3572,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2025,747476912.836449,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2025,54354229.4183598,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2025,6619685283.159,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2025,4718970358.81362,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2025,547572037.240274,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2025,114880600.628523,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2025,1902428952.64998,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2025,3628804893.06589,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2025,3844851973.64032,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2025,399930662.801073,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2025,4378159556.97849,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2025,7830618572.99934,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2025,576250478.808661,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2025,143391975.11281,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2026,8015015903.47641,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2026,7423214236.21937,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2026,723236041.919019,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2026,10524241.4086912,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2026,2695813958.37282,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2026,6201886788.10606,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2026,4432630936.64953,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2026,259686968.25858,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2026,5481811305.93774,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2026,10941125703.3451,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2026,755673813.112904,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2026,41267799.5607498,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2026,6769236095.39561,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2026,4229699248.87811,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2026,532480503.030622,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2026,109717121.630657,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2026,1575738374.41522,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2026,3038484970.54787,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2026,4152906597.39659,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2026,405143624.670111,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2026,4295107408.31702,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2026,7665783709.57272,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2026,564163715.41359,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2026,140853050.364393,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2027,8277570602.81491,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2027,7130952841.0695,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2027,723798795.685576,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2027,0,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2027,2468538110.85201,"Primary material production"
