"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Light truck","BEV100","Exterior","n","Low",2016,-0.334974367168897
"BAU","Car","BEV300","Exterior","n","Low",2016,-0.768620391318464
"BAU","Light truck","BEV300","Exterior","n","Low",2016,-1.22295975109616
"BAU","Car","PHEV20","Exterior","n","Low",2016,-0.0509009844972255
"BAU","Light truck","PHEV20","Exterior","n","Low",2016,-0.0754359700013936
"BAU","Car","PHEV40","Exterior","n","Low",2016,-0.109225813267933
"BAU","Light truck","PHEV40","Exterior","n","Low",2016,-0.226925146522866
"BAU","Car","PHEV20","Generator","n","Low",2016,-0.122258901096224
"BAU","Light truck","PHEV20","Generator","n","Low",2016,-0.192436788025866
"BAU","Car","PHEV40","Generator","n","Low",2016,-0.378632154355785
"BAU","Light truck","PHEV40","Generator","n","Low",2016,-0.849077973390479
"BAU","Car","BEV100","Interior","n","Low",2016,-0.365139530663328
"BAU","Light truck","BEV100","Interior","n","Low",2016,-0.753692326130022
"BAU","Car","BEV300","Interior","n","Low",2016,-1.72939588046657
"BAU","Light truck","BEV300","Interior","n","Low",2016,-2.7516594399664
"BAU","Car","PHEV20","Interior","n","Low",2016,-0.114527215118784
"BAU","Light truck","PHEV20","Interior","n","Low",2016,-0.169730932503086
"BAU","Car","PHEV40","Interior","n","Low",2016,-0.245758079852834
"BAU","Light truck","PHEV40","Interior","n","Low",2016,-0.510581579676426
"BAU","Car","BEV100","Tires","n","Low",2016,-0.354996765922671
"BAU","Light truck","BEV100","Tires","n","Low",2016,-0.732756428181972
"BAU","Car","BEV300","Tires","n","Low",2016,-1.68135710600915
"BAU","Light truck","BEV300","Tires","n","Low",2016,-2.67522445552282
"BAU","Car","PHEV20","Tires","n","Low",2016,-0.111345903587676
"BAU","Light truck","PHEV20","Tires","n","Low",2016,-0.16501618437805
"BAU","Car","PHEV40","Tires","n","Low",2016,-0.238931466523589
"BAU","Light truck","PHEV40","Tires","n","Low",2016,-0.496398758018778
"BAU","Car","BEV100","Traction Motor","n","Low",2016,-0.9876776631708
"BAU","Light truck","BEV100","Traction Motor","n","Low",2016,-2.07917837883323
"BAU","Car","BEV300","Traction Motor","n","Low",2016,-5.66257116955342
"BAU","Light truck","BEV300","Traction Motor","n","Low",2016,-9.26018579819672
"BAU","Car","PHEV20","Traction Motor","n","Low",2016,-0.0865924844567516
"BAU","Light truck","PHEV20","Traction Motor","n","Low",2016,-0.14636765385935
