"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2019,100.49781,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2020,93.732323,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2021,90.17469,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2022,88.885223,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2023,92.622643,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2024,92.163445,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2025,93.406151,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2026,93.90152,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2027,94.464226,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2028,95.649544,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2029,95.782967,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2030,95.392883,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2031,94.20137,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2032,93.929794,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2033,93.871925,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2034,94.309753,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2035,94.956985,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2036,94.766098,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2037,95.673119,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2038,95.717743,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2039,95.283989,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2040,94.964172,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2041,95.496994,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2042,94.62545,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2043,95.149406,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2044,94.156151,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2045,93.735657,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2046,93.589638,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2047,93.712898,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2048,94.078293,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2049,94.470421,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2050,94.716324,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"REF"
2016,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2017,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2018,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
