barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,make,model,VClass,year,Sales,youSaveSpend,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,startStop,phevCity,phevHwy,phevComb
0.324,0,0,8,62,61.9,0,0,0,55,0,0,-1,0,0,62,62,0,0,54,0,0,,,Front-Wheel Drive,1,,-1,1050,0,Electricity,Electricity,-1,-1,62,62,0,0,0,54,0,0,0,31893,0,0,N,FALSE,0,0,56,56.7812,0,55.6759,0,Automatic (A1),88.4,0,88.6,0,Azure Dynamics,Transit Connect Electric Van,Special Purpose Vehicle 2WD,2012,,1500,,,EV,,,52 kW AC Induction,AZD,,0,,N,0,0,0
0.324,0,0,8,62,61.9,0,0,0,55,0,0,-1,0,0,62,62,0,0,54,0,0,,,Front-Wheel Drive,2,,-1,1050,0,Electricity,Electricity,-1,-1,62,62,0,0,0,54,0,0,0,31894,0,0,N,FALSE,0,0,56,56.7812,0,55.6759,0,Automatic (A1),88.4,0,88.6,0,Azure Dynamics,Transit Connect Electric Wagon,Special Purpose Vehicle 2WD,2012,,1500,,,EV,,,52 kW AC Induction,AZD,,0,,N,0,0,0
0.198,0,0,5,107,106.733,0,0,0,32,0,0,-1,0,0,102,101.822,0,0,33,0,0,,,Rear-Wheel Drive,100,,-1,650,0,Electricity,Electricity,-1,-1,96,96.4011,0,0,0,35,0,0,0,32276,6,0,N,FALSE,86,0,94,0,0,0,0,Automatic (A1),152.4758,0,137.7159,0,BMW,Active E,Subcompact Cars,2011,,3500,,,EV,,,125 kW AC Induction,BMX,,0,,N,0,0,0
0.162,0,0,4,137,137.48,0,0,0,25,0,0,-1,0,0,124,124.3601,0,0,27,0,0,,,Rear-Wheel Drive,100,,10,550,0,Electricity,Electricity,10,-1,111,111.37,0,0,0,30,0,0,0,35207,0,15,Y,FALSE,0,84,81,89,0,71.6,0,Automatic (A1),196.4,0,159.1,0,BMW,i3 BEV,Subcompact Cars,2014,6092,4000,,,EV,,,125 kW AC Induction,BMX,,0,,N,0,0,0
1.563190372,0.174,0,4,41,41.4544,127,127.093,0,27,0.849,40,-1,0,40,39,39.485,117,116.9364,29,0,0.834,2,0.6,Rear-Wheel Drive,101,PHEV,10,1100,550,Premium Gas or Electricity,Premium Gasoline,10,-1,37,37.318,107,106.531,0,32,0.813,0,0,35279,0,15,Y,FALSE,0,84,0,0,77.504,0,65.632,Automatic (A1),52.5,181.5609,52.2,152.1878,BMW,i3 REX,Subcompact Cars,2014,,3500,,,Plug-in Hybrid,Electricity,72,125kW,BMX,,0,,Y,97,79,88
7.356924278,4.336973684,0,2,28,28.1135,80,79.5972,0,45,0.3678,198,-1,0,198,28,28.4624,76,76.2018,43,0.1,0.3737,3,1.5,All-Wheel Drive,108,SIDI; PHEV,9,1550,0,Premium and Electricity,Premium Gasoline,10,-1,29,28.8888,72,72.4259,0.1865,41,0.3808,0,0,35599,5,0,N,TRUE,81,0,0,0,14.73,0,15.44,Automatic 6-spd,38.4,113.7102,46.4,103.4655,BMW,i8,Subcompact Cars,2014,555,500,T,,Plug-in Hybrid,Electricity,15,96kW,BMX,,0,,Y,37,38,37
0.162,0,0,4,137,137.48,0,0,0,25,0,0,-1,0,0,124,124.3601,0,0,27,0,0,,,Rear-Wheel Drive,100,,10,550,0,Electricity,Electricity,10,-1,111,111.37,0,0,0,30,0,0,0,36016,0,15,N,FALSE,0,84,81,89,0,71.6,0,Automatic (A1),196.4,0,159.1,0,BMW,i3 BEV,Subcompact Cars,2015,11024,4000,,,EV,,,125 kW AC Induction,BMX,,0,,N,0,0,0
1.563190372,0.174,0,4,41,41.4544,127,127.093,0,27,0.849,40,-1,0,40,39,39.485,117,116.9364,29,0,0.834,2,0.6,Rear-Wheel Drive,101,PHEV,10,1100,550,Premium Gas or Electricity,Premium Gasoline,10,-1,37,37.318,107,106.531,0,32,0.813,0,0,36030,0,15,N,FALSE,0,84,0,0,77.504,0,65.632,Automatic (A1),52.5,181.5609,52.2,152.1878,BMW,i3 REX,Subcompact Cars,2015,,3500,,,Plug-in Hybrid,Electricity,72,125kW,BMX,,0,,Y,97,79,88
7.356924278,4.336973684,0,2,28,28.1135,80,79.5972,0,45,0.3678,198,-1,0,198,28,28.4624,76,76.2018,43,0.1,0.3737,3,1.5,All-Wheel Drive,108,SIDI; PHEV,9,1550,0,Premium and Electricity,Premium Gasoline,10,-1,29,28.8888,72,72.4259,0.1865,41,0.3808,0,0,36031,5,0,N,TRUE,81,0,0,0,14.73,0,15.44,Automatic 6-spd,38.4,113.7102,46.4,103.4655,BMW,i8,Subcompact Cars,2015,2265,500,T,,Plug-in Hybrid,Electricity,15,96kW,BMX,,0,,Y,37,38,37
0.324,0,0,6,60,60.1785,0,0,0,56,0,0,-1,0,0,62,61.9394,0,0,54,0,0,,,Front-Wheel Drive,1,,-1,1050,0,Electricity,Electricity,-1,-1,64,64.2368,0,0,0,52,0,0,0,33383,0,0,N,FALSE,0,0,122,120.1,0,124.8,0,Automatic (A1),85.9694,0,91.7668,0,BYD,e6,Sport Utility Vehicle - 2WD,2012,,1500,,,EV,,,75 kW AC PMSM,BYD,,0,,N,0,0,0
